Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
2401,2018,Cincinnati,19,13,11,2,0,.846,454,224,230,19,27,26,14,10,0
2402,2018,Iowa,19,13,9,4,0,.692,405,231,174,19,25,25,16,12,0
2403,2018,Marshall,19,13,9,4,0,.692,367,284,83,19,31,30,24,18,0
2404,2018,Northern Illinois,19,14,8,6,0,.571,282,317,-35,19,31,28,34,25,1
2405,2018,San Diego State,19,13,7,6,0,.538,268,288,-20,19,31,27,17,13,3
2406,2018,Texas Christian,19,13,7,6,0,.538,306,300,6,19,37,35,14,11,2
2407,2018,Texas State,19,12,3,9,0,.250,237,332,-95,19,38,36,19,18,3
2408,2017,UAB,19,13,8,5,0,.615,361,333,28,19,35,30,25,21,0
2409,2017,California,19,12,5,7,0,.417,333,341,-8,19,39,38,27,21,0
2410,2017,Colorado,19,12,5,7,0,.417,317,338,-21,19,41,39,22,15,0
2411,2017,Louisiana Tech,19,13,7,6,0,.538,396,330,66,19,37,33,23,15,0
2412,2017,Marshall,19,13,8,5,0,.615,347,259,88,19,31,28,18,13,0
2413,2017,Michigan State,19,13,10,3,0,.769,319,260,59,19,30,30,15,14,0
2414,2017,South Florida,19,12,10,2,0,.833,459,282,177,19,34,32,9,8,0
2415,2017,Southern Mississippi,19,13,8,5,0,.615,379,318,61,19,35,33,18,15,0
2416,2017,Utah,19,13,7,6,0,.538,384,301,83,19,30,29,31,24,0
2417,2016,BYU,19,13,9,4,0,.692,384,254,130,19,31,30,17,8,0
2418,2016,Kent State,19,12,3,9,0,.250,247,344,-97,19,37,37,17,13,3
2419,2016,Ole Miss,19,12,5,7,0,.417,391,408,-17,19,49,48,23,20,0
2420,2016,Oregon State,19,12,4,8,0,.333,314,366,-52,19,43,41,18,17,1
2421,2016,Virginia Tech,19,14,10,4,0,.714,490,319,171,19,40,38,16,11,0
2422,2015,Alabama,19,15,14,1,0,.933,526,227,299,19,22,21,27,16,0
2423,2015,Arkansas,19,13,8,5,0,.615,467,356,111,19,41,40,22,16,0
2424,2015,Boise State,19,13,9,4,0,.692,508,263,245,19,32,32,15,11,0
2425,2015,Buffalo,19,12,5,7,0,.417,320,331,-11,19,40,40,12,9,2
2426,2015,Notre Dame,19,13,10,3,0,.769,445,313,132,19,36,35,20,12,0
2427,2015,Oklahoma,19,13,11,2,0,.846,566,286,280,19,31,31,22,17,0
2428,2015,Pitt,19,13,8,5,0,.615,367,339,28,19,34,32,26,25,0
2429,2010,Alabama,19,13,10,3,0,.769,464,176,288,19,18,18,17,14,0
2430,2009,LSU,19,13,9,4,0,.692,323,211,112,19,16,16,31,25,2
2431,2009,Ohio State,19,13,11,2,0,.846,377,163,214,19,17,17,17,10,0
2432,2006,Ohio State,19,13,12,1,0,.923,450,166,284,19,17,17,14,11,0
2433,2006,Texas Christian,19,13,11,2,0,.846,380,160,220,19,19,19,17,9,0
2434,2005,Miami (FL),19,12,9,3,0,.750,325,171,154,19,19,19,21,12,1
2435,2005,Virginia Tech,19,13,11,2,0,.846,440,168,272,19,18,18,18,12,0
2436,2004,Auburn,19,13,13,0,0,1.000,417,147,270,19,16,15,10,6,0
2437,2003,LSU,19,14,13,1,0,.929,475,154,321,19,17,16,17,8,0
2438,2002,Kansas State,19,13,11,2,0,.846,582,154,428,19,18,17,12,7,0
2439,2002,Ohio State,19,14,14,0,0,1.000,410,183,227,19,17,16,25,17,0
2440,2022,Iowa,18,13,8,5,0,.615,230,173,57,18,17,17,19,16,0
2441,2022,Minnesota,18,13,9,4,0,.692,367,180,187,18,18,18,18,18,0
2442,2021,Army,18,13,9,4,0,.692,427,290,137,18,34,33,12,11,0
2443,2021,Colorado,18,12,4,8,0,.333,225,320,-95,18,40,38,22,14,0
2444,2021,Navy,18,12,4,8,0,.333,241,339,-98,18,41,40,14,11,2
2445,2021,Nebraska,18,12,3,9,0,.250,335,272,63,18,30,30,27,16,3
2446,2021,Purdue,18,13,9,4,0,.692,378,291,87,18,34,34,21,13,0
2447,2021,South Carolina,18,13,7,6,0,.538,294,312,-18,18,35,35,22,19,1
2448,2021,Texas,18,12,5,7,0,.417,423,373,50,18,40,39,25,22,0
2449,2021,UTEP,18,13,7,6,0,.538,326,328,-2,18,39,38,20,16,1
2450,2021,Toledo,18,13,7,6,0,.538,434,283,151,18,28,26,31,27,0
2451,2021,Washington State,18,13,7,6,0,.538,362,315,47,18,32,32,21,15,1
2452,2020,Army,18,12,9,3,0,.750,321,178,143,18,20,17,15,7,0
2453,2020,Boston College,18,11,6,5,0,.545,306,312,-6,18,36,32,20,14,1
2454,2020,Florida State,18,9,3,6,0,.333,232,324,-92,18,41,40,14,8,0
2455,2020,Liberty,18,11,10,1,0,.909,420,226,194,18,25,25,13,5,1
2456,2020,Penn State,18,9,4,5,0,.444,268,249,19,18,29,29,13,10,0
2457,2020,Texas,18,10,7,3,0,.700,427,285,142,18,31,31,23,16,0
2458,2020,Western Kentucky,18,12,5,7,0,.417,228,304,-76,18,36,32,15,12,0
2459,2019,Cincinnati,18,14,11,3,0,.786,415,288,127,18,29,28,24,18,0
2460,2019,Georgia,18,14,12,2,0,.857,431,176,255,18,20,20,20,12,0
2461,2019,Kent State,18,13,7,6,0,.538,380,414,-34,18,51,48,23,18,0
2462,2019,Marshall,18,13,8,5,0,.615,335,325,10,18,41,40,20,13,0
2463,2019,Minnesota,18,13,11,2,0,.846,443,293,150,18,31,31,15,12,1
2464,2019,Northern Illinois,18,12,5,7,0,.417,274,338,-64,18,41,40,21,12,0
2465,2019,Pitt,18,13,8,5,0,.615,275,292,-17,18,25,25,25,21,0
2466,2019,South Florida,18,12,4,8,0,.333,250,347,-97,18,44,42,15,11,0
