Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
2001,2010,South Florida,37,13,8,5,0,.615,313,260,53,37,34,33,97.1,26,18,69.2,1,1
2002,2010,Tulane,37,12,4,8,0,.333,299,446,-147,37,33,32,97.0,16,13,81.3,2,1
2003,2009,Buffalo,37,12,5,7,0,.417,289,285,4,37,36,33,91.7,14,10,71.4,1,1
2004,2009,Hawaii,37,13,6,7,0,.462,296,383,-87,37,35,34,97.1,19,12,63.2,0,2
2005,2009,Mississippi State,37,12,5,7,0,.417,307,321,-14,37,35,35,100.0,21,16,76.2,0,1
2006,2009,Washington,37,12,5,7,0,.417,313,320,-7,37,35,35,100.0,21,18,85.7,1,0
2007,2008,Connecticut,37,13,8,5,0,.615,324,257,67,37,34,34,100.0,30,22,73.3,0,1
2008,2008,Florida International,37,12,5,7,0,.417,296,340,-44,37,37,34,91.9,19,12,63.2,0,2
2009,2008,Louisiana-Monroe,37,12,4,8,0,.333,284,374,-90,37,34,32,94.1,17,8,47.1,1,2
2010,2008,Michigan State,37,13,9,4,0,.692,326,287,39,37,34,34,100.0,28,22,78.6,1,1
2011,2008,North Carolina State,37,13,6,7,0,.462,305,342,-37,37,34,33,97.1,19,16,84.2,1,0
2012,2008,Northern Illinois,37,13,6,7,0,.462,314,234,80,37,34,34,100.0,24,18,75.0,1,1
2013,2008,Northwestern,37,13,9,4,0,.692,317,262,55,37,35,31,88.6,25,20,80.0,1,1
2014,2008,Purdue,37,12,4,8,0,.333,296,301,-5,37,36,33,91.7,21,13,61.9,1,0
2015,2008,Temple,37,12,5,7,0,.417,281,277,4,37,36,33,91.7,16,8,50.0,1,0
2016,2007,Colorado State,37,12,3,9,0,.250,304,369,-65,37,35,34,97.1,20,16,80.0,0,0
2017,2007,Louisiana,37,12,3,9,0,.250,285,430,-145,37,34,31,91.2,13,10,76.9,1,0
2018,2007,Marshall,37,12,3,9,0,.250,298,411,-113,37,35,33,94.3,18,13,72.2,1,1
2019,2007,Maryland,37,13,6,7,0,.462,313,280,33,37,36,36,100.0,23,17,73.9,1,1
2020,2006,Auburn,37,13,11,2,0,.846,322,181,141,37,34,34,100.0,24,20,83.3,2,1
2021,2006,Michigan State,37,12,4,8,0,.333,302,341,-39,37,34,33,97.1,19,15,78.9,0,1
2022,2006,Toledo,37,12,5,7,0,.417,281,332,-51,37,31,30,96.8,8,7,87.5,3,1
