Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
74,2010,Rice,60,12,4,8,0,.333,344,462,-118,60,59,56,19,14,1
75,2009,Toledo,60,12,5,7,0,.417,356,452,-96,60,58,54,17,12,0
76,2009,Washington State,60,12,1,11,0,.083,144,462,-318,60,57,54,17,14,1
77,2008,San Diego State,60,12,2,10,0,.167,231,446,-215,60,60,60,14,8,1
78,2008,UTEP,60,12,5,7,0,.417,395,444,-49,60,57,54,17,10,0
79,2007,Florida International,60,12,1,11,0,.083,181,469,-288,60,59,57,22,16,2
80,2007,Nebraska,60,12,5,7,0,.417,401,455,-54,60,57,53,18,14,0
81,2007,New Mexico State,60,13,4,9,0,.308,312,471,-159,60,57,53,24,18,0
82,2007,Tulsa,60,14,10,4,0,.714,576,467,109,60,56,53,22,16,0
83,2004,East Carolina,60,11,2,9,0,.182,231,439,-208,60,56,54,10,7,2
84,2004,Eastern Michigan,60,11,4,7,0,.364,328,458,-130,60,58,58,16,12,0
85,2003,Army,60,13,0,13,0,.000,206,476,-270,60,56,53,26,19,0
86,2024,New Mexico,59,12,5,7,0,.417,402,456,-54,59,55,55,20,15,0
87,2023,USC,59,13,8,5,0,.615,544,447,97,59,51,51,18,12,0
88,2023,Utah State,59,13,6,7,0,.462,431,451,-20,59,55,54,17,13,0
89,2012,Tulane,59,12,2,10,0,.167,257,461,-204,59,57,56,23,17,0
90,2011,Akron,59,12,1,11,0,.083,170,466,-296,59,59,55,21,17,1
91,2011,Middle Tennessee State,59,12,2,10,0,.167,267,441,-174,59,57,56,13,9,1
92,2008,Iowa State,59,12,2,10,0,.167,304,430,-126,59,55,54,10,6,0
93,2008,Rice,59,13,10,3,0,.769,537,433,104,59,58,55,15,8,0
94,2008,SMU,59,12,1,11,0,.083,256,458,-202,59,54,49,20,17,0
95,2008,Washington,59,12,0,12,0,.000,159,463,-304,59,59,56,19,17,1
96,2005,Rice,59,11,1,10,0,.091,241,447,-206,59,57,55,16,12,0
97,2003,Buffalo,59,12,1,11,0,.083,177,445,-268,59,58,53,26,12,1
98,2002,Louisiana-Monroe,59,12,3,9,0,.250,236,451,-215,59,55,51,20,14,0
99,2002,San Jose State,59,13,6,7,0,.462,376,467,-91,59,56,53,24,18,1
100,2002,Texas Tech,59,14,9,5,0,.643,537,439,98,59,55,51,13,8,3
101,2025,Georgia State,58,12,1,11,0,.083,237,454,-217,58,54,54,21,16,0
102,2024,Southern Mississippi,58,12,1,11,0,.083,183,453,-270,58,58,55,20,16,0
103,2022,Florida International,58,12,4,8,0,.333,224,447,-223,58,54,53,18,14,1
104,2022,Kansas,58,13,6,7,0,.462,463,461,2,58,53,52,22,17,1
105,2022,Louisiana Tech,58,12,3,9,0,.250,348,455,-107,58,55,54,17,17,0
106,2011,UAB,58,12,3,9,0,.250,242,441,-199,58,58,58,17,11,1
107,2011,Washington,58,13,7,6,0,.538,434,467,-33,58,55,53,22,20,1
108,2010,Tulane,58,12,4,8,0,.333,299,446,-147,58,57,57,17,13,1
109,2010,Washington State,58,12,2,10,0,.167,235,430,-195,58,54,52,12,8,0
110,2008,Kansas State,58,12,5,7,0,.417,419,430,-11,58,56,50,15,10,0
111,2008,Texas A&M,58,12,4,8,0,.333,300,449,-149,58,54,51,23,16,0
112,2007,Idaho,58,12,1,11,0,.083,258,443,-185,58,56,54,21,13,0
113,2007,Louisiana,58,12,3,9,0,.250,285,430,-145,58,55,51,15,9,0
114,2006,Buffalo,58,12,2,10,0,.167,220,431,-211,58,56,52,14,9,0
115,2005,Hawaii,58,12,5,7,0,.417,368,428,-60,58,58,54,10,8,0
116,2005,Illinois,58,11,2,9,0,.182,187,435,-248,58,57,53,17,10,2
117,2005,New Mexico State,58,12,0,12,0,.000,198,465,-267,58,57,56,31,19,1
118,2004,Western Michigan,58,11,1,10,0,.091,248,436,-188,58,57,56,15,10,0
119,2002,Indiana,58,12,3,9,0,.250,258,445,-187,58,57,52,19,15,0
120,2002,North Carolina,58,12,3,9,0,.250,223,421,-198,58,56,53,19,6,0
121,2025,Charlotte,57,12,1,11,0,.083,172,436,-264,57,56,56,18,12,1
122,2025,Sam Houston,57,12,2,10,0,.167,213,454,-241,57,54,53,26,19,0
123,2024,Texas Tech,57,13,8,5,0,.615,489,453,36,57,52,49,27,20,1
124,2023,UAB,57,12,4,8,0,.333,359,443,-84,57,55,55,17,14,0
125,2023,South Florida,57,13,7,6,0,.538,415,419,-4,57,55,54,14,7,0
126,2022,North Carolina,57,14,9,5,0,.643,482,431,51,57,52,52,19,11,0
127,2022,Rice,57,13,5,8,0,.385,328,444,-116,57,55,55,19,15,0
128,2012,UAB,57,12,3,9,0,.250,339,450,-111,57,55,53,20,15,2
129,2012,Eastern Michigan,57,12,2,10,0,.167,256,451,-195,57,57,55,22,18,0
130,2012,Nevada,57,13,7,6,0,.538,492,439,53,57,51,49,15,14,0
131,2011,UCLA,57,14,6,8,0,.429,323,439,-116,57,55,53,19,14,0
132,2010,Michigan,57,13,7,6,0,.538,426,458,-32,57,54,54,22,20,0
133,2009,Tulane,57,12,3,9,0,.250,193,440,-247,57,54,49,21,15,0
134,2007,UTEP,57,12,4,8,0,.333,403,445,-42,57,53,49,23,16,0
135,2006,Idaho,57,12,4,8,0,.333,203,417,-214,57,56,54,12,7,0
136,2003,Iowa State,57,12,2,10,0,.167,173,437,-264,57,54,50,18,15,0
137,2003,North Carolina,57,12,2,10,0,.167,317,459,-142,57,54,48,26,21,0
138,2003,Texas Tech,57,13,8,5,0,.615,552,442,110,57,54,54,18,14,0
139,2002,Louisiana Tech,57,12,4,8,0,.333,320,426,-106,57,52,48,16,10,1
140,2002,Navy,57,12,2,10,0,.167,290,436,-146,57,51,47,15,13,1
141,2002,Utah State,57,11,4,7,0,.364,305,432,-127,57,54,51,18,13,0
142,2025,Florida Atlantic,56,12,4,8,0,.333,354,436,-82,56,50,50,17,14,1
143,2024,Oklahoma State,56,12,3,9,0,.250,326,427,-101,56,55,55,18,12,0
144,2024,Utah State,56,12,4,8,0,.333,383,453,-70,56,50,49,22,20,0
145,2024,West Virginia,56,13,6,7,0,.462,379,415,-36,56,52,51,12,8,0
146,2023,Colorado,56,12,4,8,0,.333,338,418,-80,56,51,50,17,10,0
