Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
2601,2004,Louisiana,29,11,4,7,0,.364,242,272,-30,29,24,24,100.0,22,14,63.6,1,0
2602,2004,Ohio,29,11,4,7,0,.364,221,271,-50,29,24,20,83.3,14,7,50.0,1,2
2603,2004,Wake Forest,29,11,4,7,0,.364,230,253,-23,29,29,29,100.0,17,9,52.9,0,0
2604,2003,Mississippi State,29,12,2,10,0,.167,225,471,-246,29,21,21,100.0,10,8,80.0,3,0
2605,2003,Penn State,29,12,3,9,0,.250,233,255,-22,29,28,26,92.9,21,11,52.4,0,0
2606,2003,UCLA,29,13,6,7,0,.462,248,305,-57,29,26,26,100.0,19,14,73.7,2,1
2607,2002,Army,29,12,1,11,0,.083,226,491,-265,29,27,25,92.6,11,9,81.8,0,0
2608,2002,Temple,29,12,4,8,0,.333,242,351,-109,29,26,22,84.6,20,14,70.0,2,0
2609,2025,Louisiana-Monroe,28,12,3,9,0,.250,199,383,-184,28,25,21,84.0,7,2,28.6,2,0
2610,2021,Bowling Green,28,12,4,8,0,.333,257,368,-111,28,27,26,96.3,20,19,95.0,1,2
2611,2021,San Jose State,28,12,5,7,0,.417,240,318,-78,28,27,26,96.3,19,15,78.9,0,0
2612,2020,Indiana,28,8,6,2,0,.750,231,162,69,28,25,25,100.0,11,10,90.9,3,1
2613,2020,Northwestern,28,9,7,2,0,.778,222,143,79,28,28,27,96.4,12,9,75.0,0,0
2614,2019,Connecticut,28,12,2,10,0,.167,227,486,-259,28,27,27,100.0,16,10,62.5,1,0
2615,2019,Stanford,28,12,4,8,0,.333,260,358,-98,28,27,27,100.0,25,19,76.0,1,0
2616,2018,Rice,28,13,2,11,0,.154,246,468,-222,28,24,23,95.8,23,15,65.2,3,2
2617,2018,Wyoming,28,12,6,6,0,.500,248,264,-16,28,28,28,100.0,17,16,94.1,0,2
2618,2017,Florida,28,11,4,7,0,.364,243,300,-57,28,26,24,92.3,18,17,94.4,0,0
2619,2017,Rutgers,28,12,4,8,0,.333,216,340,-124,28,27,27,100.0,10,7,70.0,0,0
2620,2017,Tennessee,28,12,4,8,0,.333,238,349,-111,28,28,28,100.0,21,14,66.7,0,0
2621,2016,Cincinnati,28,12,4,8,0,.333,232,323,-91,28,26,23,88.5,19,13,68.4,1,0
2622,2016,Illinois,28,12,3,9,0,.250,236,383,-147,28,26,26,100.0,17,12,70.6,2,1
2623,2015,Hawaii,28,13,3,10,0,.231,229,463,-234,28,0,27,,11,8,72.7,1,1
2624,2015,Oregon State,28,12,2,10,0,.167,228,444,-216,28,0,23,,15,11,73.3,2,0
2625,2014,Ohio,28,12,6,6,0,.500,246,298,-52,28,27,27,100.0,26,17,65.4,0,0
2626,2014,Penn State,28,13,7,6,0,.538,268,242,26,28,28,28,100.0,29,24,82.8,0,1
2627,2014,San Jose State,28,12,3,9,0,.250,232,353,-121,28,28,28,100.0,26,12,46.2,0,0
2628,2013,Colorado,28,13,4,8,0,.333,305,459,-154,28,25,25,100.0,24,17,70.8,4,2
2629,2012,Colorado,28,12,1,11,0,.083,214,552,-338,28,28,28,100.0,8,6,75.0,0,0
2630,2012,South Florida,28,12,3,9,0,.250,247,329,-82,28,23,21,91.3,23,18,78.3,2,0
2631,2012,Tulane,28,12,2,10,0,.167,257,461,-204,28,27,26,96.3,21,21,100.0,0,0
2632,2011,UAB,28,12,3,9,0,.250,242,441,-199,28,25,24,96.0,19,16,84.2,1,0
2633,2009,Rice,28,12,2,10,0,.167,219,517,-298,28,26,25,96.2,15,8,53.3,1,0
2634,2009,UCLA,28,13,7,6,0,.538,286,276,10,28,25,24,96.0,31,28,90.3,3,2
2635,2007,Iowa,28,12,6,6,0,.500,222,225,-3,28,28,24,85.7,16,10,62.5,0,0
