Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
3201,2000,Ohio State,,11,8,4,0,.667,324,198,126,,23,20,16,8,
3202,2000,Oklahoma,,12,13,0,0,1.000,468,192,276,,24,22,8,6,
3203,2000,Oklahoma State,,11,3,8,0,.273,202,303,-101,,36,31,16,12,
3204,2000,Oregon,,11,10,2,0,.833,316,219,97,,27,24,11,7,
3205,2000,Oregon State,,11,11,1,0,.917,359,203,156,,20,18,20,15,
3206,2000,Penn State,,12,5,7,0,.417,264,293,-29,,30,27,25,22,
3207,2000,Pitt,,11,7,5,0,.583,267,210,57,,22,19,21,11,
3208,2000,Purdue,,11,8,4,0,.667,357,232,125,,25,23,17,13,
3209,2000,Rice,,11,3,8,0,.273,237,322,-85,,38,37,20,15,
3210,2000,Rutgers,,11,3,8,0,.273,233,399,-166,,53,51,13,4,
3211,2000,San Diego State,,11,3,8,0,.273,170,273,-103,,33,33,20,12,
3212,2000,San Jose State,,12,7,5,0,.583,374,357,17,,43,40,12,5,
3213,2000,South Carolina,,11,8,4,0,.667,259,174,85,,19,18,18,14,
3214,2000,South Florida,,11,7,4,0,.636,278,201,77,,24,24,12,9,
3215,2000,USC,,12,5,7,0,.417,309,337,-28,,38,37,14,8,
3216,2000,SMU,,12,3,9,0,.250,181,352,-171,,44,40,22,16,
3217,2000,Southern Mississippi,,11,8,4,0,.667,286,182,104,,21,21,18,11,
3218,2000,Stanford,,11,5,6,0,.455,261,294,-33,,35,28,12,8,
3219,2000,Syracuse,,11,6,5,0,.545,294,212,82,,21,19,23,15,
3220,2000,Temple,,11,4,7,0,.364,224,269,-45,,34,33,9,6,
3221,2000,Tennessee,,11,8,4,0,.667,359,212,147,,25,23,14,11,
3222,2000,Texas,,11,9,3,0,.750,425,197,228,,25,24,12,5,
3223,2000,Texas A&M,,11,7,5,0,.583,307,196,111,,20,19,13,11,
3224,2000,Texas Christian,,11,10,2,0,.833,410,106,304,,13,13,7,5,
3225,2000,UTEP,,11,8,4,0,.667,355,298,57,,36,34,12,8,
3226,2000,Texas Tech,,12,7,6,0,.538,303,238,65,,29,26,16,10,
3227,2000,Toledo,,11,10,1,0,.909,400,125,275,,15,14,8,5,
3228,2000,Tulane,,11,6,5,0,.545,331,346,-15,,42,39,18,9,
3229,2000,Tulsa,,12,5,7,0,.417,240,283,-43,,32,31,21,16,
3230,2000,UCLA,,11,6,6,0,.500,333,347,-14,,43,42,17,11,
3231,2000,Utah,,11,4,7,0,.364,234,207,27,,22,20,20,13,
3232,2000,Utah State,,11,5,6,0,.455,292,356,-64,,42,40,20,14,
3233,2000,Vanderbilt,,11,3,8,0,.273,193,273,-80,,32,28,19,15,
3234,2000,Virginia,,11,6,6,0,.500,228,255,-27,,30,30,20,11,
3235,2000,Virginia Tech,,11,11,1,0,.917,443,249,194,,36,30,6,1,
3236,2000,Wake Forest,,11,2,9,0,.182,181,362,-181,,41,39,19,13,
3237,2000,Washington,,11,11,1,0,.917,353,246,107,,27,24,20,10,
3238,2000,Washington State,,11,4,7,0,.364,281,354,-73,,39,36,20,12,
3239,2000,West Virginia,,11,7,5,0,.583,307,325,-18,,43,41,14,8,
3240,2000,Western Michigan,,12,9,3,0,.750,359,139,220,,13,13,13,8,
3241,2000,Wisconsin,,12,9,4,0,.692,307,245,62,,21,18,27,19,
3242,2000,Wyoming,,11,1,10,0,.091,170,393,-223,,46,42,16,13,
