Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
2801,2014,Houston,,13,8,5,0,.615,387,268,119,,33,33,,11,0
2802,2014,Idaho,,12,1,10,0,.091,275,410,-135,,53,50,,12,1
2803,2014,Illinois,,13,6,7,0,.462,337,442,-105,,53,53,,15,1
2804,2014,Indiana,,12,4,8,0,.333,301,394,-93,,47,46,,20,0
2805,2014,Iowa,,13,7,6,0,.538,367,333,34,,39,37,,16,0
2806,2014,Iowa State,,12,2,10,0,.167,278,466,-188,,56,55,,21,0
2807,2014,Kansas,,12,3,9,0,.250,214,399,-185,,47,45,,24,0
2808,2014,Kansas State,,13,9,4,0,.692,465,301,164,,37,34,,11,0
2809,2014,Kent State,,12,2,9,0,.182,180,319,-139,,39,38,,15,0
2810,2014,Kentucky,,12,5,7,0,.417,350,375,-25,,46,45,,14,0
2811,2014,Louisiana,,13,9,4,0,.692,383,338,45,,41,37,,13,0
2812,2014,Louisiana-Monroe,,12,4,8,0,.333,241,315,-74,,39,37,,10,0
2813,2014,LSU,,13,8,5,0,.615,359,228,131,,27,27,,13,0
2814,2014,Louisiana Tech,,14,9,5,0,.643,523,346,177,,38,37,,21,0
2815,2014,Louisville,,13,9,4,0,.692,405,283,122,,28,26,,23,2
2816,2014,Marshall,,14,13,1,0,.929,638,294,344,,33,31,,15,0
2817,2014,Maryland,,13,7,6,0,.538,370,392,-22,,45,45,,23,0
2818,2014,Massachusetts,,12,3,9,0,.250,328,396,-68,,48,46,,14,0
2819,2014,Memphis,,13,10,3,0,.769,471,253,218,,30,29,,10,1
2820,2014,Miami (FL),,13,6,7,0,.462,380,316,64,,39,37,,13,1
2821,2014,Miami (OH),,12,2,10,0,.167,268,382,-114,,47,45,,12,0
2822,2014,Michigan,,12,5,7,0,.417,251,269,-18,,30,29,,18,1
2823,2014,Michigan State,,13,11,2,0,.846,559,280,279,,31,31,,9,0
2824,2014,Middle Tennessee State,,12,6,6,0,.500,379,378,1,,45,43,,15,0
2825,2014,Minnesota,,13,8,5,0,.615,369,314,55,,38,38,,12,0
2826,2014,Ole Miss,,13,9,4,0,.692,368,208,160,,23,23,,13,0
2827,2014,Mississippi State,,13,10,3,0,.769,480,282,198,,32,31,,13,0
2828,2014,Missouri,,14,11,3,0,.786,389,295,94,,34,33,,14,0
2829,2014,Navy,,13,8,5,0,.615,414,355,59,,41,40,,15,1
2830,2014,Nebraska,,12,9,4,0,.692,491,343,148,,44,44,,11,0
2831,2014,Nevada,,13,7,6,0,.538,379,354,25,,43,41,,13,0
2832,2014,Nevada-Las Vegas,,13,2,11,0,.154,285,500,-215,,62,60,,20,1
2833,2014,New Mexico,,12,4,8,0,.333,332,431,-99,,55,51,,10,0
2834,2014,New Mexico State,,12,2,10,0,.167,294,469,-175,,60,56,,15,0
2835,2014,North Carolina,,13,6,7,0,.462,432,507,-75,,62,61,,12,0
2836,2014,North Carolina State,,13,8,5,0,.615,392,351,41,,43,42,,15,0
2837,2014,North Texas,,12,4,8,0,.333,326,358,-32,,47,46,,8,0
2838,2014,Northern Illinois,,14,11,3,0,.786,441,359,82,,41,40,,13,0
2839,2014,Northwestern,,12,5,7,0,.417,276,302,-26,,38,35,,11,0
2840,2014,Notre Dame,,12,8,5,0,.615,427,379,48,,45,43,,12,0
2841,2014,Ohio,,12,6,6,0,.500,246,298,-52,,37,37,,11,0
2842,2014,Ohio State,,15,14,1,0,.933,672,330,342,,42,42,,10,1
2843,2014,Oklahoma,,13,8,5,0,.615,473,337,136,,40,37,,14,0
2844,2014,Oklahoma State,,13,7,6,0,.538,359,406,-47,,49,47,,17,0
2845,2014,Oregon,,15,13,2,0,.867,681,354,327,,38,38,,18,0
2846,2014,Oregon State,,12,5,7,0,.417,308,379,-71,,42,42,,17,0
2847,2014,Penn State,,13,7,6,0,.538,268,242,26,,27,24,,18,0
2848,2014,Pitt,,13,6,7,0,.462,414,342,72,,38,36,,10,2
2849,2014,Purdue,,12,3,9,0,.250,286,380,-94,,47,44,,16,0
2850,2014,Rice,,13,8,5,0,.615,374,370,4,,48,46,,12,0
2851,2014,Rutgers,,13,8,5,0,.615,347,392,-45,,49,47,,13,0
2852,2014,San Diego State,,13,7,6,0,.538,325,258,67,,33,33,,9,0
2853,2014,San Jose State,,12,3,9,0,.250,232,353,-121,,45,44,,13,0
2854,2014,South Alabama,,13,6,7,0,.462,293,343,-50,,40,40,,15,0
2855,2014,South Carolina,,13,7,6,0,.538,424,395,29,,46,46,,19,0
2856,2014,South Florida,,12,4,8,0,.333,206,324,-118,,41,40,,12,0
2857,2014,USC,,13,9,4,0,.692,466,327,139,,38,36,,11,0
2858,2014,SMU,,12,1,11,0,.083,133,496,-363,,60,58,,20,1
2859,2014,Southern Mississippi,,12,3,9,0,.250,228,425,-197,,54,53,,12,0
2860,2014,Stanford,,13,8,5,0,.615,353,213,140,,25,24,,11,0
2861,2014,Syracuse,,12,3,9,0,.250,205,292,-87,,31,31,,19,0
2862,2014,Temple,,12,6,6,0,.500,277,210,67,,24,24,,14,1
2863,2014,Tennessee,,13,7,6,0,.538,376,315,61,,40,36,,11,0
2864,2014,Texas,,13,6,7,0,.462,278,310,-32,,38,37,,13,1
2865,2014,Texas A&M,,13,8,5,0,.615,458,365,93,,45,44,,17,0
2866,2014,Texas Christian,,13,12,1,0,.923,604,247,357,,28,26,,17,0
2867,2014,UTEP,,13,7,6,0,.538,346,365,-19,,48,47,,8,0
2868,2014,UTSA,,12,4,8,0,.333,205,311,-106,,34,33,,20,1
2869,2014,Texas State,,12,7,5,0,.583,406,332,74,,38,37,,13,0
2870,2014,Texas Tech,,12,4,8,0,.333,366,495,-129,,62,61,,18,0
2871,2014,Toledo,,13,9,4,0,.692,476,396,80,,47,43,,15,0
2872,2014,Troy,,12,3,9,0,.250,262,434,-172,,55,54,,14,1
2873,2014,Tulane,,12,3,9,0,.250,192,341,-149,,40,40,,17,1
2874,2014,Tulsa,,12,2,10,0,.167,296,471,-175,,59,59,,12,0
2875,2014,UCLA,,13,10,3,0,.769,435,365,70,,41,40,,17,0
2876,2014,Utah,,13,9,4,0,.692,407,324,83,,39,39,,15,0
2877,2014,Utah State,,14,10,4,0,.714,377,276,101,,33,31,,15,0
2878,2014,Vanderbilt,,12,3,9,0,.250,206,399,-193,,50,48,,17,0
2879,2014,Virginia,,12,5,7,0,.417,310,289,21,,34,34,,13,0
2880,2014,Virginia Tech,,13,7,6,0,.538,313,262,51,,30,28,,18,1
2881,2014,Wake Forest,,12,3,9,0,.250,178,317,-139,,38,35,,18,0
2882,2014,Washington,,14,8,6,0,.571,423,347,76,,39,39,,20,0
2883,2014,Washington State,,12,3,9,0,.250,382,463,-81,,57,55,,18,0
2884,2014,West Virginia,,13,7,6,0,.538,435,359,76,,42,42,,21,1
2885,2014,Western Kentucky,,13,8,5,0,.615,577,519,58,,67,66,,11,0
2886,2014,Western Michigan,,13,8,5,0,.615,439,324,115,,39,36,,14,1
2887,2014,Wisconsin,,14,11,3,0,.786,484,291,193,,32,32,,15,0
2888,2014,Wyoming,,12,4,8,0,.333,253,394,-141,,49,47,,13,0
2889,2013,Air Force,,12,2,10,0,.167,296,480,-184,,61,55,,5,0
2890,2013,Akron,,12,5,7,0,.417,242,343,-101,,40,39,,12,0
2891,2013,Alabama,,13,11,2,0,.846,496,181,315,,22,22,,7,1
2892,2013,UAB,,12,2,10,0,.167,315,525,-210,,69,67,,10,0
2893,2013,Arizona,,13,8,5,0,.615,435,315,120,,37,34,,15,1
2894,2013,Arizona State,,14,10,4,0,.714,556,373,183,,44,41,,14,1
2895,2013,Arkansas,,12,3,9,0,.250,248,369,-121,,49,48,,9,0
2896,2013,Arkansas State,,13,8,5,0,.615,379,340,39,,40,38,,14,0
2897,2013,Army,,12,3,9,0,.250,293,379,-86,,44,40,,13,0
2898,2013,Auburn,,14,12,2,0,.857,553,346,207,,38,38,,20,0
2899,2013,Ball State,,13,10,3,0,.769,501,321,180,,38,37,,16,0
2900,2013,Baylor,,13,11,2,0,.846,681,306,375,,39,37,,7,0
2901,2013,Boise State,,13,8,5,0,.615,488,323,165,,38,38,,13,0
2902,2013,Boston College,,13,7,6,0,.538,360,376,-16,,48,47,,13,0
2903,2013,Bowling Green,,14,10,4,0,.714,487,222,265,,28,28,,6,0
2904,2013,Buffalo,,13,8,5,0,.615,394,317,77,,37,37,,12,2
2905,2013,California,,12,1,11,0,.083,276,551,-275,,72,69,,16,1
2906,2013,UCF,,13,12,1,0,.923,450,277,173,,33,33,,8,1
2907,2013,Central Michigan,,12,6,6,0,.500,279,343,-64,,38,38,,15,0
2908,2013,Cincinnati,,13,9,4,0,.692,417,273,144,,31,29,,12,0
2909,2013,Clemson,,13,11,2,0,.846,522,288,234,,36,34,,10,0
2910,2013,Colorado,,13,4,8,0,.333,305,459,-154,,55,54,,15,0
2911,2013,Colorado State,,14,8,6,0,.571,507,417,90,,46,46,,17,1
2912,2013,Connecticut,,12,3,9,0,.250,247,363,-116,,46,43,,14,0
2913,2013,Duke,,14,10,4,0,.714,459,373,86,,46,45,,12,0
2914,2013,East Carolina,,13,10,3,0,.769,522,322,200,,39,38,,16,0
2915,2013,Eastern Michigan,,12,2,10,0,.167,226,542,-316,,69,69,,15,0
2916,2013,Florida,,12,4,8,0,.333,226,253,-27,,27,25,,22,1
2917,2013,Florida Atlantic,,12,6,6,0,.500,317,267,50,,30,30,,15,0
2918,2013,Florida International,,12,1,11,0,.083,117,444,-327,,56,51,,15,0
2919,2013,Florida State,,14,14,0,0,1.000,723,170,553,,21,20,,8,1
2920,2013,Fresno State,,13,11,2,0,.846,564,394,170,,44,43,,13,1
2921,2013,Georgia State,,12,0,12,0,.000,225,440,-215,,57,56,,10,0
2922,2013,Georgia Tech,,13,7,6,0,.538,456,297,159,,36,35,,10,0
2923,2013,Hawaii,,12,1,11,0,.083,329,465,-136,,56,56,,17,1
2924,2013,Houston,,13,8,5,0,.615,431,283,148,,31,28,,17,1
2925,2013,Idaho,,12,1,11,0,.083,218,561,-343,,76,73,,10,0
2926,2013,Illinois,,12,4,8,0,.333,356,425,-69,,55,52,,13,1
2927,2013,Indiana,,12,5,7,0,.417,461,466,-5,,62,61,,9,1
2928,2013,Iowa,,13,8,5,0,.615,342,246,96,,30,30,,12,0
2929,2013,Iowa State,,12,3,9,0,.250,298,432,-134,,56,54,,14,0
2930,2013,Kansas,,12,3,9,0,.250,184,382,-198,,46,45,,15,0
2931,2013,Kansas State,,13,8,5,0,.615,432,298,134,,34,32,,18,0
2932,2013,Kent State,,12,4,8,0,.333,249,323,-74,,40,38,,15,0
2933,2013,Kentucky,,12,2,10,0,.167,246,374,-128,,48,46,,10,1
2934,2013,Louisiana,,13,9,4,0,.692,439,344,95,,40,39,,15,0
2935,2013,Louisiana-Monroe,,12,6,6,0,.500,267,362,-95,,43,42,,14,0
