Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
401,2016,Virginia Tech,60,14,10,4,0,.714,490,319,171,60,59,58,98.3,28,20,71.4,1,2
402,2015,Georgia Southern,60,13,9,4,0,.692,474,306,168,60,60,59,98.3,19,15,78.9,0,1
403,2015,Louisiana Tech,60,13,9,4,0,.692,488,349,139,60,60,60,100.0,26,22,84.6,0,1
404,2015,Western Michigan,60,13,8,5,0,.615,468,368,100,60,56,53,94.6,22,17,77.3,2,0
405,2013,Bowling Green,60,14,10,4,0,.714,487,222,265,60,61,59,96.7,22,18,81.8,1,0
406,2013,Duke,60,14,10,4,0,.714,459,373,86,60,58,58,100.0,19,13,68.4,1,0
407,2013,Georgia Tech,60,13,7,6,0,.538,456,297,159,60,61,60,98.4,14,10,71.4,0,1
408,2013,LSU,60,13,10,3,0,.769,465,286,179,60,61,60,98.4,14,13,92.9,0,0
409,2012,Ohio State,60,12,12,0,0,1.000,446,274,172,60,57,56,98.2,11,8,72.7,3,0
410,2011,Texas A&M,60,13,7,6,0,.538,508,366,142,60,57,55,96.5,33,29,87.9,1,2
411,2011,Utah State,60,13,7,6,0,.538,437,363,74,60,58,57,98.3,11,6,54.5,0,1
412,2010,Arkansas,60,13,10,3,0,.769,474,304,170,60,58,56,96.6,19,16,84.2,2,3
413,2010,UCF,60,14,11,3,0,.786,449,240,209,60,59,56,94.9,21,11,52.4,0,0
414,2009,Arkansas,60,13,8,5,0,.615,468,326,142,60,60,58,96.7,22,16,72.7,0,1
415,2009,Oregon,60,13,10,3,0,.769,469,309,160,60,55,55,100.0,20,16,80.0,3,0
416,2007,Oklahoma State,60,13,7,6,0,.538,450,384,66,60,59,58,98.3,18,10,55.6,1,0
417,2006,Houston,60,14,10,4,0,.714,462,329,133,60,57,55,96.5,20,15,75.0,1,0
418,2003,Oklahoma State,60,13,9,4,0,.692,467,326,141,60,60,59,98.3,18,16,88.9,0,0
419,2002,Iowa,60,13,11,2,0,.846,484,256,228,60,59,57,96.6,24,21,87.5,1,1
420,2002,USC,60,13,11,2,0,.846,465,240,225,60,59,54,91.5,26,17,65.4,0,0
421,2025,Texas State,59,13,7,6,0,.538,474,377,97,59,54,53,98.1,23,21,91.3,1,1
422,2025,Washington,59,13,9,4,0,.692,443,243,200,59,59,59,100.0,13,10,76.9,0,0
423,2024,Alabama,59,13,9,4,0,.692,439,226,213,59,57,57,100.0,10,8,80.0,1,1
