Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
1001,2007,Stanford,39,12,4,8,0,.333,235,339,-104,39,38,37,31,22,0
1002,2006,Connecticut,39,12,4,8,0,.333,257,324,-67,39,39,39,20,17,0
1003,2006,Florida International,39,12,0,12,0,.000,115,313,-198,39,38,36,24,13,1
1004,2006,Middle Tennessee State,39,13,7,6,0,.538,296,302,-6,39,39,38,17,10,0
1005,2006,Mississippi State,39,12,3,9,0,.250,221,309,-88,39,36,33,21,14,0
1006,2006,Northwestern,39,12,4,8,0,.333,198,314,-116,39,38,36,20,14,1
1007,2006,Texas Tech,39,13,8,5,0,.615,422,326,96,39,36,35,20,19,0
1008,2005,Akron,39,13,7,6,0,.538,307,318,-11,39,38,37,22,15,0
1009,2005,Arkansas State,39,12,6,6,0,.500,294,303,-9,39,35,34,15,11,0
1010,2005,East Carolina,39,11,5,6,0,.455,267,317,-50,39,38,35,21,16,0
1011,2005,Navy,39,12,8,4,0,.667,410,313,97,39,33,33,19,14,0
1012,2005,Rutgers,39,12,7,5,0,.583,344,307,37,39,33,31,18,12,0
1013,2005,Wake Forest,39,11,4,7,0,.364,269,316,-47,39,38,35,15,15,1
1014,2004,Michigan State,39,12,5,7,0,.417,353,326,27,39,36,35,24,17,0
1015,2004,Oklahoma State,39,12,7,5,0,.583,387,301,86,39,39,37,13,10,0
1016,2003,Bowling Green,39,14,11,3,0,.786,470,304,166,39,35,33,23,11,1
1017,2003,Fresno State,39,14,9,5,0,.643,322,317,5,39,37,35,20,14,2
1018,2003,Kentucky,39,12,4,8,0,.333,328,321,7,39,33,32,19,15,1
1019,2003,Utah State,39,12,3,9,0,.250,264,315,-51,39,36,30,18,17,0
1020,2002,Bowling Green,39,12,9,3,0,.750,490,304,186,39,39,38,11,10,1
1021,2002,UCF,39,12,7,5,0,.583,391,315,76,39,32,30,19,15,1
1022,2002,Illinois,39,12,5,7,0,.417,346,307,39,39,35,33,21,12,1
1023,2002,Kentucky,39,12,7,5,0,.583,385,301,84,39,35,31,16,10,0
1024,2002,Louisville,39,13,7,6,0,.538,374,319,55,39,38,34,29,17,0
1025,2002,West Virginia,39,13,9,4,0,.692,396,302,94,39,36,34,16,10,1
1026,2025,Illinois,38,13,9,4,0,.692,382,307,75,38,35,35,16,14,0
1027,2025,Ole Miss,38,15,13,2,0,.867,554,316,238,38,34,34,26,18,0
