league,season,club,spend_eur_m,sales_eur_m,net_eur_m,arrivals,departures
la_liga,2014-15,Levante UD,0.8,10.0,-9.2,14,14
la_liga,2014-15,Málaga CF,1.5,18.98,-17.48,14,13
la_liga,2014-15,RC Celta de Vigo,3.9,1.5,2.4,12,11
la_liga,2014-15,RC Deportivo La Coruña,1.4,0.0,1.4,17,13
la_liga,2014-15,RCD Espanyol de Barcelona,2.5,11.0,-8.5,15,17
la_liga,2014-15,Rayo Vallecano de Madrid,0.5,0.65,-0.15,22,24
la_liga,2014-15,Real Madrid CF,126.0,112.7,13.3,8,8
la_liga,2014-15,Real Sociedad de Fútbol,12.0,45.2,-33.2,14,14
la_liga,2014-15,SD Eibar,0.16,0.6,-0.44,21,20
la_liga,2014-15,Sevilla FC,20.95,50.55,-29.6,25,22
la_liga,2014-15,UD Almería,0.0,3.0,-3.0,16,17
la_liga,2014-15,Valencia CF,55.05,55.45,-0.4,23,25
la_liga,2014-15,Villarreal CF,18.7,22.5,-3.8,14,15
la_liga,2015-16,Athletic Club,10.0,0.0,10.0,13,16
la_liga,2015-16,Club Atlético de Madrid,119.0,152.0,-33.0,22,23
la_liga,2015-16,FC Barcelona,51.0,38.3,12.7,11,10
la_liga,2015-16,Getafe CF,0.27,4.1,-3.83,14,12
la_liga,2015-16,Granada CF,3.85,11.17,-7.32,39,41
la_liga,2015-16,Levante UD,6.55,0.0,6.55,16,15
la_liga,2015-16,Málaga CF,8.65,46.8,-38.15,20,20
la_liga,2015-16,RC Celta de Vigo,16.3,18.5,-2.2,10,12
la_liga,2015-16,RC Deportivo La Coruña,8.0,0.0,8.0,18,20
la_liga,2015-16,RCD Espanyol de Barcelona,4.45,15.2,-10.75,24,19
la_liga,2015-16,Rayo Vallecano de Madrid,0.4,0.0,0.4,18,17
la_liga,2015-16,Real Betis Balompié,8.85,1.05,7.8,22,18
la_liga,2015-16,Real Madrid CF,85.4,17.65,67.75,11,11
la_liga,2015-16,Real Sociedad de Fútbol,27.1,1.0,26.1,16,14
la_liga,2015-16,SD Eibar,3.7,0.0,3.7,27,27
la_liga,2015-16,Sevilla FC,44.0,61.45,-17.45,23,21
la_liga,2015-16,Sporting Gijón,0.0,0.0,0.0,9,7
la_liga,2015-16,UD Las Palmas,6.4,0.0,6.4,17,17
la_liga,2015-16,Valencia CF,143.9,50.0,93.9,20,16
la_liga,2015-16,Villarreal CF,47.2,37.56,9.64,19,18
la_liga,2016-17,Athletic Club,0.0,0.0,0.0,16,14
la_liga,2016-17,CA Osasuna,2.2,3.75,-1.55,15,9
la_liga,2016-17,CD Leganés,5.45,0.2,5.25,22,19
la_liga,2016-17,Club Atlético de Madrid,78.8,44.0,34.8,22,21
la_liga,2016-17,Deportivo Alavés,6.33,0.0,6.33,19,18
la_liga,2016-17,FC Barcelona,124.75,33.8,90.95,11,13
la_liga,2016-17,Granada CF,11.58,31.6,-20.02,38,39
la_liga,2016-17,Málaga CF,12.54,0.0,12.54,19,16
la_liga,2016-17,RC Celta de Vigo,8.4,19.8,-11.4,11,7
la_liga,2016-17,RC Deportivo La Coruña,7.0,20.0,-13.0,23,24
la_liga,2016-17,RCD Espanyol de Barcelona,18.4,6.0,12.4,20,22
la_liga,2016-17,Real Betis Balompié,20.9,8.0,12.9,21,24
la_liga,2016-17,Real Madrid CF,30.0,37.5,-7.5,14,12
la_liga,2016-17,Real Sociedad de Fútbol,18.0,11.0,7.0,13,12
la_liga,2016-17,SD Eibar,8.6,5.0,3.6,21,22
la_liga,2016-17,Sevilla FC,81.7,93.45,-11.75,17,19
la_liga,2016-17,Sporting Gijón,1.0,0.0,1.0,16,14
la_liga,2016-17,UD Las Palmas,2.9,0.2,2.7,15,17
la_liga,2016-17,Valencia CF,36.0,121.9,-85.9,16,18
la_liga,2016-17,Villarreal CF,55.95,67.25,-11.3,23,22
la_liga,2017-18,Athletic Club,32.0,65.0,-33.0,9,9
la_liga,2017-18,CD Leganés,6.55,0.13,6.42,20,23
la_liga,2017-18,Club Atlético de Madrid,95.6,104.0,-8.4,17,21
la_liga,2017-18,Deportivo Alavés,12.33,7.5,4.83,21,21
la_liga,2017-18,FC Barcelona,380.1,232.5,147.6,13,12
la_liga,2017-18,Getafe CF,12.9,1.6,11.3,26,24
la_liga,2017-18,Girona FC,8.75,0.0,8.75,20,22
la_liga,2017-18,Levante UD,10.0,13.85,-3.85,23,17
la_liga,2017-18,Málaga CF,10.5,33.4,-22.9,25,25
la_liga,2017-18,RC Celta de Vigo,26.8,13.2,13.6,15,20
la_liga,2017-18,RC Deportivo La Coruña,9.5,5.5,4.0,21,19
la_liga,2017-18,RCD Espanyol de Barcelona,17.05,10.5,6.55,17,17
la_liga,2017-18,Real Betis Balompié,38.5,27.07,11.43,21,22
la_liga,2017-18,Real Madrid CF,40.5,132.5,-92.0,9,10
la_liga,2017-18,Real Sociedad de Fútbol,25.5,53.0,-27.5,14,14
la_liga,2017-18,SD Eibar,10.25,10.0,0.25,22,20
la_liga,2017-18,Sevilla FC,78.05,81.6,-3.55,17,15
la_liga,2017-18,UD Las Palmas,0.35,25.7,-25.35,23,22
la_liga,2017-18,Valencia CF,55.0,16.55,38.45,23,23
la_liga,2017-18,Villarreal CF,46.1,68.0,-21.9,18,16
la_liga,2018-19,Athletic Club,32.9,80.0,-47.1,11,9
la_liga,2018-19,CD Leganés,18.9,24.6,-5.7,30,27
la_liga,2018-19,Club Atlético de Madrid,168.0,57.9,110.1,21,19
la_liga,2018-19,Deportivo Alavés,10.0,9.0,1.0,25,25
la_liga,2018-19,FC Barcelona,141.1,146.05,-4.95,19,19
la_liga,2018-19,Getafe CF,27.25,3.5,23.75,28,28
la_liga,2018-19,Girona FC,10.2,3.3,6.9,11,11
la_liga,2018-19,Levante UD,26.7,39.0,-12.3,17,22
la_liga,2018-19,RC Celta de Vigo,30.0,35.7,-5.7,23,18
la_liga,2018-19,RCD Espanyol de Barcelona,22.6,30.8,-8.2,13,13
la_liga,2018-19,Rayo Vallecano de Madrid,12.3,13.0,-0.7,28,27
la_liga,2018-19,Real Betis Balompié,44.5,49.3,-4.8,19,20
la_liga,2018-19,Real Madrid CF,164.75,136.1,28.65,16,14
la_liga,2018-19,Real Sociedad de Fútbol,12.0,32.8,-20.8,12,14
la_liga,2018-19,Real Valladolid CF,10.1,0.0,10.1,21,22
la_liga,2018-19,SD Eibar,8.0,7.75,0.25,15,17
la_liga,2018-19,SD Huesca,9.8,0.4,9.4,22,23
la_liga,2018-19,Sevilla FC,81.05,93.8,-12.75,20,22
la_liga,2018-19,Valencia CF,129.2,68.8,60.4,22,22
la_liga,2018-19,Villarreal CF,92.9,54.8,38.1,24,24
la_liga,2019-20,Athletic Club,0.0,0.0,0.0,10,12
la_liga,2019-20,CA Osasuna,14.45,0.3,14.15,21,16
la_liga,2019-20,CD Leganés,16.4,40.82,-24.42,30,35
la_liga,2019-20,Club Atlético de Madrid,247.35,309.0,-61.65,21,19
la_liga,2019-20,Deportivo Alavés,11.77,22.5,-10.73,28,26
la_liga,2019-20,FC Barcelona,298.5,152.9,145.6,22,23
la_liga,2019-20,Getafe CF,21.5,11.25,10.25,21,19
la_liga,2019-20,Granada CF,11.0,0.3,10.7,20,17
la_liga,2019-20,Levante UD,14.6,14.9,-0.3,21,21
la_liga,2019-20,RC Celta de Vigo,24.6,40.65,-16.05,18,17
la_liga,2019-20,RCD Espanyol de Barcelona,61.5,59.0,2.5,18,15
la_liga,2019-20,RCD Mallorca,7.5,0.0,7.5,31,29
la_liga,2019-20,Real Betis Balompié,92.75,72.0,20.75,21,19
la_liga,2019-20,Real Madrid CF,355.5,135.5,220.0,23,22
la_liga,2019-20,Real Sociedad de Fútbol,31.75,9.5,22.25,13,14
la_liga,2019-20,Real Valladolid CF,1.4,8.0,-6.6,21,22
la_liga,2019-20,SD Eibar,17.3,27.0,-9.7,19,17
la_liga,2019-20,Sevilla FC,178.73,131.45,47.28,30,33
la_liga,2019-20,Valencia CF,75.0,56.3,18.7,24,21
la_liga,2019-20,Villarreal CF,43.8,69.3,-25.5,19,20
la_liga,2020-21,Athletic Club,12.0,0.0,12.0,12,9
la_liga,2020-21,CA Osasuna,9.15,3.45,5.7,15,15
la_liga,2020-21,Club Atlético de Madrid,91.0,83.3,7.7,14,15
la_liga,2020-21,Cádiz CF,10.1,0.0,10.1,30,31
la_liga,2020-21,Deportivo Alavés,0.0,4.88,-4.88,23,24
la_liga,2020-21,Elche CF,6.1,7.3,-1.2,20,18
la_liga,2020-21,FC Barcelona,112.0,148.8,-36.8,18,15
la_liga,2020-21,Getafe CF,22.05,9.75,12.3,21,24
la_liga,2020-21,Granada CF,20.5,0.0,20.5,13,13
la_liga,2020-21,Levante UD,4.0,5.0,-1.0,15,14
la_liga,2020-21,RC Celta de Vigo,3.0,2.5,0.5,10,12
la_liga,2020-21,Real Betis Balompié,0.0,43.7,-43.7,16,14
la_liga,2020-21,Real Madrid CF,0.0,104.2,-104.2,15,19
la_liga,2020-21,Real Sociedad de Fútbol,10.0,28.25,-18.25,11,7
la_liga,2020-21,Real Valladolid CF,9.85,12.1,-2.25,28,24
la_liga,2020-21,SD Eibar,2.0,0.15,1.85,13,13
la_liga,2020-21,SD Huesca,4.65,0.0,4.65,21,18
la_liga,2020-21,Sevilla FC,72.75,19.68,53.07,22,19
la_liga,2020-21,Valencia CF,0.05,87.85,-87.8,14,13
la_liga,2020-21,Villarreal CF,36.5,26.65,9.85,24,20
la_liga,2021-22,Athletic Club,0.0,0.0,0.0,6,9
la_liga,2021-22,CA Osasuna,8.7,0.0,8.7,14,15
la_liga,2021-22,Club Atlético de Madrid,76.7,38.75,37.95,18,18
la_liga,2021-22,Cádiz CF,6.1,0.0,6.1,24,22
la_liga,2021-22,Deportivo Alavés,1.15,3.5,-2.35,24,22
la_liga,2021-22,Elche CF,8.2,2.1,6.1,17,17
la_liga,2021-22,FC Barcelona,69.5,70.55,-1.05,19,17
la_liga,2021-22,Getafe CF,16.0,21.0,-5.0,22,19
la_liga,2021-22,Granada CF,17.45,3.0,14.45,20,18
la_liga,2021-22,Levante UD,1.25,0.0,1.25,13,10
la_liga,2021-22,RC Celta de Vigo,9.02,1.8,7.22,13,16
la_liga,2021-22,RCD Espanyol de Barcelona,6.0,0.0,6.0,13,10
la_liga,2021-22,RCD Mallorca,10.0,9.0,1.0,21,23
la_liga,2021-22,Rayo Vallecano de Madrid,4.3,2.2,2.1,16,19
la_liga,2021-22,Real Betis Balompié,3.5,14.0,-10.5,9,8
la_liga,2021-22,Real Madrid CF,31.0,78.0,-47.0,10,7
la_liga,2021-22,Real Sociedad de Fútbol,2.5,0.0,2.5,7,9
la_liga,2021-22,Sevilla FC,41.5,28.5,13.0,17,17
la_liga,2021-22,Valencia CF,12.85,2.7,10.15,16,16
la_liga,2021-22,Villarreal CF,54.5,10.75,43.75,20,21
la_liga,2022-23,Athletic Club,0.0,0.0,0.0,13,13
la_liga,2022-23,CA Osasuna,2.0,0.0,2.0,12,14
la_liga,2022-23,Club Atlético de Madrid,29.5,20.25,9.25,21,21
la_liga,2022-23,Cádiz CF,9.5,1.0,8.5,27,24
la_liga,2022-23,Elche CF,13.16,5.5,7.66,20,17
la_liga,2022-23,FC Barcelona,153.0,39.0,114.0,15,22
la_liga,2022-23,Getafe CF,15.75,15.0,0.75,21,21
la_liga,2022-23,Girona FC,9.5,0.0,9.5,20,19
la_liga,2022-23,RC Celta de Vigo,21.0,17.2,3.8,19,18
la_liga,2022-23,RCD Espanyol de Barcelona,20.6,6.8,13.8,22,22
la_liga,2022-23,RCD Mallorca,13.1,4.3,8.8,19,20
la_liga,2022-23,Rayo Vallecano de Madrid,3.3,0.2,3.1,15,15
la_liga,2022-23,Real Betis Balompié,25.0,14.75,10.25,10,12
la_liga,2022-23,Real Madrid CF,80.0,92.15,-12.15,11,12
la_liga,2022-23,Real Sociedad de Fútbol,53.0,80.5,-27.5,17,16
la_liga,2022-23,Real Valladolid CF,6.3,1.0,5.3,26,29
la_liga,2022-23,Sevilla FC,29.4,91.5,-62.1,20,22
la_liga,2022-23,UD Almería,37.08,22.2,14.88,24,24
la_liga,2022-23,Valencia CF,12.5,54.6,-42.1,12,15
la_liga,2022-23,Villarreal CF,6.48,31.6,-25.12,15,18
ligue_1,2014-15,AS Monaco FC,39.75,89.12,-49.37,26,28
ligue_1,2014-15,AS Saint-Étienne,4.0,0.0,4.0,9,11
ligue_1,2014-15,EA Guingamp,2.56,2.5,0.06,12,11
ligue_1,2014-15,FC Lorient,8.45,19.2,-10.75,18,20
ligue_1,2014-15,FC Metz,3.6,7.65,-4.05,20,18
ligue_1,2014-15,FC Nantes,0.42,0.0,0.42,10,11
ligue_1,2014-15,Girondins Bordeaux,7.7,4.5,3.2,19,14
ligue_1,2014-15,Lille OSC,7.8,19.73,-11.93,13,11
ligue_1,2014-15,Montpellier HSC,4.0,15.9,-11.9,12,13
ligue_1,2014-15,OGC Nice,1.3,7.4,-6.1,11,15
ligue_1,2014-15,Olympique Lyonnais,5.65,1.5,4.15,7,9
ligue_1,2014-15,Olympique de Marseille,20.5,17.5,3.0,16,16
ligue_1,2014-15,Paris Saint-Germain FC,49.5,2.2,47.3,9,8
ligue_1,2014-15,Racing Club de Lens,0.0,3.0,-3.0,7,10
ligue_1,2014-15,SC Bastia,0.1,2.0,-1.9,28,20
ligue_1,2014-15,SM Caen,0.8,0.0,0.8,13,12
ligue_1,2014-15,Stade Rennais FC 1901,15.14,20.5,-5.36,23,21
ligue_1,2014-15,Stade de Reims,0.0,5.5,-5.5,10,11
ligue_1,2014-15,Toulouse FC,3.0,13.7,-10.7,11,9
ligue_1,2014-15,Évian Thonon Gaillard,2.25,3.0,-0.75,17,16
ligue_1,2015-16,AS Monaco FC,101.06,175.4,-74.34,30,29
ligue_1,2015-16,AS Saint-Étienne,20.3,23.2,-2.9,17,13
ligue_1,2015-16,Angers SCO,0.0,5.9,-5.9,23,22
ligue_1,2015-16,EA Guingamp,1.95,6.0,-4.05,15,13
ligue_1,2015-16,ESTAC Troyes,0.3,7.3,-7.0,17,17
ligue_1,2015-16,FC Lorient,9.93,18.5,-8.57,14,15
ligue_1,2015-16,FC Nantes,7.0,17.55,-10.55,14,14
ligue_1,2015-16,Gazélec FC Ajaccio,0.0,0.0,0.0,9,10
ligue_1,2015-16,Girondins Bordeaux,11.0,22.3,-11.3,13,13
ligue_1,2015-16,Lille OSC,12.9,35.25,-22.35,23,18
ligue_1,2015-16,Montpellier HSC,2.72,4.0,-1.27,11,8
ligue_1,2015-16,OGC Nice,4.1,14.0,-9.9,22,20
ligue_1,2015-16,Olympique Lyonnais,41.1,26.8,14.3,11,13
ligue_1,2015-16,Olympique de Marseille,19.75,54.45,-34.7,23,18
ligue_1,2015-16,Paris Saint-Germain FC,116.1,22.9,93.2,9,11
ligue_1,2015-16,SC Bastia,0.0,1.7,-1.7,13,17
ligue_1,2015-16,SM Caen,6.05,14.0,-7.95,21,16
ligue_1,2015-16,Stade Rennais FC 1901,5.64,10.6,-4.96,18,19
ligue_1,2015-16,Stade de Reims,2.4,1.5,0.9,13,10
ligue_1,2015-16,Toulouse FC,2.9,10.5,-7.6,10,13
ligue_1,2016-17,AS Monaco FC,50.5,18.45,32.05,25,29
ligue_1,2016-17,AS Nancy Lorraine,2.3,10.9,-8.6,14,9
ligue_1,2016-17,AS Saint-Étienne,7.0,2.25,4.75,15,15
ligue_1,2016-17,Angers SCO,5.2,4.4,0.8,21,20
ligue_1,2016-17,Dijon FCO,3.15,1.25,1.9,14,15
ligue_1,2016-17,EA Guingamp,0.0,2.5,-2.5,16,17
ligue_1,2016-17,FC Lorient,8.6,32.15,-23.55,25,20
ligue_1,2016-17,FC Metz,0.4,0.78,-0.38,26,27
ligue_1,2016-17,FC Nantes,5.0,2.64,2.36,13,12
ligue_1,2016-17,Girondins Bordeaux,11.85,2.6,9.25,13,15
ligue_1,2016-17,Lille OSC,20.7,47.0,-26.3,21,25
ligue_1,2016-17,Montpellier HSC,6.4,19.4,-13.0,14,16
ligue_1,2016-17,OGC Nice,15.25,15.8,-0.55,21,19
ligue_1,2016-17,Olympique Lyonnais,28.6,27.3,1.3,13,13
ligue_1,2016-17,Olympique de Marseille,53.0,81.49,-28.49,26,25
ligue_1,2016-17,Paris Saint-Germain FC,134.5,59.8,74.7,16,15
ligue_1,2016-17,SC Bastia,0.25,7.0,-6.75,17,18
ligue_1,2016-17,SM Caen,4.25,11.0,-6.75,11,11
ligue_1,2016-17,Stade Rennais FC 1901,2.27,55.3,-53.03,24,22
ligue_1,2016-17,Toulouse FC,13.0,10.0,3.0,19,15
ligue_1,2017-18,AS Monaco FC,122.4,199.5,-77.1,25,23
ligue_1,2017-18,AS Saint-Étienne,19.3,15.5,3.8,19,22
ligue_1,2017-18,Amiens SC,6.63,8.0,-1.37,18,16
ligue_1,2017-18,Angers SCO,12.4,26.0,-13.6,18,21
ligue_1,2017-18,Dijon FCO,5.5,15.0,-9.5,12,13
ligue_1,2017-18,EA Guingamp,1.38,1.45,-0.07,15,16
ligue_1,2017-18,ESTAC Troyes,0.0,0.0,0.0,9,11
ligue_1,2017-18,FC Metz,3.6,22.85,-19.25,23,21
ligue_1,2017-18,FC Nantes,11.3,10.0,1.3,14,11
ligue_1,2017-18,Girondins Bordeaux,32.6,28.25,4.35,25,23
ligue_1,2017-18,Lille OSC,76.5,31.1,45.4,31,30
ligue_1,2017-18,Montpellier HSC,5.7,20.8,-15.1,14,16
ligue_1,2017-18,OGC Nice,26.3,27.5,-1.2,15,19
ligue_1,2017-18,Olympique Lyonnais,58.05,119.55,-61.5,19,20
ligue_1,2017-18,Olympique de Marseille,62.0,2.75,59.25,17,21
ligue_1,2017-18,Paris Saint-Germain FC,238.0,98.4,139.6,11,14
ligue_1,2017-18,RC Strasbourg Alsace,5.4,2.0,3.4,16,15
ligue_1,2017-18,SM Caen,6.95,6.0,0.95,16,16
ligue_1,2017-18,Stade Rennais FC 1901,53.9,15.8,38.1,19,22
ligue_1,2017-18,Toulouse FC,3.5,13.0,-9.5,11,15
ligue_1,2018-19,AS Monaco FC,145.85,367.25,-221.4,37,29
ligue_1,2018-19,AS Saint-Étienne,15.0,18.7,-3.7,18,22
ligue_1,2018-19,Amiens SC,7.49,10.0,-2.51,21,27
ligue_1,2018-19,Angers SCO,4.45,21.0,-16.55,20,19
ligue_1,2018-19,Dijon FCO,9.2,4.0,5.2,15,15
ligue_1,2018-19,EA Guingamp,3.5,4.0,-0.5,13,13
ligue_1,2018-19,FC Nantes,14.35,22.2,-7.85,16,18
ligue_1,2018-19,Girondins Bordeaux,21.46,50.7,-29.24,17,20
ligue_1,2018-19,Lille OSC,8.9,69.7,-60.8,15,20
ligue_1,2018-19,Montpellier HSC,10.15,25.5,-15.35,13,10
ligue_1,2018-19,Nîmes Olympique,3.15,0.0,3.15,13,8
ligue_1,2018-19,OGC Nice,28.0,61.7,-33.7,13,12
ligue_1,2018-19,Olympique Lyonnais,46.45,90.1,-43.65,18,17
ligue_1,2018-19,Olympique de Marseille,66.0,32.85,33.15,13,10
ligue_1,2018-19,Paris Saint-Germain FC,262.0,114.0,148.0,21,18
ligue_1,2018-19,RC Strasbourg Alsace,15.75,14.0,1.75,16,12
ligue_1,2018-19,SM Caen,9.95,14.5,-4.55,26,25
ligue_1,2018-19,Stade Rennais FC 1901,18.0,18.5,-0.5,19,15
ligue_1,2018-19,Stade de Reims,15.5,11.0,4.5,15,14
ligue_1,2018-19,Toulouse FC,18.45,35.5,-17.05,18,19
ligue_1,2019-20,AS Monaco FC,200.0,83.75,116.25,33,39
ligue_1,2019-20,AS Saint-Étienne,13.45,45.85,-32.4,26,17
ligue_1,2019-20,Amiens SC,18.15,5.44,12.71,26,20
ligue_1,2019-20,Angers SCO,10.4,34.0,-23.6,16,18
ligue_1,2019-20,Dijon FCO,10.46,24.5,-14.04,15,16
ligue_1,2019-20,FC Metz,14.35,2.6,11.75,19,16
ligue_1,2019-20,FC Nantes,18.75,38.5,-19.75,22,20
ligue_1,2019-20,Girondins Bordeaux,17.0,52.25,-35.25,18,19
ligue_1,2019-20,Lille OSC,98.4,151.0,-52.6,18,18
ligue_1,2019-20,Montpellier HSC,20.3,40.0,-19.7,16,17
ligue_1,2019-20,Nîmes Olympique,9.85,20.5,-10.65,17,17
ligue_1,2019-20,OGC Nice,52.2,23.11,29.09,15,16
ligue_1,2019-20,Olympique Lyonnais,126.0,158.32,-32.32,16,14
ligue_1,2019-20,Olympique de Marseille,27.0,27.25,-0.25,10,12
ligue_1,2019-20,Paris Saint-Germain FC,95.0,105.9,-10.9,21,18
ligue_1,2019-20,RC Strasbourg Alsace,11.0,21.5,-10.5,8,13
ligue_1,2019-20,Stade Brestois 29,7.5,0.5,7.0,13,13
ligue_1,2019-20,Stade Rennais FC 1901,58.1,54.5,3.6,22,21
ligue_1,2019-20,Stade de Reims,18.7,26.6,-7.9,19,20
ligue_1,2019-20,Toulouse FC,14.0,17.15,-3.15,23,18
ligue_1,2020-21,AS Monaco FC,52.7,13.53,39.17,32,32
ligue_1,2020-21,AS Saint-Étienne,5.6,44.1,-38.5,24,23
ligue_1,2020-21,Angers SCO,11.25,10.7,0.55,17,14
ligue_1,2020-21,Dijon FCO,15.8,17.0,-1.2,18,15
ligue_1,2020-21,FC Lorient,26.5,6.5,20.0,21,19
ligue_1,2020-21,FC Metz,14.7,10.0,4.7,24,20
ligue_1,2020-21,FC Nantes,5.0,2.0,3.0,11,13
ligue_1,2020-21,Girondins Bordeaux,0.0,17.0,-17.0,14,13
ligue_1,2020-21,Lille OSC,40.43,104.18,-63.74,15,14
ligue_1,2020-21,Montpellier HSC,13.1,0.0,13.1,11,9
ligue_1,2020-21,Nîmes Olympique,11.25,2.5,8.75,12,7
ligue_1,2020-21,OGC Nice,29.23,20.51,8.72,25,25
ligue_1,2020-21,Olympique Lyonnais,33.25,50.6,-17.35,14,21
ligue_1,2020-21,Olympique de Marseille,17.42,32.05,-14.63,11,12
ligue_1,2020-21,Paris Saint-Germain FC,62.0,0.4,61.6,15,16
ligue_1,2020-21,RC Strasbourg Alsace,12.0,0.5,11.5,8,7
ligue_1,2020-21,Racing Club de Lens,19.0,0.0,19.0,16,15
ligue_1,2020-21,Stade Brestois 29,16.1,12.0,4.1,16,15
ligue_1,2020-21,Stade Rennais FC 1901,70.56,55.42,15.14,16,22
ligue_1,2020-21,Stade de Reims,11.2,17.0,-5.8,8,14
ligue_1,2021-22,AS Monaco FC,45.5,34.75,10.75,22,24
ligue_1,2021-22,AS Saint-Étienne,0.6,0.0,0.6,13,15
ligue_1,2021-22,Angers SCO,1.8,18.1,-16.3,10,15
ligue_1,2021-22,Clermont Foot 63,0.0,0.0,0.0,17,16
ligue_1,2021-22,ESTAC Troyes,21.8,0.0,21.8,24,23
ligue_1,2021-22,FC Lorient,10.5,10.0,0.5,15,17
ligue_1,2021-22,FC Metz,2.5,21.5,-19.0,20,19
ligue_1,2021-22,FC Nantes,7.5,15.8,-8.3,12,15
ligue_1,2021-22,Girondins Bordeaux,9.8,18.1,-8.3,24,19
ligue_1,2021-22,Lille OSC,20.0,75.46,-55.46,16,16
ligue_1,2021-22,Montpellier HSC,0.2,25.0,-24.8,13,15
ligue_1,2021-22,OGC Nice,55.0,25.1,29.9,22,23
ligue_1,2021-22,Olympique Lyonnais,22.92,95.6,-72.68,22,16
ligue_1,2021-22,Olympique de Marseille,47.12,7.5,39.62,22,21
ligue_1,2021-22,Paris Saint-Germain FC,89.5,11.0,78.5,20,18
ligue_1,2021-22,RC Strasbourg Alsace,4.5,16.0,-11.5,17,19
ligue_1,2021-22,Racing Club de Lens,20.6,18.0,2.6,17,19
ligue_1,2021-22,Stade Brestois 29,9.5,28.2,-18.7,14,15
ligue_1,2021-22,Stade Rennais FC 1901,79.5,45.65,33.85,23,20
ligue_1,2021-22,Stade de Reims,16.0,15.05,0.95,21,15
ligue_1,2022-23,AC Ajaccio,0.3,0.6,-0.3,13,11
ligue_1,2022-23,AJ Auxerre,3.75,0.5,3.25,25,17
ligue_1,2022-23,AS Monaco FC,43.5,157.0,-113.5,19,21
ligue_1,2022-23,Angers SCO,6.0,37.0,-31.0,27,18
ligue_1,2022-23,Clermont Foot 63,2.3,21.4,-19.1,23,26
ligue_1,2022-23,ESTAC Troyes,20.1,10.0,10.1,24,25
ligue_1,2022-23,FC Lorient,30.2,39.35,-9.15,26,27
ligue_1,2022-23,FC Nantes,8.45,0.0,8.45,15,12
ligue_1,2022-23,Lille OSC,26.0,101.0,-75.0,15,16
ligue_1,2022-23,Montpellier HSC,9.5,10.0,-0.5,14,14
ligue_1,2022-23,OGC Nice,84.0,44.4,39.6,26,26
ligue_1,2022-23,Olympique Lyonnais,32.45,78.85,-46.4,17,22
ligue_1,2022-23,Olympique de Marseille,115.4,39.63,75.77,24,27
ligue_1,2022-23,Paris Saint-Germain FC,147.5,59.3,88.2,21,34
ligue_1,2022-23,RC Strasbourg Alsace,7.0,10.9,-3.9,18,15
ligue_1,2022-23,Racing Club de Lens,38.35,52.09,-13.74,23,15
ligue_1,2022-23,Stade Brestois 29,5.35,2.1,3.25,17,17
ligue_1,2022-23,Stade Rennais FC 1901,80.5,95.0,-14.5,21,20
ligue_1,2022-23,Stade de Reims,16.6,28.8,-12.2,22,29
ligue_1,2022-23,Toulouse FC,13.5,11.0,2.5,15,15
serie_a,2013-14,AC Milan,43.13,17.4,25.73,17,47
serie_a,2013-14,ACF Fiorentina,53.3,41.0,12.3,16,32
serie_a,2013-14,AS Livorno,4.82,1.8,3.02,21,33
serie_a,2013-14,AS Roma,75.39,120.39,-45.0,22,49
serie_a,2013-14,Atalanta BC,11.32,6.2,5.12,14,39
serie_a,2013-14,Bologna FC 1909,6.59,18.0,-11.41,20,47
serie_a,2013-14,Cagliari Calcio,1.8,7.3,-5.5,11,19
serie_a,2013-14,Calcio Catania,8.37,11.09,-2.72,18,40
serie_a,2013-14,Chievo Verona,3.9,5.86,-1.96,28,65
serie_a,2013-14,FC Internazionale Milano,59.89,11.0,48.89,19,42
serie_a,2013-14,Genoa CFC,23.44,30.23,-6.79,31,65
serie_a,2013-14,Hellas Verona FC,8.1,9.5,-1.4,28,48
serie_a,2013-14,Juventus FC,45.5,69.09,-23.59,16,45
serie_a,2013-14,Parma Calcio 1913,13.59,35.22,-21.63,115,233
serie_a,2013-14,SS Lazio,26.83,28.45,-1.62,13,25
serie_a,2013-14,SSC Napoli,107.45,74.2,33.25,16,39
serie_a,2013-14,Torino FC,20.25,21.84,-1.59,19,27
serie_a,2013-14,UC Sampdoria,19.6,25.45,-5.85,15,55
serie_a,2013-14,US Sassuolo Calcio,46.5,5.0,41.5,30,29
serie_a,2013-14,Udinese Calcio,24.41,47.7,-23.29,24,54
serie_a,2014-15,AC Cesena,9.85,13.65,-3.8,26,56
serie_a,2014-15,AC Milan,16.9,28.2,-11.3,20,59
serie_a,2014-15,ACF Fiorentina,9.1,38.0,-28.9,17,36
serie_a,2014-15,AS Roma,99.51,42.6,56.91,21,44
serie_a,2014-15,Atalanta BC,11.09,20.0,-8.91,15,54
serie_a,2014-15,Cagliari Calcio,22.6,21.92,0.68,24,28
serie_a,2014-15,Chievo Verona,8.6,5.04,3.56,30,76
serie_a,2014-15,Empoli FC,0.86,4.56,-3.7,23,35
serie_a,2014-15,FC Internazionale Milano,16.95,23.5,-6.55,25,53
serie_a,2014-15,Genoa CFC,7.45,25.95,-18.5,27,61
serie_a,2014-15,Hellas Verona FC,22.26,30.25,-7.99,30,58
serie_a,2014-15,Juventus FC,59.3,24.41,34.89,26,61
serie_a,2014-15,Parma Calcio 1913,17.24,17.75,-0.51,40,215
serie_a,2014-15,SS Lazio,12.75,0.15,12.6,13,32
