weeks_1_to,games,dog_cover,boot_lo,p_le_break_even,roi_at_110
1,251,0.5378,0.5,0.2314,0.0268
2,500,0.552,0.5288,0.0088,0.0538
3,750,0.552,0.532,0.0041,0.0538
4,990,0.5465,0.5278,0.0088,0.0433
5,1217,0.5407,0.5234,0.0278,0.0322
6,1441,0.5413,0.5241,0.0236,0.0334
7,1660,0.5355,0.5197,0.0797,0.0224
8,1880,0.5277,0.5122,0.3122,0.0074
9,2089,0.5237,0.5086,0.5019,-0.0002
