variant,n,log_loss,acc,auc,d_vs_base
qb_talent,3028,0.6319,0.6522,0.6979,-0.0055
talent,3028,0.6335,0.6516,0.6949,-0.0039
qb,3028,0.6349,0.6456,0.6917,-0.0025
base,3028,0.6374,0.6417,0.6873,0.0
spread,3028,0.6744,0.6539,0.702,0.037
