season,n,accuracy,brier
2010,267,0.6704,0.2127
2011,267,0.6442,0.2121
2012,266,0.6278,0.2236
2013,266,0.6617,0.2164
2014,266,0.6504,0.2139
2015,267,0.603,0.2348
2016,265,0.6113,0.2232
2017,267,0.633,0.2146
2018,265,0.6491,0.2164
2019,266,0.6466,0.2249
2020,268,0.6604,0.2047
2021,284,0.6408,0.2296
2022,282,0.6348,0.2168
2023,285,0.6316,0.2301
2024,285,0.6596,0.2144
2025,284,0.6549,0.2156
