season,n,accuracy,brier
2010,262,0.4733,0.2546
2011,256,0.5469,0.2491
2012,262,0.4733,0.2505
2013,260,0.4731,0.2524
2014,261,0.4866,0.2511
2015,257,0.5214,0.2494
2016,262,0.4733,0.2526
2017,259,0.5483,0.2506
2018,258,0.4729,0.251
2019,257,0.5681,0.2468
2020,269,0.5056,0.2528
2021,281,0.5409,0.2488
2022,274,0.4854,0.2512
2023,271,0.4649,0.2525
2024,281,0.4875,0.2507
2025,284,0.493,0.2504
