model,n,accuracy,log_loss,brier,auc,top3_hit,top3_conf,weeks_swept
market (closing),3018,0.6614,0.6121,0.2122,0.7179,0.7956,0.7834,0.5424
logistic,3018,0.6567,0.6178,0.2144,0.7118,0.7689,0.7828,0.4915
extratrees,3018,0.6604,0.6205,0.2157,0.7083,0.7837,0.7783,0.5127
rf,3018,0.66,0.6225,0.2164,0.7053,0.7807,0.7819,0.5127
xgb,3018,0.6441,0.6272,0.2186,0.6973,0.7644,0.776,0.4788
lgbm,3018,0.6349,0.6339,0.2218,0.6855,0.7793,0.7671,0.5085
