feature,gain,split
away_std_margin,1603.8743374347687,281
home_roll_total_vs_line,1436.9079592227936,269
travel_miles,1436.34283721447,263
home_std_margin,1361.3322442770004,247
home_roll_ats,1231.892070055008,235
away_ppg_diff_std,1202.1060814857483,218
home_ppg_diff_std,1195.6853688955307,226
away_roll_total_vs_line,1169.0387892723083,222
away_roll_pf,1126.1956306695938,218
elo_vs_spread,1067.6589909791946,207
market_vig,1051.3519911766052,206
roll_margin_diff,1040.3491207361221,195
home_winpct_std,1014.9555513858795,185
home_roll_margin,1008.7582976818085,189
away_roll_pa,989.1112608909607,188
total_line,929.1942322254181,176
winpct_diff,929.0076200962067,167
roll_ats_diff,927.4088668823242,182
temp,914.6039736270905,179
home_roll_pa,871.7312893867493,168
home_roll_pf,849.0122582912445,159
wind,835.3733994960785,156
away_winpct_std,813.3857889175415,140
away_roll_ats,742.6992423534393,153
elo_diff,697.2730786800385,130
market_home_prob,637.5159183740616,114
away_roll_margin,634.5224524736404,120
week,512.8159306049347,95
elo_home_prob,492.89347076416016,95
spread_line,250.6955704689026,45
div_game,183.78849983215332,38
away_rest,172.49304127693176,34
home_rest,152.07775974273682,31
away_qb_change,105.74958038330078,20
rest_diff,97.32946109771729,18
elo_spread,90.79918885231018,16
away_off_bye,29.207469940185547,6
home_qb_change,20.111520051956177,3
indoor,13.841800212860107,3
is_primetime,7.3831400871276855,2
home_off_bye,4.620530128479004,1
is_neutral,0.0,0
away_short_week,0.0,0
home_short_week,0.0,0
is_playoff,0.0,0
