model,n,accuracy,log_loss,brier,auc,top3_hit,top3_conf,weeks_swept,half_life
lgbm hl=none,3018,0.6388,0.6308,0.2205,0.6891,0.7615,0.7736,0.4915,0.0
lgbm hl=1.5,3018,0.6345,0.6382,0.2235,0.6802,0.7496,0.7579,0.4364,1.5
lgbm hl=3.0,3018,0.6415,0.6355,0.2224,0.6837,0.7615,0.7657,0.4831,3.0
lgbm hl=6.0,3018,0.6349,0.6339,0.2218,0.6855,0.7793,0.7671,0.5085,6.0
lgbm hl=10.0,3018,0.6362,0.634,0.2219,0.6846,0.7659,0.7683,0.4873,10.0
