season,bets,wins,win_pct,units,roi
2010,231,125,0.5411255411255411,44.45,0.1924
2011,222,101,0.45495495495495497,4.09,0.0184
2012,233,92,0.3948497854077253,-43.75,-0.1877
2013,211,85,0.4028436018957346,-4.66,-0.0221
2014,216,96,0.4444444444444444,-3.6,-0.0167
2015,222,114,0.5135135135135135,16.65,0.075
2016,221,86,0.3891402714932127,3.28,0.0148
2017,223,96,0.4304932735426009,-3.12,-0.014
2018,219,106,0.4840182648401826,19.58,0.0894
2019,222,95,0.42792792792792794,-14.44,-0.0651
2020,198,101,0.51010101010101,29.49,0.1489
2021,252,134,0.5317460317460317,19.76,0.0784
2022,222,83,0.3738738738738739,-17.37,-0.0783
2023,225,97,0.4311111111111111,-29.24,-0.13
2024,231,81,0.35064935064935066,-30.4,-0.1316
2025,222,121,0.545045045045045,15.8,0.0712
ALL,3570,1613,0.4518,6.52,0.0018
