model,n,accuracy,log_loss,brier,auc,top3_hit,top3_conf,weeks_swept
market (closing),2953,0.4903,0.6931,0.25,0.5,0.4652,0.5,0.1356
logistic,2953,0.5134,0.6935,0.2502,0.5097,0.5081,0.5352,0.1356
extratrees,2953,0.5056,0.694,0.2504,0.507,0.4904,0.531,0.1356
rf,2953,0.5069,0.694,0.2504,0.503,0.5067,0.5359,0.1356
lgbm,2953,0.5022,0.694,0.2504,0.5071,0.4756,0.5434,0.1483
xgb,2953,0.4981,0.6945,0.2507,0.5038,0.5244,0.5403,0.161
