season,n,accuracy,brier
2010,262,0.4389,0.2533
2011,264,0.5038,0.253
2012,265,0.4566,0.2521
2013,263,0.5209,0.2499
2014,264,0.4621,0.2508
2015,262,0.5115,0.2527
2016,266,0.4624,0.2512
2017,267,0.4644,0.2559
2018,264,0.5492,0.2513
2019,266,0.5038,0.2509
2020,264,0.5,0.2511
2021,282,0.4468,0.2508
2022,281,0.5587,0.2481
2023,281,0.5374,0.2491
2024,282,0.4858,0.2583
2025,285,0.5193,0.2494
