stat,group,outcome,pearson_r,pearson_p,spearman_r,spearman_p,n
BA,hitting,wl,0.4157,5.604170754589274e-24,0.4057,8.219443135999789e-23,540
BA,hitting,elo_delta,0.4029,1.7284470815078385e-22,0.396,1.0161137637177134e-21,540
BA,hitting,elo_end,0.4161,5.000196306628271e-24,0.4066,6.545345865516335e-23,540
OBP,hitting,wl,0.6276,1.7170929699765742e-60,0.6173,4.9131927875804714e-58,540
OBP,hitting,elo_delta,0.5755,6.131213253179653e-49,0.5671,2.8311273222307387e-47,540
OBP,hitting,elo_end,0.6532,5.356100943817831e-67,0.6452,6.702884301265428e-65,540
SLG,hitting,wl,0.5626,2.096001135670424e-46,0.5616,3.3584533646682523e-46,540
SLG,hitting,elo_delta,0.5563,3.43084140200441e-45,0.551,3.297310399691609e-44,540
SLG,hitting,elo_end,0.5797,8.5510101318967225e-50,0.5786,1.437852915793958e-49,540
OPS,hitting,wl,0.6176,4.307595640470023e-58,0.6168,6.452991145319317e-58,540
OPS,hitting,elo_delta,0.5962,2.833266921180338e-53,0.5935,1.084622401460634e-52,540
OPS,hitting,elo_end,0.6383,3.8784176051377817e-63,0.6382,4.1535800248197375e-63,540
OPS+,hitting,wl,0.638,4.802852483357184e-63,0.6289,8.418051424340087e-61,540
OPS+,hitting,elo_delta,0.6104,2.00507498388138e-56,0.6003,3.66475299373663e-54,540
OPS+,hitting,elo_end,0.662,2.2511247495934e-69,0.6545,2.4532898813055782e-67,540
ISO,hitting,wl,0.5129,1.4792770307470553e-37,0.5075,1.0865489862784176e-36,540
ISO,hitting,elo_delta,0.51,4.3849514449722735e-37,0.4958,7.700106205756061e-35,540
ISO,hitting,elo_end,0.5333,5.188735923835615e-41,0.5259,9.694512254046268e-40,540
R/Gm,hitting,wl,0.662,2.1894810015690836e-69,0.658,2.6749789206337548e-68,540
R/Gm,hitting,elo_delta,0.6517,1.357960040768697e-66,0.6426,3.139886617977526e-64,540
R/Gm,hitting,elo_end,0.6854,3.826260973604853e-76,0.6789,3.4071804969240724e-74,540
BAbip,hitting,wl,0.1163,0.0068260277975758,0.1213,0.0047521075992553,540
BAbip,hitting,elo_delta,0.1651,0.0001164488487347,0.1736,5.004603187398798e-05,540
BAbip,hitting,elo_end,0.0797,0.064296159785129,0.0926,0.0313665452819627,540
BB%,hitting,wl,0.4904,5.0729653420051855e-34,0.4748,1.0472775995762063e-31,540
BB%,hitting,elo_delta,0.4314,6.858759297569684e-26,0.4156,5.7170065580271974e-24,540
BB%,hitting,elo_end,0.5344,3.2767368005118805e-41,0.5175,2.5820069633665393e-38,540
SO%,hitting,wl,-0.2862,1.229385258617082e-11,-0.2661,3.3102619738894553e-10,540
SO%,hitting,elo_delta,-0.1989,3.192398195594044e-06,-0.1924,6.691729495497001e-06,540
SO%,hitting,elo_end,-0.3296,3.764860121449721e-15,-0.3087,2.1978726390730642e-13,540
HR%,hitting,wl,0.4532,1.0394810530391444e-28,0.4511,1.9886886315665119e-28,540
HR%,hitting,elo_delta,0.437,1.3487026030896642e-26,0.4231,7.232631898409847e-25,540
HR%,hitting,elo_end,0.4707,3.984978145019941e-31,0.4662,1.7080666875320405e-30,540
XBH%,hitting,wl,0.4569,3.311951924132178e-29,0.455,6.007457259863282e-29,540
XBH%,hitting,elo_delta,0.4706,4.102291825915509e-31,0.4627,5.329358811994564e-30,540
XBH%,hitting,elo_end,0.4773,4.439867640346624e-32,0.4757,7.595455144754565e-32,540
SB%,hitting,wl,0.2045,1.650724266106243e-06,0.1875,1.1506842230444234e-05,540
SB%,hitting,elo_delta,0.2283,8.118735545531535e-08,0.2195,2.577623606083154e-07,540
SB%,hitting,elo_end,0.235,3.26729372666652e-08,0.2082,1.0531485904216545e-06,540
SBatt,hitting,wl,-0.0072,0.8672240820960233,-0.0029,0.945901426512371,540
SBatt,hitting,elo_delta,0.067,0.1198647003145114,0.072,0.0944541790154185,540
SBatt,hitting,elo_end,-0.0173,0.687993041453746,-0.0138,0.7493971183401346,540
AB/SO,hitting,wl,0.2176,3.3049979786347445e-07,0.2037,1.8174376749178631e-06,540
AB/SO,hitting,elo_delta,0.1421,0.0009283928992491,0.1352,0.0016413700374866,540
AB/SO,hitting,elo_end,0.2552,1.7880343321740264e-09,0.2411,1.4065264100055357e-08,540
BtRuns/G,hitting,wl,0.6374,6.574408337684621e-63,0.6285,1.034586759071838e-60,540
BtRuns/G,hitting,elo_delta,0.6079,7.109131316864042e-56,0.5964,2.562919279379158e-53,540
BtRuns/G,hitting,elo_end,0.6633,9.561980484432832e-70,0.6566,6.522915451804376e-68,540
RC/G,hitting,wl,0.6229,2.408409967283663e-59,0.6203,9.72618961024621e-59,540
RC/G,hitting,elo_delta,0.6045,4.21282339343832e-55,0.6007,2.956779058217866e-54,540
RC/G,hitting,elo_end,0.647,2.330553182437881e-65,0.6436,1.8038255244834867e-64,540
Hitting AIR,hitting,wl,-0.0021,0.9609218476166864,0.069,0.1089978517502899,540
Hitting AIR,hitting,elo_delta,0.007,0.8709761574556038,0.0615,0.1538111534036259,540
Hitting AIR,hitting,elo_end,-0.0006,0.9885300039226106,0.0779,0.0704490235066911,540
ERA,pitching,wl,-0.7774,2.027177774919842e-110,-0.7667,1.3089177260147747e-105,540
ERA,pitching,elo_delta,-0.6896,2.0177879481081902e-77,-0.6837,1.2729200896981603e-75,540
ERA,pitching,elo_end,-0.782,1.5270505202416376e-112,-0.7715,9.84234845207758e-108,540
