stat,quartile,wl,elo_delta,n
RunDiff/G,1,0.4098263888888889,-32.358482484610015,144
RunDiff/G,2,0.47827777777777775,-7.842719014349413,126
RunDiff/G,3,0.5269285714285714,9.334999931725717,126
RunDiff/G,4,0.5855902777777778,31.05273668190576,144
OPS+,1,0.44270186335403733,-20.849744416630053,161
OPS+,2,0.49123770491803276,-4.579668839607727,122
OPS+,3,0.5130608695652175,4.937249295666358,115
OPS+,4,0.5618873239436619,23.575667468365854,142
ERA+,1,0.4201283783783784,-28.654862745333215,148
ERA+,2,0.4927519379844961,-0.5404144266389191,129
ERA+,3,0.5282578125,9.349487769495958,128
ERA+,4,0.5676666666666667,23.065916391483366,135
