model,n,accuracy,log_loss,brier,auc
lgbm_val,556,0.7266187050359713,0.609513912495716,0.20927944885675864,0.7244966616634749
pick_favorite_val,556,0.7140287769784173,1.3241223793272419,0.2803517985611511,0.7140287769784173
market_logistic_val,556,0.7140287769784173,0.5925623462951634,0.20236516641856292,0.7571618963821749
lgbm_test,144,0.6527777777777778,0.6141156560193148,0.21203490239333367,0.731429673934015
pick_favorite_test,144,0.6875,1.4460252890205605,0.30635,0.6873432375072352
market_logistic_test,144,0.6875,0.5986852744501336,0.20538993550454362,0.7533281883079297
