model,n,accuracy,log_loss,brier,auc
lgbm_val,542,0.4981549815498155,0.6926948258246374,0.24977384776730902,0.5265655424081916
pick_favorite_val,542,0.544280442804428,2.104136319217419,0.44670516605166055,0.5442804428044281
market_logistic_val,542,0.544280442804428,0.6913608008613343,0.24910795522149198,0.5376901185986029
lgbm_test,140,0.5785714285714286,0.6910879887772302,0.2489704964401358,0.6122448979591837
pick_favorite_test,140,0.5142857142857142,2.2419656916331587,0.4761000000000002,0.5142857142857143
market_logistic_test,140,0.5142857142857142,0.6949465423296949,0.2508958824789941,0.5034693877551021
