League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-18 19:00:53,2026-05-18 20:40,924fe1c270c7ccb9e7a9cfa3002bdf05,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,West,Northwest,West,Southwest,-109.0,-110.44,-6.72,6.72,-238.67,196.11,-109.44,-110.22,221.44,-105,-115,-230,190,-110,-110,-112,-108,-250,205,-108,-112,-110,-113,-250,195,-110,-113,-110,-110,-250,198,-110,-110,-104,-108,-238,202,-107,-107,-110,-110,-240,200,-110,-110,-110,-110,-225,185,-110,-110,-110,-110,-235,195,-110,-110,-110.0,-110.0,-230.0,195.0,-110.0,-110.0
NBA,2026-05-18 19:00:53,2026-05-19 20:10,7e2d40a6d3b163e318b7abbe026c40c1,New York Knicks,Cleveland Cavaliers,No,404.7,Yes,East,Atlantic,East,Central,-107.12,-112.25,-7.25,7.25,-271.75,219.75,-109.62,-110.12,217.5,-105,-115,-265,215,-105,-115,-105,-115,-275,225,-105,-115,-108,-115,-286,220,-109,-114,-110,-110,-270,212,-110,-110,-105,-107,-263,222,-113,-102,-109,-111,-265,219,-115,-105,-110,-110,-275,225,-110,-110,-105,-115,-275,220,-110,-110,,,,,,
