League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-03 20:53:24,2025-11-03 19:11,Brooklyn Nets,Minnesota Timberwolves,No,1021.6,Yes,-117.0,-115.0,460.83,-789.0,-115.83,-115.17,East,Atlantic,West,Northwest,-125.0,-106.0,360.0,-530.0,-120.0,-110.0,-118.0,-111.0,700.0,-1429.0,-111.0,-118.0,-115.0,-115.0,370.0,-560.0,-110.0,-120.0,-105.0,-125.0,475.0,-750.0,-115.0,-110.0,-124.0,-118.0,410.0,-715.0,-124.0,-118.0,-115.0,-115.0,450.0,-750.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 20:53:24,2025-11-03 19:11,Indiana Pacers,Milwaukee Bucks,Yes,244.2,Yes,-118.67,-80.5,404.17,-647.5,-118.5,-113.33,East,Central,East,Central,-132.0,100.0,500.0,-850.0,-128.0,-104.0,-118.0,-118.0,345.0,-500.0,-118.0,-111.0,-110.0,-120.0,420.0,-660.0,-110.0,-120.0,-115.0,-110.0,375.0,-550.0,-118.0,-110.0,-117.0,-125.0,360.0,-625.0,-122.0,-120.0,-120.0,-110.0,425.0,-700.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 20:53:24,2025-11-03 19:40,New York Knicks,Washington Wizards,No,205.6,Yes,-112.0,-119.17,-699.17,420.83,-114.67,-116.83,East,Atlantic,East,Southeast,-102.0,-130.0,-650.0,420.0,-112.0,-118.0,-111.0,-118.0,-1000.0,525.0,-118.0,-111.0,-115.0,-115.0,-600.0,390.0,-120.0,-110.0,-110.0,-115.0,-625.0,400.0,-110.0,-118.0,-114.0,-127.0,-670.0,390.0,-118.0,-124.0,-120.0,-110.0,-650.0,400.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 20:53:24,2025-11-03 19:42,Boston Celtics,Utah Jazz,No,2099.0,Yes,-114.33,-117.5,-1283.33,655.0,-115.5,-114.83,East,Atlantic,West,Northwest,-102.0,-130.0,-1200.0,630.0,-112.0,-118.0,-118.0,-111.0,-1250.0,675.0,-111.0,-111.0,-120.0,-110.0,-1300.0,700.0,-115.0,-115.0,-110.0,-118.0,-1600.0,775.0,-118.0,-110.0,-121.0,-121.0,-1250.0,550.0,-122.0,-120.0,-115.0,-115.0,-1100.0,600.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 20:53:24,2025-11-03 20:11,Houston Rockets,Dallas Mavericks,Yes,226.3,Yes,-118.33,-80.0,-872.5,508.33,-121.0,-77.0,West,Southwest,West,Southwest,-112.0,-118.0,-850.0,500.0,-118.0,-112.0,-133.0,105.0,-1000.0,550.0,-143.0,115.0,-120.0,-110.0,-950.0,575.0,-110.0,-120.0,-105.0,-125.0,-800.0,500.0,-118.0,-110.0,-120.0,-122.0,-835.0,450.0,-122.0,-120.0,-120.0,-110.0,-800.0,475.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 20:53:24,2025-11-03 20:11,Memphis Grizzlies,Detroit Pistons,No,623.7,Yes,-84.0,-82.17,195.0,-260.83,-116.83,-80.67,West,Southwest,East,Central,-132.0,100.0,230.0,-310.0,-110.0,-120.0,100.0,-133.0,160.0,-200.0,-125.0,100.0,-125.0,-105.0,175.0,-230.0,-120.0,-110.0,-105.0,-125.0,210.0,-275.0,-110.0,-118.0,-127.0,-115.0,185.0,-265.0,-121.0,-121.0,-115.0,-115.0,210.0,-285.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 20:53:24,2025-11-03 21:10,Denver Nuggets,Sacramento Kings,No,888.1,Yes,-108.78,-111.0,-565.67,415.11,-109.22,-110.78,West,Northwest,West,Pacific,-114.0,-106.0,-620.0,460.0,-108.0,-112.0,-110.0,-110.0,-594.0,411.0,-110.0,-110.0,-108.0,-112.0,-550.0,410.0,-105.0,-115.0,-105.0,-115.0,-550.0,400.0,-110.0,-110.0,-112.0,-114.0,-560.0,390.0,-113.0,-113.0,-110.0,-110.0,-585.0,410.0,-110.0,-110.0,-103.0,-109.0,-542.0,423.0,-107.0,-107.0,-107.0,-113.0,-550.0,415.0,-110.0,-110.0,-110.0,-110.0,-540.0,417.0,-110.0,-110.0
NBA,2025-11-03 20:53:24,2025-11-03 22:10,Portland Trail Blazers,Los Angeles Lakers,No,826.1,Yes,-107.89,-111.67,-356.44,281.89,-110.33,-109.67,West,Northwest,West,Pacific,-108.0,-112.0,-350.0,280.0,-114.0,-106.0,-110.0,-110.0,-361.0,279.0,-110.0,-110.0,-102.0,-118.0,-355.0,280.0,-110.0,-110.0,-105.0,-115.0,-375.0,300.0,-110.0,-110.0,-110.0,-114.0,-385.0,285.0,-112.0,-114.0,-110.0,-110.0,-350.0,275.0,-110.0,-110.0,-106.0,-106.0,-342.0,282.0,-107.0,-107.0,-110.0,-110.0,-345.0,278.0,-110.0,-110.0,-110.0,-110.0,-345.0,278.0,-110.0,-110.0
NBA,2025-11-03 20:53:24,2025-11-03 22:40,Los Angeles Clippers,Miami Heat,No,2344.1,Yes,-111.78,-107.89,-317.22,255.56,-110.89,-109.11,West,Pacific,East,Southeast,-110.0,-110.0,-320.0,260.0,-114.0,-106.0,-110.0,-110.0,-313.0,244.0,-110.0,-110.0,-115.0,-105.0,-325.0,260.0,-115.0,-105.0,-115.0,-105.0,-300.0,240.0,-115.0,-105.0,-115.0,-110.0,-335.0,260.0,-113.0,-113.0,-115.0,-105.0,-320.0,260.0,-110.0,-110.0,-106.0,-106.0,-317.0,263.0,-104.0,-110.0,-110.0,-110.0,-320.0,260.0,-107.0,-113.0,-110.0,-110.0,-305.0,253.0,-110.0,-110.0
NBA,2025-11-03 20:53:24,2025-11-04 19:40,Toronto Raptors,Milwaukee Bucks,No,432.0,Yes,-111.25,-108.75,-150.5,124.75,-110.0,-110.0,East,Atlantic,East,Central,-110.0,-110.0,-162.0,136.0,-110.0,-110.0,-110.0,-110.0,-152.0,124.0,-110.0,-110.0,-115.0,-105.0,-148.0,124.0,-110.0,-110.0,-110.0,-110.0,-140.0,115.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
