League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-09 07:55:32,2026-01-09 19:10,Boston Celtics,Toronto Raptors,Yes,430.3,Yes,-110.56,-109.22,-350.89,277.22,-109.88,-109.5,East,Atlantic,East,Atlantic,-110,-110,-350,280,-106,-114,-110,-110,-357,273,-110,-110,-115,-105,-340,270,-105,-115,-106,-106,-336,278,-113,-102,-110,-110,-340,274,-115,-105,-109,-117,-385,285,,,-110,-110,-340,275,-110,-110,-115.0,-105.0,-350,280,-110,-110,-110,-110,-360,280,-110,-110
NBA,2026-01-09 07:55:32,2026-01-09 19:10,Washington Wizards,New Orleans Pelicans,No,966.2,Yes,-110.0,-109.78,116.22,-137.89,-110.75,-108.5,East,Southeast,West,Southwest,-110,-110,116,-136,-112,-108,-110,-110,119,-146,-110,-110,-110,-110,114,-135,-112,-108,-106,-106,122,-138,-107,-107,-110,-110,120,-140,-110,-110,-114,-112,110,-136,,,-110,-110,115,-135,-110,-110,-110.0,-110.0,115,-140,-115,-105,-110,-110,115,-135,-110,-110
NBA,2026-01-09 07:55:32,2026-01-09 19:10,Orlando Magic,Philadelphia 76ers,No,859.5,Yes,-85.56,-112.0,119.78,-141.78,-108.75,-110.5,East,Southeast,East,Atlantic,-114,-106,116,-136,-110,-110,-110,-110,114,-139,-110,-110,-105,-115,120,-142,-108,-112,100,-112,129,-146,-107,-107,-104,-116,127,-147,-110,-110,-112,-114,114,-141,,,-110,-110,120,-140,-110,-110,-105.0,-115.0,118,-145,-105,-115,-110,-110,120,-140,-110,-110
NBA,2026-01-09 07:55:32,2026-01-09 19:40,Brooklyn Nets,Los Angeles Clippers,No,2461.0,Yes,-107.89,-111.78,129.89,-154.22,-112.25,-107.12,East,Atlantic,West,Pacific,-110,-110,124,-146,-110,-110,-110,-110,129,-160,-110,-110,-108,-112,130,-155,-115,-105,-101,-111,134,-152,-113,-102,-105,-115,133,-153,-115,-105,-112,-113,130,-162,,,-110,-110,134,-155,-110,-110,-110.0,-110.0,125,-155,-110,-110,-105,-115,130,-150,-115,-105
NBA,2026-01-09 07:55:32,2026-01-09 20:10,Memphis Grizzlies,Oklahoma City Thunder,No,422.4,Yes,-111.22,-108.56,154.56,-184.11,-110.75,-108.5,West,Southwest,West,Northwest,-106,-114,152,-180,-114,-106,-110,-110,155,-192,-110,-110,-115,-105,154,-185,-115,-105,-106,-106,162,-185,-107,-107,-110,-110,161,-185,-110,-110,-114,-112,143,-180,,,-110,-110,159,-185,-110,-110,-115.0,-105.0,155,-190,-110,-110,-115,-105,150,-175,-110,-110
NBA,2026-01-09 07:55:32,2026-01-09 21:10,Denver Nuggets,Atlanta Hawks,No,1212.6,Yes,-110.78,-109.0,-120.78,56.22,-109.75,-109.5,West,Northwest,East,Southeast,-110,-110,-124,106,-106,-114,-110,-110,-122,100,-110,-110,-108,-112,-120,100,-110,-110,-111,-101,-116,100,-107,-107,-115,-105,-118,-102,-110,-110,-113,-113,-122,-103,,,-110,-110,-120,100,-110,-110,-110.0,-110.0,-120,100,-110,-110,-110,-110,-125,105,-115,-105
NBA,2026-01-09 07:55:32,2026-01-09 21:10,Phoenix Suns,New York Knicks,No,2145.0,Yes,-110.11,-109.56,104.56,-124.44,-109.38,-109.88,West,Pacific,East,Atlantic,-110,-110,106,-124,-108,-112,-110,-110,101,-123,-110,-110,-110,-110,105,-125,-110,-110,-106,-106,107,-123,-107,-107,-110,-110,105,-125,-110,-110,-110,-115,102,-125,,,-110,-110,105,-125,-110,-110,-110.0,-110.0,105,-125,-110,-110,-115,-105,105,-125,-110,-110
NBA,2026-01-09 07:55:32,2026-01-09 22:10,Golden State Warriors,Sacramento Kings,Yes,74.0,Yes,-108.78,-111.0,-768.78,525.67,-110.25,-109.12,West,Pacific,West,Pacific,-106,-114,-850,590,-114,-106,-110,-110,-769,503,-110,-110,-108,-112,-750,525,-105,-115,-106,-106,-640,487,-113,-102,-110,-110,-650,476,-115,-105,-114,-112,-910,550,,,-110,-110,-700,500,-110,-110,-105.0,-115.0,-750,525,-105,-115,-110,-110,-900,575,-110,-110
NBA,2026-01-09 07:55:32,2026-01-09 22:10,Portland Trail Blazers,Houston Rockets,No,1836.0,Yes,-110.56,-109.22,206.0,-252.44,-109.25,-110.0,West,Northwest,West,Southwest,-112,-108,200,-245,-112,-108,-110,-110,202,-256,-110,-110,-105,-115,210,-258,-105,-115,-111,-101,210,-248,-107,-107,-115,-105,207,-250,-110,-110,-112,-114,205,-265,,,-110,-110,210,-250,-110,-110,-110.0,-110.0,200,-250,-110,-110,-110,-110,210,-250,-110,-110
NBA,2026-01-09 07:55:32,2026-01-09 22:40,Los Angeles Lakers,Milwaukee Bucks,No,1745.7,Yes,-111.38,-108.38,-165.22,139.56,-110.0,-109.38,West,Pacific,East,Central,-110,-110,-158,134,-112,-108,-110,-110,-164,134,-110,-110,-112,-108,-170,142,-105,-115,-108,-104,-170,150,-113,-102,-112,-108,-170,149,-115,-105,-114,-112,-150,120,,,-110,-110,-165,142,-110,-110,,,-170,140,-105,-115,-115,-105,-170,145,-110,-110
