League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-31 23:44:18,2025-10-31 21:42,Memphis Grizzlies,Los Angeles Lakers,No,1604.9,Yes,-117.5,-81.17,427.5,-764.17,-114.5,-117.67,West,Southwest,West,Pacific,-105.0,-125.0,500.0,-810.0,-105.0,-125.0,-132.0,100.0,520.0,-900.0,-104.0,-128.0,-118.0,-110.0,360.0,-525.0,-125.0,-105.0,-115,-127,525,-1250,-122,-120,-110.0,-120.0,500.0,-900.0,-120.0,-110.0,-125.0,-105.0,160.0,-200.0,-111.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 23:44:18,2025-10-31 22:10,Phoenix Suns,Utah Jazz,No,505.1,Yes,-111.83,-119.67,-2391.67,929.17,-124.33,-75.0,West,Pacific,West,Northwest,-115.0,-115.0,-4000.0,1500.0,-120.0,-110.0,-104.0,-128.0,-1600.0,750.0,-120.0,-110.0,-115.0,-110.0,-3000.0,1000.0,-160.0,125.0,-122,-120,-2500,750,-118,-124,-110.0,-120.0,-2000.0,900.0,-110.0,-120.0,-105.0,-125.0,-1250.0,675.0,-118.0,-111.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 23:44:18,2025-10-31 22:12,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,-116.0,-114.5,235.83,-331.33,-119.17,-78.17,West,Northwest,West,Northwest,-105.0,-125.0,230.0,-315.0,-115.0,-115.0,-118.0,-112.0,240.0,-330.0,-120.0,-110.0,-118.0,-110.0,240.0,-325.0,-130.0,100.0,-117,-125,240,-360,-124,-118,-120.0,-110.0,230.0,-325.0,-115.0,-115.0,-118.0,-105.0,235.0,-333.0,-111.0,-111.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 23:44:18,2025-10-31 22:40,Los Angeles Clippers,New Orleans Pelicans,No,1677.3,Yes,-75.17,-122.17,-1031.67,564.17,-83.67,-114.17,West,Pacific,West,Southwest,-110.0,-120.0,-1150.0,650.0,-120.0,-110.0,-106.0,-125.0,-1100.0,600.0,-120.0,-110.0,-118.0,-110.0,-1200.0,650.0,-125.0,-105.0,-117,-125,-1115,510,-122,-120,-110.0,-120.0,-1000.0,550.0,-115.0,-115.0,110.0,-133.0,-625.0,425.0,100.0,-125.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 23:44:18,2025-11-01 17:10,Milwaukee Bucks,Sacramento Kings,No,1775.2,No,-108.67,-111.11,-235.67,193.78,-109.22,-110.78,East,Central,West,Pacific,-110.0,-110.0,-245.0,200.0,-110.0,-110.0,-108.0,-112.0,-225.0,188.0,-108.0,-112.0,-105.0,-115.0,-235.0,195.0,-105.0,-115.0,-114,-112,-265,205,-113,-113,-105.0,-115.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-238.0,189.0,-110.0,-110.0,-106.0,-106.0,-228.0,195.0,-107.0,-107.0,-110.0,-110.0,-230.0,192.0,-110.0,-110.0,-110.0,-110.0,-235.0,200.0,-110.0,-110.0
NBA,2025-10-31 23:44:18,2025-11-01 18:10,Charlotte Hornets,Minnesota Timberwolves,No,939.7,No,-113.88,-80.75,174.0,-209.0,-109.78,-110.22,East,Southeast,West,Northwest,-115.0,-105.0,180.0,-218.0,-110.0,-110.0,-106.0,-114.0,180.0,-215.0,-108.0,-112.0,-115.0,-105.0,170.0,-210.0,-110.0,-110.0,-115,-110,170,-215,-113,-113,-115.0,-105.0,175.0,-210.0,-110.0,-110.0,,,172.0,-213.0,-110.0,-110.0,-113.0,101.0,175.0,-200.0,-107.0,-107.0,-117.0,-103.0,174.0,-200.0,-110.0,-110.0,-115.0,-105.0,170.0,-200.0,-110.0,-110.0
NBA,2025-10-31 23:44:18,2025-11-01 19:10,Indiana Pacers,Golden State Warriors,No,1948.2,Yes,-109.22,-110.56,353.89,-468.89,-110.11,-109.89,East,Central,West,Pacific,-105.0,-115.0,380.0,-500.0,-110.0,-110.0,-108.0,-112.0,400.0,-520.0,-110.0,-110.0,-110.0,-110.0,333.0,-450.0,-110.0,-110.0,-109,-117,330,-455,-114,-112,-115.0,-105.0,345.0,-470.0,-110.0,-110.0,-110.0,-110.0,371.0,-526.0,-110.0,-110.0,-106.0,-106.0,346.0,-429.0,-107.0,-107.0,-110.0,-110.0,340.0,-435.0,-110.0,-110.0,-110.0,-110.0,340.0,-435.0,-110.0,-110.0
NBA,2025-10-31 23:44:18,2025-11-01 19:10,Washington Wizards,Orlando Magic,Yes,756.6,Yes,-110.22,-109.56,267.67,-335.89,-109.89,-110.11,East,Southeast,East,Southeast,-108.0,-112.0,240.0,-298.0,-110.0,-110.0,-110.0,-110.0,270.0,-335.0,-110.0,-110.0,-110.0,-110.0,280.0,-350.0,-110.0,-110.0,-113,-113,260,-345,-112,-114,-115.0,-105.0,270.0,-340.0,-110.0,-110.0,-110.0,-110.0,251.0,-323.0,-110.0,-110.0,-106.0,-106.0,282.0,-342.0,-107.0,-107.0,-110.0,-110.0,278.0,-345.0,-110.0,-110.0,-110.0,-110.0,278.0,-345.0,-110.0,-110.0
NBA,2025-10-31 23:44:18,2025-11-01 20:10,Boston Celtics,Houston Rockets,No,1605.6,Yes,-110.11,-109.67,164.89,-197.44,-108.67,-111.44,East,Atlantic,West,Southwest,-105.0,-115.0,154.0,-185.0,-108.0,-112.0,-112.0,-108.0,162.0,-194.0,-110.0,-110.0,-115.0,-105.0,165.0,-200.0,-110.0,-110.0,-117,-109,150,-190,-113,-113,-110.0,-110.0,175.0,-210.0,-110.0,-110.0,-110.0,-110.0,170.0,-213.0,-110.0,-110.0,-104.0,-108.0,171.0,-195.0,-102.0,-113.0,-108.0,-112.0,170.0,-195.0,-105.0,-115.0,-110.0,-110.0,167.0,-195.0,-110.0,-110.0
NBA,2025-10-31 23:44:18,2025-11-01 22:10,Detroit Pistons,Dallas Mavericks,No,999.7,Yes,-109.44,-110.33,-298.44,240.22,-110.0,-110.0,East,Central,West,Southwest,-105.0,-115.0,-265.0,215.0,-110.0,-110.0,-112.0,-108.0,-290.0,235.0,-110.0,-110.0,-110.0,-110.0,-295.0,230.0,-110.0,-110.0,-117,-109,-305,235,-113,-113,-105.0,-115.0,-310.0,255.0,-110.0,-110.0,-110.0,-110.0,-294.0,229.0,-110.0,-110.0,-106.0,-106.0,-307.0,256.0,-107.0,-107.0,-110.0,-110.0,-310.0,252.0,-110.0,-110.0,-110.0,-110.0,-310.0,255.0,-110.0,-110.0
