League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-07 18:38:23,2026-04-07 19:10,9f4ac4d421b28dcb2764f555eb8a8f0c,Washington Wizards,Chicago Bulls,No,598.0,Yes,East,Southeast,East,Central,-110.44,-109.0,5.83,-5.83,186.33,-226.33,-110.11,-109.67,249.89,-108,-112,184,-220,-110,-110,-105,-115,185,-225,-108,-112,-115,-108,185,-240,-112,-112,-105,-115,185,-225,-110,-110,-110,-110,189,-238,-110,-110,-115,-105,190,-230,-110,-110,-115,-105,186,-220,-112,-108,-111,-101,188,-219,-109,-105,-110,-110,185,-220,-110,-110
NBA,2026-04-07 18:38:23,2026-04-07 19:10,be5171067867c61067c779345515c72d,Indiana Pacers,Minnesota Timberwolves,No,511.9,Yes,East,Central,West,Northwest,-108.33,-111.22,12.56,-12.56,526.44,-758.22,-110.22,-109.44,233.5,-108,-112,530,-750,-110,-110,-105,-115,525,-750,-110,-110,-112,-112,510,-770,-113,-110,-110,-110,550,-800,-110,-110,-110,-110,555,-841,-110,-110,-110,-110,500,-750,-110,-110,-107,-113,520,-725,-111,-109,-103,-109,533,-713,-108,-106,-110,-110,515,-725,-110,-110
NBA,2026-04-07 18:38:23,2026-04-07 19:40,d669fae8ce6b2ba2ca97fb61dc09e2ce,Brooklyn Nets,Milwaukee Bucks,No,736.6,Yes,East,Atlantic,East,Central,-110.11,-109.44,2.22,-2.22,114.78,-136.44,-110.89,-108.89,219.89,-112,-108,112,-132,-110,-110,-112,-108,114,-135,-110,-110,-112,-112,114,-141,-112,-112,-115,-105,115,-140,-115,-105,-110,-110,116,-142,-110,-110,-115,-105,115,-135,-110,-110,-107,-113,115,-135,-112,-108,-103,-109,117,-133,-109,-105,-105,-115,115,-135,-110,-110
NBA,2026-04-07 18:38:23,2026-04-07 19:40,9aaa887e3f4a853902d6613072b2f35b,Toronto Raptors,Miami Heat,No,1232.1,Yes,East,Atlantic,East,Southeast,-109.22,-110.11,-2.22,2.22,-133.56,112.0,-110.33,-109.56,242.22,-110,-110,-138,118,-108,-112,-110,-110,-142,120,-105,-115,-112,-110,-141,114,-112,-112,-105,-115,-135,110,-110,-110,-110,-110,-128,104,-110,-110,-110,-110,-130,110,-110,-110,-110,-110,-130,110,-115,-105,-106,-106,-128,112,-113,-102,-110,-110,-130,110,-110,-110
NBA,2026-04-07 18:38:23,2026-04-07 20:10,96d26f7a098eba89636e1a99c7c79d8d,Boston Celtics,Charlotte Hornets,No,721.0,Yes,East,Atlantic,East,Southeast,-109.78,-109.67,-4.28,4.28,-192.22,161.22,-110.0,-109.67,220.83,-114,-106,-196,164,-114,-106,-102,-118,-198,164,-115,-105,-114,-109,-186,148,-109,-114,-105,-115,-200,165,-105,-115,-110,-110,-185,151,-110,-110,-115,-105,-195,165,-110,-110,-111,-109,-190,165,-110,-110,-107,-105,-190,166,-107,-107,-110,-110,-190,163,-110,-110
NBA,2026-04-07 18:38:23,2026-04-07 20:10,24016853f9722af6d4829341d7ae4d81,New Orleans Pelicans,Utah Jazz,No,1434.3,Yes,West,Southwest,West,Northwest,-112.67,-106.78,-9.67,9.67,-496.0,373.56,-109.67,-110.11,242.94,-112,-108,-430,340,-110,-110,-118,-102,-550,410,-108,-112,-113,-110,-435,325,-112,-112,-110,-110,-500,375,-110,-110,-110,-110,-556,394,-110,-110,-115,-105,-550,390,-110,-110,-115,-105,-500,383,-110,-110,-111,-101,-493,390,-107,-107,-110,-110,-450,355,-110,-110
NBA,2026-04-07 18:38:23,2026-04-07 22:10,74efed6fa8060207aa1784a960c6141c,Golden State Warriors,Sacramento Kings,Yes,74.0,Yes,West,Pacific,West,Pacific,-110.56,-108.89,-14.56,14.56,-1021.44,647.22,-110.89,-108.78,233.89,-110,-110,-1000,660,-112,-108,-110,-110,-1000,650,-115,-105,-110,-113,-1000,600,-109,-114,-110,-110,-1000,650,-115,-105,-110,-110,-1262,691,-110,-110,-115,-105,-1100,650,-110,-110,-112,-108,-950,637,-110,-110,-108,-104,-931,657,-107,-107,-110,-110,-950,630,-110,-110
NBA,2026-04-07 18:38:23,2026-04-07 22:40,3133467540e08b88d68625ed9e975399,Los Angeles Clippers,Dallas Mavericks,No,1245.2,Yes,West,Pacific,West,Southwest,-108.44,-111.11,-12.11,12.11,-628.67,453.56,-110.22,-109.44,238.28,-106,-114,-650,480,-108,-112,-102,-118,-625,455,-108,-112,-112,-112,-625,425,-113,-110,-105,-115,-650,475,-110,-110,-110,-110,-667,445,-110,-110,-105,-115,-650,450,-110,-110,-115,-105,-600,446,-113,-107,-111,-101,-591,456,-110,-104,-110,-110,-600,450,-110,-110
NBA,2026-04-07 18:38:23,2026-04-07 22:40,01f002eb30dfd24045740d4fbf68207e,Los Angeles Lakers,Oklahoma City Thunder,No,1182.5,Yes,West,Pacific,West,Northwest,-110.78,-108.67,18.17,-18.17,1051.78,-2250.22,-109.89,-109.89,220.56,-106,-114,1300,-3500,-110,-110,-112,-108,1100,-2100,-110,-110,-113,-110,1000,-2500,-112,-112,-115,-105,1050,-2500,-110,-110,-110,-110,971,-2000,-110,-110,-115,-105,950,-2000,-110,-110,-110,-110,1011,-1900,-110,-110,-106,-106,1059,-1852,-107,-107,-110,-110,1025,-1900,-110,-110
NBA,2026-04-07 18:38:23,2026-04-07 23:10,6ec00d2267f0fe20067d4e2363a17162,Phoenix Suns,Houston Rockets,No,1016.4,Yes,West,Pacific,West,Southwest,-112.22,-85.11,1.11,-1.11,-60.22,-115.11,-110.67,-109.0,220.94,-112,-108,100,-118,-110,-110,-120,100,-112,-108,-105,-115,-117,-107,-110,-113,-113,-110,-115,-105,-102,-118,-115,-105,-110,-110,-105,-116,-110,-110,-110,-110,-105,-115,-110,-110,-110,-110,-105,-115,-113,-107,-106,-106,-103,-113,-110,-104,-110,-110,100,-120,-110,-110
