League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-07 04:33:31,2026-01-07 19:10,Boston Celtics,Denver Nuggets,No,1770.4,Yes,-106.11,-113.67,-380.67,297.89,-108.25,-111.0,East,Atlantic,West,Northwest,-108,-112,-340,275,-106,-114,-110,-110,-400,298,-110,-110,-105,-115,-380,300,-108,-112,-105,-115,-375,299,-110,-110,-101,-111,-371,304,-107,-107,-102,-118,-375,300,-105,-115,-105.0,-115.0,-375.0,300.0,-110.0,-110.0,-109,-117,-420,310,,,-110,-110,-390,295,-110,-110
NBA,2026-01-07 04:33:31,2026-01-07 19:10,Charlotte Hornets,Toronto Raptors,No,586.0,Yes,-110.22,-109.56,114.89,-136.56,-109.5,-109.75,East,Southeast,East,Atlantic,-110,-110,118,-138,-114,-106,-110,-110,113,-139,-110,-110,-108,-112,114,-135,-105,-115,-110,-110,115,-135,-110,-110,-106,-106,117,-133,-107,-107,-110,-110,115,-140,-110,-110,-110.0,-110.0,115.0,-135.0,-110.0,-110.0,-113,-113,112,-139,,,-115,-105,115,-135,-110,-110
NBA,2026-01-07 04:33:31,2026-01-07 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-109.33,-110.22,-466.11,354.11,-109.38,-109.88,East,Central,East,Central,-108,-112,-420,330,-110,-110,-110,-110,-476,348,-110,-110,-110,-110,-470,360,-108,-112,-110,-110,-470,364,-110,-110,-106,-106,-464,370,-107,-107,-110,-110,-475,360,-110,-110,-110.0,-110.0,-470.0,370.0,-110.0,-110.0,-110,-114,-480,340,,,-110,-110,-470,345,-110,-110
NBA,2026-01-07 04:33:31,2026-01-07 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-109.22,-110.56,-620.0,448.67,-107.75,-111.62,East,Atlantic,East,Southeast,-110,-110,-560,420,-110,-110,-110,-110,-625,437,-110,-110,-105,-115,-625,455,-110,-110,-110,-110,-620,458,-105,-115,-106,-106,-610,468,-102,-113,-105,-115,-625,450,-110,-110,-110.0,-110.0,-620.0,460.0,-105.0,-115.0,-112,-114,-670,460,,,-115,-105,-625,430,-110,-110
NBA,2026-01-07 04:33:31,2026-01-07 19:40,Atlanta Hawks,New Orleans Pelicans,No,424.9,Yes,-110.88,-108.75,-479.38,360.62,-110.29,-108.86,East,Southeast,West,Southwest,-110,-110,-460,360,-108,-112,-110,-110,-476,343,-110,-110,-110,-110,-470,360,-112,-108,-113,-107,-480,370,-110,-110,-109,-103,-474,377,-107,-107,-110,-110,-475,360,-115,-105,,,,,,,-115,-110,-530,370,,,-110,-110,-470,345,-110,-110
NBA,2026-01-07 04:33:31,2026-01-07 19:40,Brooklyn Nets,Orlando Magic,No,936.6,Yes,-109.78,-109.78,83.11,-125.67,-108.25,-111.12,East,Atlantic,East,Southeast,-110,-110,114,-134,-112,-108,-110,-110,-103,-119,-110,-110,-108,-112,105,-125,-112,-108,-110,-110,105,-125,-105,-115,-106,-106,107,-123,-102,-113,-110,-110,105,-125,-110,-110,-110.0,-110.0,105.0,-125.0,-105.0,-115.0,-114,-110,105,-130,,,-110,-110,105,-125,-110,-110
NBA,2026-01-07 04:33:31,2026-01-07 19:40,New York Knicks,Los Angeles Clippers,No,2459.8,Yes,-112.89,-106.89,-223.44,184.56,-110.25,-109.0,East,Atlantic,West,Pacific,-108,-112,-220,184,-110,-110,-110,-110,-217,173,-110,-110,-115,-105,-225,185,-115,-105,-115,-105,-220,186,-110,-110,-111,-101,-219,188,-107,-107,-115,-105,-225,185,-110,-110,-115.0,-105.0,-220.0,185.0,-110.0,-110.0,-112,-114,-235,185,,,-115,-105,-230,190,-110,-110
NBA,2026-01-07 04:33:31,2026-01-07 20:10,Memphis Grizzlies,Phoenix Suns,No,1262.6,Yes,-109.75,-109.88,159.5,-191.0,-107.57,-111.71,West,Southwest,West,Pacific,-110,-110,152,-180,-106,-114,-110,-110,150,-185,-110,-110,-112,-108,164,-198,-110,-110,-110,-110,170,-195,-105,-115,-106,-106,171,-195,-102,-113,-110,-110,154,-190,-110,-110,,,,,,,-110,-115,150,-190,,,-110,-110,165,-195,-110,-110
NBA,2026-01-07 04:33:31,2026-01-07 20:10,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,-109.0,-110.67,-1370.11,786.56,-110.25,-109.0,West,Northwest,West,Northwest,-105,-115,-1500,870,-110,-110,-110,-110,-1429,754,-110,-110,-115,-105,-1350,800,-110,-110,-105,-115,-1250,776,-110,-110,-101,-111,-1222,804,-107,-107,-115,-105,-1400,800,-115,-105,-105.0,-115.0,-1250.0,800.0,-110.0,-110.0,-115,-110,-1430,700,,,-110,-110,-1500,775,-110,-110
NBA,2026-01-07 04:33:31,2026-01-07 21:40,San Antonio Spurs,Los Angeles Lakers,No,1208.0,Yes,-113.0,-106.75,-280.62,227.25,-109.57,-109.57,West,Southwest,West,Pacific,-115,-105,-275,225,-110,-110,-110,-110,-294,231,-110,-110,-118,-102,-278,225,-110,-110,-110,-110,-270,222,-110,-110,-106,-106,-267,225,-107,-107,-118,-102,-285,230,-110,-110,,,,,,,-112,-114,-286,220,,,-115,-105,-290,240,-110,-110
