League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-10 10:24:35,2026-01-10 13:10,Cleveland Cavaliers,Minnesota Timberwolves,No,631.6,No,-109.67,-110.11,-177.44,148.78,-111.12,-108.12,East,Central,West,Northwest,-110,-110,-176,148,-112,-108,-115,-105,-175,153,-110,-110,-101,-111,-175,154,-107,-107,-110,-110,-185,150,-110,-110,-102,-118,-180,150,-115,-105,-110,-110,-170,146,-110,-110,-114,-112,-186,148,,,-110,-110,-170,145,-110,-110,-115,-105,-180,145,-115,-105
NBA,2026-01-10 10:24:35,2026-01-10 19:10,Indiana Pacers,Miami Heat,No,1023.6,Yes,-109.22,-110.44,242.11,-299.78,-109.62,-109.62,East,Central,East,Southeast,-112,-108,245,-300,-110,-110,-110,-110,241,-295,-110,-110,-106,-106,245,-292,-107,-107,-110,-110,238,-303,-110,-110,-105,-115,240,-298,-110,-110,-110,-110,245,-295,-110,-110,-115,-110,235,-315,,,-110,-110,250,-300,-110,-110,-105,-115,240,-300,-110,-110
NBA,2026-01-10 10:24:35,2026-01-10 19:40,Detroit Pistons,Los Angeles Clippers,No,1991.5,Yes,-108.89,-110.89,-230.33,189.56,-108.38,-111.0,East,Central,West,Pacific,-106,-114,-215,180,-110,-110,-110,-110,-237,197,-105,-115,-106,-106,-235,200,-102,-113,-110,-110,-233,184,-110,-110,-110,-110,-238,195,-115,-105,-110,-110,-235,200,-105,-115,-113,-113,-220,175,,,-105,-115,-225,185,-110,-110,-110,-110,-235,190,-110,-110
NBA,2026-01-10 10:24:35,2026-01-10 20:10,Boston Celtics,San Antonio Spurs,No,1764.3,Yes,-110.11,-109.67,-35.11,-118.33,-111.25,-108.12,East,Atlantic,West,Southwest,-110,-110,-102,-116,-114,-106,-110,-110,100,-120,-110,-110,-106,-106,102,-118,-113,-102,-110,-110,-101,-122,-110,-110,-112,-108,-102,-118,-108,-112,-110,-110,100,-120,-110,-110,-113,-113,-106,-118,,,-110,-110,-105,-115,-110,-110,-110,-110,-102,-118,-115,-105
NBA,2026-01-10 10:24:35,2026-01-10 20:10,Chicago Bulls,Dallas Mavericks,No,802.8,Yes,-109.67,-110.11,-144.0,121.56,-108.75,-110.5,East,Central,West,Southwest,-112,-108,-142,120,-110,-110,-110,-110,-145,125,-110,-110,-106,-106,-144,127,-107,-107,-110,-110,-141,114,-110,-110,-110,-110,-148,124,-108,-112,-110,-110,-145,125,-110,-110,-114,-112,-141,114,,,-105,-115,-140,120,-110,-110,-110,-110,-150,125,-105,-115
NBA,2026-01-10 10:24:35,2026-01-10 21:40,Utah Jazz,Charlotte Hornets,No,1728.3,Yes,-110.11,-109.67,150.89,-179.22,-109.12,-110.12,West,Northwest,East,Southeast,-110,-110,156,-186,-108,-112,-110,-110,149,-170,-110,-110,-106,-106,150,-170,-107,-107,-110,-110,151,-185,-110,-110,-105,-115,154,-185,-108,-112,-110,-110,146,-170,-110,-110,-112,-114,148,-182,,,-110,-110,150,-175,-110,-110,-118,-102,154,-190,-110,-110
