League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2025-11-15 01:51:38,2025-11-15 17:10,Cleveland Cavaliers,Memphis Grizzlies,No,630.9,No,-109.78,-109.89,-487.0,369.89,-109.33,-110.56,East,Central,West,Southwest,-112.0,-108.0,-460.0,360.0,-112.0,-108.0,-110.0,-110.0,-500.0,368.0,-110.0,-110.0,-110.0,-110.0,-490.0,377.0,-105.0,-115.0,-106.0,-106.0,-483.0,384.0,-102.0,-113.0,-110,-115,-455,335,-110,-114,-110.0,-110.0,-485.0,370.0,-115.0,-105.0,-110.0,-110.0,-510.0,370.0,-110.0,-110.0,-110.0,-110.0,-500.0,390.0,-105.0,-115.0,-110.0,-110.0,-500.0,375.0,-115.0,-105.0
NBA,2025-11-15 01:51:38,2025-11-15 19:10,Charlotte Hornets,Oklahoma City Thunder,No,941.0,Yes,-110.25,-109.38,760.62,-1283.75,-109.62,-110.38,East,Southeast,West,Northwest,-110.0,-110.0,750.0,-1200.0,-110.0,-110.0,-110.0,-110.0,714.0,-1250.0,-110.0,-110.0,-108.0,-112.0,795.0,-1300.0,-110.0,-110.0,-104.0,-108.0,826.0,-1270.0,-107.0,-107.0,-115,-110,700,-1250,-113,-113,-110.0,-110.0,750.0,-1200.0,-112.0,-108.0,-115.0,-105.0,750.0,-1400.0,-110.0,-110.0,,,,,,,-110.0,-110.0,800.0,-1400.0,-105.0,-115.0
NBA,2025-11-15 01:51:38,2025-11-15 19:10,Indiana Pacers,Toronto Raptors,No,440.8,Yes,-108.89,-110.78,220.11,-271.22,-113.0,-62.56,East,Central,East,Atlantic,-106.0,-114.0,240.0,-295.0,-110.0,-110.0,-110.0,-110.0,215.0,-278.0,-110.0,-110.0,-110.0,-110.0,219.0,-265.0,-118.0,-102.0,-106.0,-106.0,222.0,-263.0,-116.0,101.0,-108,-117,205,-265,-113,-112,-110.0,-110.0,220.0,-270.0,-105.0,-115.0,-110.0,-110.0,230.0,-280.0,-110.0,-110.0,-110.0,-110.0,210.0,-250.0,-120.0,100.0,-110.0,-110.0,220.0,-275.0,-115.0,-105.0
NBA,2025-11-15 01:51:38,2025-11-15 20:10,Minnesota Timberwolves,Denver Nuggets,Yes,699.6,Yes,-108.5,-111.25,-117.5,-77.38,-109.88,-110.12,West,Northwest,West,Northwest,-110.0,-110.0,-124.0,106.0,-110.0,-110.0,-110.0,-110.0,-116.0,-105.0,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,-106.0,-106.0,-113.0,-103.0,-107.0,-107.0,-112,-114,-121,-103,-112,-114,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,,,,,,,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0
NBA,2025-11-15 01:51:38,2025-11-15 20:10,Milwaukee Bucks,Los Angeles Lakers,No,1745.7,Yes,-110.75,-84.0,-105.17,-115.0,-110.0,-110.0,East,Central,West,Pacific,-106.0,-114.0,-110.0,-106.0,-110.0,-110.0,-110.0,-110.0,-104.0,-118.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-114,-112,-108,-115,-113,-113,-120.0,100.0,-102.0,-118.0,-110.0,-110.0,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,,,,,,,-115.0,-105.0,-102.0,-118.0,-110.0,-110.0
NBA,2025-11-15 01:51:38,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-15 01:51:38,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-15 01:51:38,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114,,,,,,,,,,,,,,,,,,,,,,,,
