League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-10-30 08:50:44,2025-10-30 19:10,Charlotte Hornets,Orlando Magic,Yes,461.8,Yes,-108.78,-111.0,125.33,-148.67,-110.0,-110.0,East,Southeast,East,Southeast,-106.0,-114.0,130.0,-154.0,-114.0,-106.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-106.0,-106.0,127.0,-144.0,-107.0,-107.0,-105,-115,124,-148,-110,-110,-110.0,-110.0,126.0,-155.0,-110.0,-110.0,-110.0,-110.0,118.0,-145.0,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-110.0,-110.0,130.0,-150.0,-105.0,-115.0,-112.0,-114.0,123.0,-152.0,-114.0,-112.0
NBA,2025-10-30 08:50:44,2025-10-30 20:10,Milwaukee Bucks,Golden State Warriors,No,1840.7,Yes,-108.78,-110.78,125.11,-148.22,-108.78,-111.22,East,Central,West,Pacific,-108.0,-112.0,124.0,-146.0,-106.0,-114.0,-108.0,-112.0,132.0,-152.0,-108.0,-112.0,-104.0,-108.0,133.0,-151.0,-105.0,-109.0,-105,-115,124,-148,-108,-112,-110.0,-110.0,118.0,-145.0,-110.0,-110.0,-110.0,-110.0,118.0,-145.0,-110.0,-110.0,-110.0,-110.0,129.0,-150.0,-110.0,-110.0,-115.0,-105.0,125.0,-145.0,-110.0,-110.0,-109.0,-115.0,123.0,-152.0,-112.0,-114.0
NBA,2025-10-30 08:50:44,2025-10-30 20:10,Oklahoma City Thunder,Washington Wizards,No,1152.7,Yes,-110.44,-109.33,-1171.33,716.11,-109.56,-110.44,West,Northwest,East,Southeast,-108.0,-112.0,-1200.0,750.0,-114.0,-106.0,-115.0,-105.0,-1100.0,709.0,-107.0,-113.0,-111.0,-101.0,-1077.0,733.0,-104.0,-110.0,-108,-112,-1100,700,-108,-112,-110.0,-110.0,-1250.0,703.0,-110.0,-110.0,-110.0,-110.0,-1400.0,800.0,-110.0,-110.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0,-110.0,-110.0,-1200.0,700.0,-110.0,-110.0,-112.0,-114.0,-1115.0,650.0,-113.0,-113.0
NBA,2025-10-30 08:50:44,2025-10-30 20:30,San Antonio Spurs,Miami Heat,No,1145.9,Yes,-109.44,-88.0,-237.33,195.33,-110.33,-109.67,West,Southwest,East,Southeast,-112.0,-108.0,-225.0,188.0,-108.0,-112.0,-116.0,-104.0,-250.0,207.0,-112.0,-108.0,-112.0,100.0,-248.0,210.0,-109.0,-105.0,-102,-118,-238,195,-112,-108,-110.0,-110.0,-250.0,198.0,-110.0,-110.0,-105.0,-115.0,-235.0,195.0,-110.0,-110.0,-110.0,-110.0,-230.0,195.0,-110.0,-110.0,-105.0,-115.0,-235.0,195.0,-110.0,-110.0,-113.0,-112.0,-225.0,175.0,-112.0,-114.0
NBA,2025-10-30 08:50:44,2025-10-31 19:00,Indiana Pacers,Atlanta Hawks,No,425.5,Yes,-110.0,-110.0,124.0,-148.0,-110.0,-110.0,East,Central,East,Southeast,,,,,,,,,,,,,,,,,,,-110,-110,124,-148,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 08:50:44,2025-10-31 19:00,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,East,Atlantic,East,Atlantic,,,,,,,,,,,,,,,,,,,-110,-110,-198,164,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 08:50:44,2025-10-31 19:30,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-110.0,-110.0,-395.0,310.0,-110.0,-110.0,East,Central,East,Atlantic,,,,,,,,,,,,,,,,,,,-110,-110,-395,310,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 08:50:44,2025-10-31 20:00,Chicago Bulls,New York Knicks,No,715.3,Yes,-110.0,-110.0,120.0,-142.0,-110.0,-110.0,East,Central,East,Atlantic,,,,,,,,,,,,,,,,,,,-110,-110,120,-142,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 08:50:44,2025-10-31 21:30,Memphis Grizzlies,Los Angeles Lakers,No,1604.9,Yes,-110.0,-110.0,-238.0,195.0,-110.0,-110.0,West,Southwest,West,Pacific,,,,,,,,,,,,,,,,,,,-110,-110,-238,195,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 08:50:44,2025-10-31 22:00,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,-110.0,-110.0,170.0,-205.0,-110.0,-110.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,-110,-110,170,-205,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
