League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-02 04:21:05,2025-11-02 15:30,Oklahoma City Thunder,New Orleans Pelicans,No,575.8,No,-110.0,-109.78,-673.25,478.25,-108.56,-111.56,West,Northwest,West,Southwest,-110.0,-110.0,-650.0,470.0,-112.0,-108.0,-110.0,-110.0,-667.0,466.0,-110.0,-110.0,-106.0,-114.0,-720.0,520.0,-110.0,-110.0,-106.0,-106.0,-634.0,483.0,-102.0,-113.0,-110.0,-110.0,-645.0,472.0,-105.0,-115.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-113,-113,-670,440,-113,-113,-115.0,-105.0,-700.0,475.0,-110.0,-110.0,-110.0,-110.0,,,-105.0,-115.0
NBA,2025-11-02 04:21:05,2025-11-02 18:00,Cleveland Cavaliers,Atlanta Hawks,No,553.9,No,-109.78,-110.0,-218.78,180.89,-110.11,-109.89,East,Central,East,Southeast,-110.0,-110.0,-218.0,180.0,-105.0,-115.0,-110.0,-110.0,-222.0,179.0,-110.0,-110.0,-110.0,-110.0,-215.0,180.0,-110.0,-110.0,-106.0,-106.0,-219.0,188.0,-107.0,-107.0,-110.0,-110.0,-220.0,186.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-115.0,-105.0,-112,-114,-215,170,-114,-112,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-220.0,185.0,-110.0,-110.0
NBA,2025-11-02 04:21:05,2025-11-02 18:00,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,No,-112.33,-107.33,178.89,-215.67,-109.78,-110.22,East,Atlantic,East,Atlantic,-115.0,-105.0,185.0,-225.0,-108.0,-112.0,-110.0,-110.0,178.0,-222.0,-110.0,-110.0,-110.0,-110.0,176.0,-210.0,-110.0,-110.0,-111.0,-101.0,185.0,-214.0,-107.0,-107.0,-115.0,-105.0,183.0,-215.0,-110.0,-110.0,-115.0,-105.0,180.0,-220.0,-110.0,-110.0,-115,-110,165,-210,-113,-113,-105.0,-115.0,175.0,-210.0,-110.0,-110.0,-115.0,-105.0,183.0,-215.0,-110.0,-110.0
NBA,2025-11-02 04:21:05,2025-11-02 18:00,Charlotte Hornets,Utah Jazz,No,1728.3,No,-107.11,-112.56,-153.0,128.78,-110.11,-109.89,East,Southeast,West,Northwest,-110.0,-110.0,-162.0,136.0,-110.0,-110.0,-110.0,-110.0,-164.0,132.0,-110.0,-110.0,-108.0,-112.0,-156.0,132.0,-106.0,-114.0,-101.0,-111.0,-138.0,122.0,-107.0,-107.0,-105.0,-115.0,-140.0,120.0,-110.0,-110.0,-105.0,-115.0,-155.0,125.0,-115.0,-105.0,-110,-115,-157,128,-113,-113,-105.0,-115.0,-150.0,130.0,-110.0,-110.0,-110.0,-110.0,-155.0,134.0,-110.0,-110.0
NBA,2025-11-02 04:21:05,2025-11-02 18:10,Toronto Raptors,Memphis Grizzlies,No,817.6,No,-111.33,-108.22,-220.44,182.0,-39.22,-114.22,East,Atlantic,West,Southwest,-110.0,-110.0,-218.0,180.0,-108.0,-112.0,-110.0,-110.0,-222.0,176.0,-110.0,-110.0,-112.0,-108.0,-225.0,188.0,-106.0,-114.0,-106.0,-106.0,-219.0,188.0,103.0,-118.0,-110.0,-110.0,-220.0,186.0,100.0,-120.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-114,-110,-230,180,-112,-114,-115.0,-105.0,-210.0,175.0,-110.0,-110.0,-115.0,-105.0,-220.0,185.0,100.0,-120.0
NBA,2025-11-02 04:21:05,2025-11-02 19:00,New York Knicks,Chicago Bulls,No,715.3,Yes,-110.44,-109.11,-264.33,215.22,-108.33,-111.78,East,Atlantic,East,Central,-115.0,-105.0,-258.0,210.0,-115.0,-105.0,-110.0,-110.0,-270.0,211.0,-110.0,-110.0,-108.0,-112.0,-270.0,220.0,-110.0,-110.0,-106.0,-106.0,-258.0,218.0,-102.0,-113.0,-110.0,-110.0,-260.0,215.0,-105.0,-115.0,-115.0,-105.0,-275.0,220.0,-105.0,-115.0,-115,-109,-278,215,-113,-113,-105.0,-115.0,-250.0,210.0,-110.0,-110.0,-110.0,-110.0,-260.0,218.0,-105.0,-115.0
NBA,2025-11-02 04:21:05,2025-11-02 20:00,Phoenix Suns,San Antonio Spurs,No,850.8,Yes,-111.11,-108.67,206.0,-251.33,-110.11,-109.89,West,Pacific,West,Southwest,-110.0,-110.0,210.0,-258.0,-110.0,-110.0,-110.0,-110.0,201.0,-256.0,-110.0,-110.0,-112.0,-108.0,198.0,-240.0,-110.0,-110.0,-106.0,-106.0,214.0,-253.0,-107.0,-107.0,-110.0,-110.0,211.0,-255.0,-110.0,-110.0,-110.0,-110.0,200.0,-250.0,-110.0,-110.0,-117,-109,200,-250,-114,-112,-115.0,-105.0,205.0,-245.0,-110.0,-110.0,-110.0,-110.0,215.0,-255.0,-110.0,-110.0
NBA,2025-11-02 04:21:05,2025-11-02 21:30,Los Angeles Lakers,Miami Heat,No,2340.4,Yes,-111.22,-108.44,-206.22,171.56,-109.0,-110.89,West,Pacific,East,Southeast,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-110.0,-110.0,-208.0,166.0,-110.0,-110.0,-110.0,-110.0,-215.0,180.0,-110.0,-110.0,-111.0,-101.0,-195.0,171.0,-102.0,-113.0,-115.0,-105.0,-195.0,170.0,-105.0,-115.0,-105.0,-115.0,-210.0,170.0,-110.0,-110.0,-115,-110,-210,165,-114,-110,-110.0,-110.0,-210.0,175.0,-115.0,-105.0,-115.0,-105.0,-195.0,167.0,-105.0,-115.0
NBA,2025-11-02 04:21:05,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,
NBA,2025-11-02 04:21:05,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-200,160,-114,-112,,,,,,,,,,,,
