League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-16 13:31:45,2025-11-16 15:30,Boston Celtics,Los Angeles Clippers,No,2604.9,No,-112.33,-107.22,-220.56,181.56,-107.44,-112.56,East,Atlantic,West,Pacific,-115.0,-105.0,-218.0,180.0,-105.0,-115.0,-111.0,-101.0,-217.0,187.0,-102.0,-113.0,-115.0,-105.0,-218.0,185.0,-105.0,-115.0,-115.0,-105.0,-220.0,180.0,-105.0,-115.0,-110.0,-110.0,-217.0,172.0,-110.0,-110.0,-115.0,-105.0,-230.0,190.0,-110.0,-110.0,-105.0,-115.0,-220.0,180.0,-110.0,-110.0,-115,-109,-225,175,-110,-115,-110.0,-110.0,-220.0,185.0,-110.0,-110.0
NBA,2025-11-16 13:31:45,2025-11-16 16:00,San Antonio Spurs,Sacramento Kings,No,1460.9,No,-110.22,-109.33,-350.33,277.33,-108.33,-111.78,West,Southwest,West,Pacific,-112.0,-108.0,-345.0,275.0,-105.0,-115.0,-106.0,-106.0,-356.0,293.0,-102.0,-113.0,-110.0,-110.0,-360.0,289.0,-105.0,-115.0,-110.0,-110.0,-350.0,280.0,-105.0,-115.0,-110.0,-110.0,-357.0,274.0,-110.0,-110.0,-110.0,-110.0,-330.0,265.0,-115.0,-105.0,-110.0,-110.0,-360.0,280.0,-110.0,-110.0,-114,-110,-335,250,-113,-113,-110.0,-110.0,-360.0,290.0,-110.0,-110.0
NBA,2025-11-16 13:31:45,2025-11-16 18:00,Washington Wizards,Brooklyn Nets,No,203.5,No,-108.89,-110.89,-144.89,122.56,-109.11,-110.78,East,Southeast,East,Atlantic,-115.0,-105.0,-148.0,124.0,-108.0,-112.0,-101.0,-111.0,-144.0,127.0,-107.0,-107.0,-105.0,-115.0,-145.0,125.0,-110.0,-110.0,-110.0,-110.0,-150.0,125.0,-105.0,-115.0,-110.0,-110.0,-145.0,118.0,-110.0,-110.0,-112.0,-108.0,-144.0,122.0,-110.0,-110.0,-105.0,-115.0,-140.0,120.0,-110.0,-110.0,-112,-114,-143,117,-112,-113,-110.0,-110.0,-145.0,125.0,-110.0,-110.0
NBA,2025-11-16 13:31:45,2025-11-16 19:00,New Orleans Pelicans,Golden State Warriors,No,1923.5,Yes,-108.78,-110.89,372.33,-493.78,-110.22,-109.78,West,Southwest,West,Pacific,-102.0,-118.0,380.0,-500.0,-102.0,-118.0,-111.0,-101.0,384.0,-483.0,-107.0,-107.0,-115.0,-105.0,377.0,-490.0,-110.0,-110.0,-105.0,-115.0,360.0,-475.0,-115.0,-105.0,-110.0,-110.0,348.0,-476.0,-110.0,-110.0,-106.0,-114.0,370.0,-480.0,-114.0,-106.0,-105.0,-115.0,390.0,-550.0,-110.0,-110.0,-115,-110,360,-500,-114,-112,-110.0,-110.0,382.0,-490.0,-110.0,-110.0
NBA,2025-11-16 13:31:45,2025-11-16 19:00,Houston Rockets,Orlando Magic,No,848.7,Yes,-112.22,-107.44,-306.67,246.89,-109.0,-111.11,West,Southwest,East,Southeast,-110.0,-110.0,-310.0,250.0,-112.0,-108.0,-108.0,-104.0,-302.0,252.0,-102.0,-113.0,-112.0,-108.0,-305.0,249.0,-105.0,-115.0,-115.0,-105.0,-300.0,240.0,-110.0,-110.0,-110.0,-110.0,-303.0,233.0,-110.0,-110.0,-115.0,-105.0,-330.0,265.0,-110.0,-110.0,-115.0,-105.0,-300.0,250.0,-110.0,-110.0,-110,-115,-305,230,-112,-114,-115.0,-105.0,-305.0,253.0,-110.0,-110.0
NBA,2025-11-16 13:31:45,2025-11-16 19:30,Dallas Mavericks,Portland Trail Blazers,No,1632.1,Yes,-108.22,-111.56,140.0,-166.67,-110.78,-109.22,West,Southwest,West,Northwest,-108.0,-112.0,150.0,-180.0,-105.0,-115.0,-106.0,-106.0,141.0,-160.0,-113.0,-102.0,-105.0,-115.0,145.0,-165.0,-115.0,-105.0,-110.0,-110.0,140.0,-170.0,-115.0,-105.0,-110.0,-110.0,139.0,-172.0,-110.0,-110.0,-106.0,-114.0,142.0,-168.0,-112.0,-108.0,-110.0,-110.0,135.0,-160.0,-105.0,-115.0,-109,-117,130,-165,-112,-113,-110.0,-110.0,138.0,-160.0,-110.0,-110.0
NBA,2025-11-16 13:31:45,2025-11-16 20:00,Phoenix Suns,Atlanta Hawks,No,1591.4,Yes,-109.89,-109.89,9.56,-118.56,-109.56,-110.33,West,Pacific,East,Southeast,-112.0,-108.0,-105.0,-115.0,-110.0,-110.0,-104.0,-108.0,-103.0,-113.0,-102.0,-113.0,-108.0,-112.0,-105.0,-115.0,-105.0,-115.0,-110.0,-110.0,100.0,-120.0,-115.0,-105.0,-110.0,-110.0,100.0,-122.0,-110.0,-110.0,-112.0,-108.0,102.0,-120.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-113,-113,-103,-122,-114,-110,-110.0,-110.0,100.0,-120.0,-110.0,-110.0
NBA,2025-11-16 13:31:45,2025-11-16 20:00,Utah Jazz,Chicago Bulls,No,1258.5,Yes,-109.78,-110.0,155.44,-184.56,-111.67,-108.44,West,Northwest,East,Central,-108.0,-112.0,160.0,-192.0,-110.0,-110.0,-106.0,-106.0,162.0,-185.0,-113.0,-102.0,-110.0,-110.0,161.0,-185.0,-115.0,-105.0,-110.0,-110.0,155.0,-190.0,-115.0,-105.0,-110.0,-110.0,147.0,-182.0,-110.0,-110.0,-110.0,-110.0,152.0,-180.0,-110.0,-110.0,-110.0,-110.0,160.0,-185.0,-110.0,-110.0,-114,-112,143,-177,-112,-114,-110.0,-110.0,159.0,-185.0,-110.0,-110.0
NBA,2025-11-16 13:31:45,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,
NBA,2025-11-16 13:31:45,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,
