League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-13 18:28:01,2026-03-13 19:40,fff92660471a227787e69030342c161a,Dallas Mavericks,Cleveland Cavaliers,No,1025.8,Yes,West,Southwest,East,Central,-108.89,-110.56,13.5,-13.5,529.56,-771.33,-109.67,-110.11,237.56,-105,-115,560,-800,-112,-108,-110.0,-110.0,513.0,-769.0,-110.0,-110.0,-110.0,-110.0,525.0,-750.0,-110.0,-110.0,-109.0,-114.0,550.0,-910.0,-112.0,-112.0,-110.0,-110.0,520.0,-725.0,-108.0,-112.0,-106.0,-106.0,533.0,-713.0,-105.0,-109.0,-110.0,-110.0,525.0,-750.0,-110.0,-110.0,-110.0,-110.0,515.0,-725.0,-110.0,-110.0,-110.0,-110.0,525.0,-800.0,-110.0,-110.0
NBA,2026-03-13 18:28:01,2026-03-13 19:40,9f90f0cfcf3b921f77ede1f83724a96f,Detroit Pistons,Memphis Grizzlies,No,623.7,Yes,East,Central,West,Southwest,-111.78,-107.67,-15.72,15.72,-1427.11,818.44,-110.11,-109.67,233.61,-110,-110,-1350,810,-112,-108,-110.0,-110.0,-1429.0,773.0,-110.0,-110.0,-115.0,-105.0,-1450.0,850.0,-110.0,-110.0,-110.0,-113.0,-1250.0,700.0,-112.0,-112.0,-115.0,-105.0,-1400.0,836.0,-110.0,-110.0,-111.0,-101.0,-1365.0,872.0,-107.0,-107.0,-115.0,-105.0,-1600.0,875.0,-110.0,-110.0,-110.0,-110.0,-1600.0,900.0,-110.0,-110.0,-110.0,-110.0,-1400.0,750.0,-110.0,-110.0
NBA,2026-03-13 18:28:01,2026-03-13 19:40,aef5ba1e4c95ece8672f8bb0672fe17d,Indiana Pacers,New York Knicks,No,646.0,Yes,East,Central,East,Atlantic,-107.56,-111.89,12.72,-12.72,511.89,-749.22,-109.89,-109.89,227.44,-112,-108,530,-750,-110,-110,-110.0,-110.0,527.0,-833.0,-110.0,-110.0,-105.0,-115.0,500.0,-700.0,-110.0,-110.0,-110.0,-113.0,575.0,-1000.0,-112.0,-112.0,-105.0,-115.0,482.0,-660.0,-110.0,-110.0,-101.0,-111.0,493.0,-650.0,-107.0,-107.0,-105.0,-115.0,500.0,-700.0,-110.0,-110.0,-105.0,-115.0,500.0,-700.0,-110.0,-110.0,-115.0,-105.0,500.0,-750.0,-110.0,-110.0
NBA,2026-03-13 18:28:01,2026-03-13 19:40,9d9b5899c3a11e2fb35194811631cd40,Toronto Raptors,Phoenix Suns,No,1890.3,Yes,East,Atlantic,West,Pacific,-107.67,-111.78,-5.5,5.5,-201.56,168.44,-110.67,-109.11,219.33,-108,-112,-200,168,-105,-115,-110.0,-110.0,-213.0,171.0,-110.0,-110.0,-105.0,-115.0,-192.0,160.0,-110.0,-110.0,-109.0,-114.0,-210.0,165.0,-113.0,-110.0,-108.0,-112.0,-197.0,172.0,-115.0,-105.0,-104.0,-108.0,-197.0,173.0,-113.0,-102.0,-105.0,-115.0,-200.0,165.0,-110.0,-110.0,-110.0,-110.0,-195.0,167.0,-110.0,-110.0,-110.0,-110.0,-210.0,175.0,-110.0,-110.0
NBA,2026-03-13 18:28:01,2026-03-13 20:10,8d4b91d706b4ca4f3b81cc33346b3d14,Houston Rockets,New Orleans Pelicans,Yes,317.4,Yes,West,Southwest,West,Southwest,-110.56,-108.89,-5.83,5.83,-236.56,194.22,-110.78,-109.0,230.17,-114,-106,-250,205,-108,-112,-110.0,-110.0,-286.0,223.0,-110.0,-110.0,-112.0,-108.0,-225.0,185.0,-108.0,-112.0,-114.0,-109.0,-230.0,180.0,-113.0,-110.0,-107.0,-113.0,-225.0,189.0,-115.0,-105.0,-103.0,-109.0,-223.0,191.0,-113.0,-102.0,-115.0,-105.0,-225.0,185.0,-110.0,-110.0,-110.0,-110.0,-220.0,185.0,-110.0,-110.0,-110.0,-110.0,-245.0,205.0,-110.0,-110.0
NBA,2026-03-13 18:28:01,2026-03-13 22:10,8f70af8b76f27c4f0a7a6957464edf9d,Golden State Warriors,Minnesota Timberwolves,No,1583.0,Yes,West,Pacific,West,Northwest,-110.56,-108.89,5.33,-5.33,168.11,-201.67,-109.56,-110.11,222.89,-105,-115,180,-215,-114,-106,-110.0,-110.0,160.0,-200.0,-110.0,-110.0,-115.0,-105.0,170.0,-205.0,-105.0,-115.0,-113.0,-110.0,155.0,-200.0,-110.0,-113.0,-113.0,-107.0,170.0,-195.0,-110.0,-110.0,-109.0,-103.0,171.0,-195.0,-107.0,-107.0,-110.0,-110.0,165.0,-200.0,-110.0,-110.0,-110.0,-110.0,167.0,-195.0,-110.0,-110.0,-110.0,-110.0,175.0,-210.0,-110.0,-110.0
NBA,2026-03-13 18:28:01,2026-03-13 22:10,d935250226e658edb6e7a0f1eaf4edea,Portland Trail Blazers,Utah Jazz,Yes,635.0,Yes,West,Northwest,West,Northwest,-109.89,-109.56,-15.5,15.5,-1208.22,733.56,-109.67,-110.11,236.5,-110,-110,-1200,750,-108,-112,-110.0,-110.0,-1250.0,692.0,-110.0,-110.0,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0,-113.0,-110.0,-1250.0,700.0,-112.0,-112.0,-110.0,-110.0,-1200.0,754.0,-110.0,-110.0,-106.0,-106.0,-1174.0,781.0,-107.0,-107.0,-110.0,-110.0,-1200.0,725.0,-110.0,-110.0,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0,-110.0,-110.0,-1200.0,700.0,-110.0,-110.0
NBA,2026-03-13 18:28:01,2026-03-13 22:40,3e5d3f236671e27e0921615898f5f035,Los Angeles Clippers,Chicago Bulls,No,1752.1,Yes,West,Pacific,East,Central,-109.56,-109.89,-13.33,13.33,-783.89,536.44,-109.89,-109.67,234.56,-112,-108,-750,530,-110,-110,-110.0,-110.0,-833.0,537.0,-110.0,-110.0,-108.0,-112.0,-800.0,550.0,-112.0,-108.0,-113.0,-110.0,-835.0,525.0,-110.0,-112.0,-106.0,-114.0,-750.0,534.0,-110.0,-110.0,-102.0,-110.0,-737.0,547.0,-107.0,-107.0,-110.0,-110.0,-800.0,550.0,-110.0,-110.0,-110.0,-110.0,-750.0,530.0,-110.0,-110.0,-115.0,-105.0,-800.0,525.0,-110.0,-110.0
NBA,2026-03-13 18:28:01,2026-03-14 13:10,12c0f198cfa33b284457ae31066ace94,Philadelphia 76ers,Brooklyn Nets,Yes,83.1,No,East,Atlantic,East,Atlantic,-105.0,-115.0,-9.0,9.0,-390.0,310.0,-112.0,-108.0,216.5,-105,-115,-390,310,-112,-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-13 18:28:01,2026-03-14 15:40,385c8f2c3153a39f3b1864e324132599,San Antonio Spurs,Charlotte Hornets,No,1102.4,No,West,Southwest,East,Southeast,-105.0,-115.0,-6.5,6.5,-230.0,190.0,-108.0,-112.0,228.5,-105,-115,-230,190,-108,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
