League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-23 18:53:25,2026-05-23 20:10,4247d31ac7706ebe455b8f221c9e4184,Cleveland Cavaliers,New York Knicks,No,404.7,Yes,East,Central,East,Atlantic,-108.78,-110.67,-3.17,3.17,-146.11,123.11,-110.0,-109.67,215.5,-105,-115,-148,124,-110,-110,-106,-114,-142,120,-110,-110,-105,-115,-145,120,-110,-110,-114,-109,-157,125,-113,-110,-114,-106,-145,125,-110,-110,-105,-107,-144,127,-107,-107,-110,-110,-140,120,-110,-110,-110,-110,-149,122,-110,-110,-110.0,-110.0,-145.0,125.0,-110.0,-110.0
NBA,2026-05-23 18:53:25,2026-05-24 20:10,74cd3b630383a2e3eff3afd92006ebb3,San Antonio Spurs,Oklahoma City Thunder,No,419.4,Yes,West,Southwest,West,Northwest,-108.25,-111.25,-2.44,2.44,-138.62,116.75,-110.75,-108.88,218.69,-112,-108,-135,114,-115,-105,-104,-118,-134,116,-114,-106,-110,-110,-145,118,-110,-110,-109,-113,-130,105,-110,-113,-110,-110,-140,120,-110,-110,-106,-106,-138,122,-107,-107,-105,-115,-140,120,-110,-110,-110,-110,-147,119,-110,-110,,,,,,
