League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-07 05:21:48,2026-02-07 15:10,b321b271a38a3a225bb32d4cda89c2ca,Brooklyn Nets,Washington Wizards,No,203.5,No,East,Atlantic,East,Southeast,-109.44,-110.33,-4.67,4.67,-189.67,158.67,-110.11,-109.89,220.0,-110,-110,-186,156,-110,-110,-110.0,-110.0,-189.0,152.0,-110.0,-110.0,-115,-105,-192,160,-112,-108,-105,-115,-190,165,-110,-110,-101,-111,-190,166,-107,-107,-110,-110,-190,154,-110,-110,-105.0,-115.0,-180.0,155.0,-110.0,-110.0,-114,-112,-195,155,-112,-114,-115,-105,-195,165,-110,-110
NBA,2026-02-07 05:21:48,2026-02-07 15:40,734128222c2a03269132090adb3c593d,Oklahoma City Thunder,Houston Rockets,No,413.2,No,West,Northwest,West,Southwest,-108.44,-111.22,-2.56,2.56,-135.33,113.89,-108.22,-111.89,212.06,-110,-110,-132,112,-108,-112,-110.0,-110.0,-141.0,116.0,-110.0,-110.0,-105,-115,-130,110,-112,-108,-105,-115,-132,112,-105,-115,-101,-111,-130,114,-102,-113,-110,-110,-135,110,-110,-110,-105.0,-115.0,-130.0,110.0,-105.0,-115.0,-115,-110,-143,116,-112,-114,-115,-105,-145,125,-110,-110
NBA,2026-02-07 05:21:48,2026-02-07 18:10,b69d85cac76c01181ada3299bc50ed54,San Antonio Spurs,Dallas Mavericks,Yes,251.0,No,West,Southwest,West,Southwest,-107.22,-112.56,-10.28,10.28,-447.44,342.44,-110.11,-109.89,229.89,-108,-112,-450,350,-112,-108,-110.0,-110.0,-417.0,313.0,-110.0,-110.0,-102,-118,-455,350,-105,-115,-110,-110,-440,344,-110,-110,-106,-106,-435,350,-107,-107,-102,-118,-450,350,-115,-105,-110.0,-110.0,-440.0,345.0,-110.0,-110.0,-112,-114,-500,350,-112,-114,-105,-115,-440,330,-110,-110
NBA,2026-02-07 05:21:48,2026-02-07 19:10,a54af649958eb60284f57114fdeeb472,Orlando Magic,Utah Jazz,No,1918.5,Yes,East,Southeast,West,Northwest,-106.11,-113.44,-8.39,8.39,-334.89,265.89,-111.67,-108.44,237.39,-110,-110,-330,265,-110,-110,-110.0,-110.0,-357.0,270.0,-110.0,-110.0,-102,-118,-325,260,-110,-110,-105,-115,-320,260,-115,-105,-101,-111,-317,263,-113,-102,-102,-118,-325,260,-110,-110,-105.0,-115.0,-325.0,265.0,-115.0,-105.0,-110,-114,-385,285,-112,-114,-110,-110,-330,265,-110,-110
NBA,2026-02-07 05:21:48,2026-02-07 19:40,05cf7fd60949a0c52340284b261ae851,Atlanta Hawks,Charlotte Hornets,Yes,226.8,Yes,East,Southeast,East,Southeast,-110.44,-109.33,1.89,-1.89,109.0,-129.89,-110.56,-109.44,231.17,-114,-106,110,-130,-110,-110,-110.0,-110.0,101.0,-123.0,-110.0,-110.0,-105,-115,105,-125,-115,-105,-115,-105,108,-128,-110,-110,-111,-101,110,-126,-107,-107,-102,-118,110,-135,-110,-110,-115.0,-105.0,110.0,-130.0,-110.0,-110.0,-112,-114,112,-137,-113,-113,-110,-110,115,-135,-110,-110
NBA,2026-02-07 05:21:48,2026-02-07 20:10,e9a14346272a3fc89154cc1bf1c5da1b,Chicago Bulls,Denver Nuggets,No,918.9,Yes,East,Central,West,Northwest,-109.78,-110.0,5.67,-5.67,177.67,-213.78,-109.89,-110.11,232.72,-112,-108,168,-200,-110,-110,-110.0,-110.0,179.0,-222.0,-110.0,-110.0,-108,-112,180,-218,-115,-105,-110,-110,180,-210,-110,-110,-106,-106,182,-209,-107,-107,-110,-110,185,-225,-105,-115,-110.0,-110.0,170.0,-200.0,-110.0,-110.0,-112,-114,175,-220,-112,-114,-110,-110,180,-220,-110,-110
NBA,2026-02-07 05:21:48,2026-02-07 20:40,076f5eadf0573f4dd2ace4f26ae28ef2,Los Angeles Lakers,Golden State Warriors,Yes,345.4,Yes,West,Pacific,West,Pacific,-110.89,-108.89,-2.94,2.94,-147.33,124.56,-107.89,-112.22,222.11,-106,-114,-138,118,-110,-110,-110.0,-110.0,-149.0,122.0,-110.0,-110.0,-118,-102,-148,124,-112,-108,-110,-110,-145,125,-105,-115,-106,-106,-144,127,-102,-113,-115,-105,-150,125,-105,-115,-110.0,-110.0,-145.0,125.0,-105.0,-115.0,-113,-113,-157,125,-112,-114,-110,-110,-150,130,-110,-110
NBA,2026-02-07 05:21:48,2026-02-07 21:10,a809adbd88558364e25c834bbb5a88f0,Phoenix Suns,Philadelphia 76ers,No,2081.8,Yes,West,Pacific,East,Atlantic,-110.11,-109.56,-1.33,1.33,-119.89,55.56,-109.89,-109.89,222.94,-110,-110,-122,104,-110,-110,-110.0,-110.0,-122.0,100.0,-110.0,-110.0,-110,-110,-122,102,-112,-108,-110,-110,-115,-105,-110,-110,-106,-106,-113,-103,-107,-107,-110,-110,-120,100,-110,-110,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-115,-110,-125,102,-110,-114,-110,-110,-120,100,-110,-110
NBA,2026-02-07 05:21:48,2026-02-07 22:10,7b28a8f5733ef01c824181e1b5a42341,Sacramento Kings,Cleveland Cavaliers,No,2102.2,Yes,West,Pacific,East,Central,-111.62,-108.12,12.25,-12.25,467.25,-660.25,-108.88,-111.12,234.06,-110,-110,420,-560,-110,-110,-110.0,-110.0,456.0,-667.0,-110.0,-110.0,-115,-105,470,-650,-105,-115,-110,-110,461,-625,-110,-110,-106,-106,471,-615,-107,-107,-115,-105,500,-700,-105,-115,,,,,,,-117,-109,460,-715,-114,-112,-110,-110,500,-750,-110,-110
NBA,2026-02-07 05:21:48,2026-02-07 22:10,e4c99c288d8e1b1baf8bd7af1678ddb5,Portland Trail Blazers,Memphis Grizzlies,No,1849.4,Yes,West,Northwest,West,Southwest,-80.14,-110.86,-9.07,9.07,-370.14,290.14,-109.86,-110.14,237.5,-110,-110,-350,280,-110,-110,,,,,,,100,-120,-375,295,-110,-110,-110,-110,-380,303,-110,-110,-106,-106,-376,308,-107,-107,-110,-110,-375,290,-110,-110,,,,,,,-110,-115,-345,260,-112,-114,-115,-105,-390,295,-110,-110
