League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-16 20:55:52,2025-11-16 19:10,New Orleans Pelicans,Golden State Warriors,No,1923.5,Yes,-118.5,-114.33,1931.25,-16958.25,-114.33,-118.67,West,Southwest,West,Pacific,-115.0,-115.0,3500.0,-50000.0,-125.0,-105.0,-111.0,-125.0,1025.0,-3333.0,-118.0,-118.0,-118.0,-110.0,2000.0,-10000.0,-115.0,-110.0,-125.0,-106.0,1200.0,-4500.0,-106.0,-125.0,-122,-120,,,-112,-134,-120.0,-110.0,,,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 20:55:52,2025-11-16 19:11,Houston Rockets,Orlando Magic,No,848.7,Yes,-114.83,-117.5,12.33,-86.83,-118.67,-112.83,West,Southwest,East,Southeast,-110.0,-120.0,150.0,-195.0,-125.0,-105.0,-125.0,-105.0,-154.0,120.0,-111.0,-118.0,-105.0,-125.0,140.0,-180.0,-125.0,-105.0,-114.0,-118.0,-132.0,104.0,-114.0,-114.0,-120,-122,175.0,-245.0,-122,-120,-115.0,-115.0,-105.0,-125.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 20:55:52,2025-11-16 19:41,Dallas Mavericks,Portland Trail Blazers,No,1632.1,Yes,-74.67,-123.17,160.17,-213.67,-115.67,-115.33,West,Southwest,West,Northwest,-105.0,-125.0,160.0,-210.0,-105.0,-125.0,-105.0,-118.0,165.0,-222.0,-118.0,-111.0,-105.0,-125.0,154.0,-200.0,-110.0,-115.0,100.0,-132.0,164.0,-215.0,-122.0,-108.0,-118,-124,148.0,-210.0,-124,-118,-115.0,-115.0,170.0,-225.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 20:55:52,2025-11-16 20:10,Phoenix Suns,Atlanta Hawks,No,1591.4,Yes,-114.33,-116.17,77.5,-144.67,-116.33,-114.0,West,Pacific,East,Southeast,-120.0,-110.0,110.0,-140.0,-120.0,-110.0,-105.0,-118.0,-118.0,-105.0,-111.0,-111.0,-118.0,-110.0,120.0,-155.0,-110.0,-118.0,-108.0,-122.0,108.0,-138.0,-118.0,-112.0,-115,-127,125.0,-175.0,-124,-118,-120.0,-110.0,120.0,-155.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 20:55:52,2025-11-16 20:11,Utah Jazz,Chicago Bulls,No,1258.5,Yes,-116.83,-113.17,215.83,-297.5,-115.17,-114.83,West,Northwest,East,Central,-115.0,-115.0,240.0,-330.0,-115.0,-115.0,-118.0,-105.0,185.0,-250.0,-105.0,-118.0,-115.0,-110.0,210.0,-275.0,-110.0,-115.0,-118.0,-112.0,210.0,-280.0,-122.0,-108.0,-125,-117,210.0,-315.0,-124,-118,-110.0,-120.0,240.0,-335.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-16 20:55:52,2025-11-17 19:00,Cleveland Cavaliers,Milwaukee Bucks,Yes,336.6,Yes,-109.89,-109.78,-264.33,212.33,-110.33,-109.67,East,Central,East,Central,-110.0,-110.0,-258.0,210.0,-110.0,-110.0,-110.0,-110.0,-263.0,209.0,-110.0,-110.0,-110.0,-110.0,-275.0,220.0,-110.0,-110.0,-108.0,-112.0,-255.0,210.0,-112.0,-108.0,-115,-110,-275.0,210.0,-114,-112,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-16 20:55:52,2025-11-17 19:00,Detroit Pistons,Indiana Pacers,Yes,240.5,Yes,-109.78,-109.89,-376.67,290.5,-110.11,-109.89,East,Central,East,Central,-110.0,-110.0,-375.0,295.0,-110.0,-110.0,-110.0,-110.0,-385.0,288.0,-110.0,-110.0,-110.0,-110.0,-375.0,300.0,-115.0,-105.0,-112.0,-108.0,-370.0,295.0,-106.0,-114.0,-115,-110,-375.0,275.0,-113,-113,-105.0,-115.0,-380.0,290.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-16 20:55:52,2025-11-17 19:10,Philadelphia 76ers,Los Angeles Clippers,No,2401.6,Yes,-109.38,-110.38,-198.8,162.0,-109.38,-110.62,East,Atlantic,West,Pacific,-110.0,-110.0,-192.0,160.0,-110.0,-110.0,-110.0,-110.0,-192.0,154.0,-110.0,-110.0,-110.0,-110.0,-190.0,155.0,-105.0,-115.0,-106.0,-114.0,-210.0,176.0,-110.0,-110.0,-113,-113,-210.0,165.0,-113,-113,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-16 20:55:52,2025-11-17 19:30,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-110.67,-109.0,-313.0,249.17,-110.0,-110.0,East,Atlantic,East,Southeast,-110.0,-110.0,-340.0,270.0,-110.0,-110.0,-110.0,-110.0,-313.0,245.0,-110.0,-110.0,-115.0,-105.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-295.0,240.0,-110.0,-110.0,-115,-110,-305.0,230.0,-113,-113,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-16 20:55:52,2025-11-17 19:30,Miami Heat,New York Knicks,No,1091.4,Yes,-108.44,-111.33,-117.83,-70.0,-110.0,-110.0,East,Southeast,East,Atlantic,-105.0,-115.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-119.0,-103.0,-110.0,-110.0,-105.0,-115.0,-118.0,-102.0,-105.0,-115.0,-108.0,-112.0,-124.0,104.0,-110.0,-110.0,-112,-114,-121.0,-104.0,-113,-113,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
