League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-10 14:54:45,2026-04-10 19:10,70a2274c4f82c7a3f37879b7edf0cfa4,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,East,Southeast,East,Central,-111.0,-108.44,-7.78,7.78,-344.89,272.67,-109.67,-110.11,233.61,-115,-105,-340,275,-108,-112,-115,-105,-340,270,-110,-110,-113,-110,-335,250,-112,-112,-106,-106,-345,285,-107,-107,-110,-110,-350,280,-110,-110,-115,-105,-350,275,-110,-110,-110,-110,-364,274,-110,-110,-105,-115,-330,265,-110,-110,-110,-110,-350,280,-110,-110
NBA,2026-04-10 14:54:45,2026-04-10 19:10,1126b937945abff19e12dc1ac60f2ecb,Charlotte Hornets,Detroit Pistons,No,505.2,Yes,East,Southeast,East,Central,-110.44,-109.0,-5.67,5.67,-213.44,177.44,-110.33,-109.44,225.5,-114,-106,-200,168,-112,-108,-115,-105,-218,180,-112,-108,-110,-113,-225,175,-112,-112,-103,-109,-209,182,-107,-107,-107,-113,-210,180,-110,-110,-115,-105,-225,185,-110,-110,-110,-110,-214,172,-110,-110,-105,-115,-210,175,-110,-110,-115,-105,-210,180,-110,-110
NBA,2026-04-10 14:54:45,2026-04-10 19:10,f47d78a747510d6ef00500f74872372d,Washington Wizards,Miami Heat,Yes,922.4,Yes,East,Southeast,East,Southeast,-109.0,-110.44,15.94,-15.94,828.0,-1477.0,-108.67,-111.11,243.33,-110,-110,900,-1600,-106,-114,-105,-115,850,-1450,-115,-105,-113,-110,650,-1250,-110,-113,-106,-106,910,-1464,-102,-113,-110,-110,874,-1500,-105,-115,-102,-118,850,-1600,-105,-115,-110,-110,793,-1429,-110,-110,-115,-105,775,-1500,-115,-105,-110,-110,850,-1500,-110,-110
NBA,2026-04-10 14:54:45,2026-04-10 19:40,80adae4b4459f5602f7500d94892f2a5,Boston Celtics,New Orleans Pelicans,No,1359.7,Yes,East,Atlantic,West,Southwest,-112.11,-107.33,-16.44,16.44,-1623.11,881.56,-110.78,-108.89,225.78,-112,-108,-1800,980,-110,-110,-112,-108,-1600,900,-115,-105,-109,-114,-1430,750,-110,-113,-111,-101,-1561,950,-107,-107,-115,-105,-1600,910,-110,-110,-115,-105,-1600,850,-115,-105,-110,-110,-1667,844,-110,-110,-115,-105,-1800,850,-110,-110,-110,-110,-1550,900,-110,-110
NBA,2026-04-10 14:54:45,2026-04-10 19:40,4398234154ac742bd22d689c8d4bf956,Indiana Pacers,Philadelphia 76ers,No,583.9,Yes,East,Central,East,Atlantic,-110.44,-109.0,15.5,-15.5,759.56,-1259.44,-111.11,-108.67,232.44,-110,-110,730,-1150,-110,-110,-110,-110,800,-1350,-112,-108,-113,-110,650,-1115,-110,-113,-106,-106,826,-1270,-113,-102,-110,-110,795,-1300,-115,-105,-110,-110,825,-1400,-110,-110,-110,-110,730,-1250,-110,-110,-115,-105,700,-1200,-110,-110,-110,-110,780,-1300,-110,-110
NBA,2026-04-10 14:54:45,2026-04-10 19:40,39083e08e7959b0ec516933d574379cd,New York Knicks,Toronto Raptors,Yes,340.9,Yes,East,Atlantic,East,Atlantic,-110.0,-109.44,-6.5,6.5,-269.56,218.78,-110.44,-109.22,221.22,-110,-110,-270,220,-114,-106,-110,-110,-270,220,-108,-112,-114,-109,-265,205,-110,-113,-106,-106,-263,222,-107,-107,-110,-110,-265,219,-110,-110,-110,-110,-275,220,-110,-110,-110,-110,-278,218,-110,-110,-110,-110,-270,220,-115,-105,-110,-110,-270,225,-110,-110
NBA,2026-04-10 14:54:45,2026-04-10 20:10,d463e0aa51436ff32f8ee83d6d3893a8,Milwaukee Bucks,Brooklyn Nets,No,736.6,Yes,East,Central,East,Atlantic,-110.56,-108.89,-10.44,10.44,-524.33,392.22,-110.0,-109.67,216.89,-114,-106,-500,385,-114,-106,-112,-108,-550,410,-105,-115,-108,-115,-500,360,-109,-114,-106,-106,-518,408,-107,-107,-110,-110,-525,400,-110,-110,-110,-110,-550,400,-115,-105,-110,-110,-526,382,-110,-110,-115,-105,-500,360,-110,-110,-110,-110,-550,425,-110,-110
NBA,2026-04-10 14:54:45,2026-04-10 20:10,ebbf0d3885094991ff36055e753635a3,Chicago Bulls,Orlando Magic,No,985.5,Yes,East,Central,East,Southeast,-109.11,-110.33,15.5,-15.5,723.0,-1197.11,-111.22,-108.56,243.61,-114,-106,700,-1100,-110,-110,-108,-112,750,-1200,-110,-110,-110,-113,650,-1250,-113,-110,-103,-109,781,-1174,-113,-102,-107,-113,754,-1200,-115,-105,-110,-110,725,-1200,-110,-110,-110,-110,697,-1250,-110,-110,-110,-110,700,-1200,-110,-110,-110,-110,750,-1200,-110,-110
NBA,2026-04-10 14:54:45,2026-04-10 20:10,51aa38f3acd638a314975c61ab16a862,San Antonio Spurs,Dallas Mavericks,Yes,251.0,Yes,West,Southwest,West,Southwest,-110.78,-108.67,-18.56,18.56,-2135.22,1032.67,-108.89,-110.78,237.39,-110,-110,-2000,1040,-110,-110,-112,-108,-2100,1100,-105,-115,-109,-114,-1667,850,-113,-110,-111,-101,-2050,1120,-107,-107,-115,-105,-2100,1069,-110,-110,-110,-110,-2500,1050,-105,-115,-110,-110,-2500,990,-110,-110,-110,-110,-2200,1000,-110,-110,-110,-110,-2100,1075,-110,-110
NBA,2026-04-10 14:54:45,2026-04-10 21:10,11fa8c6f7710a287909a9765aa925cce,Denver Nuggets,Oklahoma City Thunder,Yes,506.0,Yes,West,Northwest,West,Northwest,-110.56,-108.89,-11.56,11.56,-562.89,411.89,-110.56,-109.22,231.83,-114,-106,-590,430,-114,-106,-110,-110,-535,400,-105,-115,-110,-113,-625,425,-113,-110,-106,-106,-518,408,-113,-102,-110,-110,-525,400,-115,-105,-110,-110,-550,400,-105,-115,-110,-110,-588,409,-110,-110,-115,-105,-585,410,-110,-110,-110,-110,-550,425,-110,-110
