League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-12-12 13:38:00,2025-12-12 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-110.56,-109.22,-289.33,234.33,-110.78,-109.11,East,Central,East,Southeast,-110,-110,-290,235,-110,-110,-110,-110,-298,240,-112,-108,-114,-112,-265,205,-113,-112,-111,-101,-287.0,241.0,-107,-107,-115,-105,-290.0,237.0,-110,-110,-110.0,-110.0,-300.0,240.0,-110.0,-110.0,-110.0,-110.0,-290.0,240.0,-110.0,-110.0,-110,-110,-294,231,-110,-110,-105,-115,-290,240,-115,-105
NBA,2025-12-12 13:38:00,2025-12-12 19:10,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-111.11,-108.67,124.11,-146.67,-109.0,-111.0,East,Southeast,East,Central,-106,-114,124,-146,-110,-110,-118,-102,124,-148,-105,-115,-112,-114,120,-148,-114,-112,-106,-106,127.0,-144.0,-107,-107,-110,-110,125.0,-145.0,-110,-110,-118.0,-102.0,125.0,-150.0,-105.0,-115.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-110,-110,122,-149,-110,-110,-110,-110,125,-145,-110,-110
NBA,2025-12-12 13:38:00,2025-12-12 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-108.0,-111.78,682.11,-1093.22,-109.56,-110.44,East,Southeast,East,Central,-114,-106,750,-1200,-110,-110,-105,-115,700,-1100,-105,-115,-112,-114,600,-1000,-114,-112,-101,-111,708.0,-1028.0,-107,-107,-105,-115,686.0,-1050.0,-110,-110,-105.0,-115.0,725.0,-1200.0,-110.0,-110.0,-110.0,-110.0,680.0,-1050.0,-110.0,-110.0,-110,-110,640,-1111,-110,-110,-110,-110,650,-1100,-110,-110
NBA,2025-12-12 13:38:00,2025-12-12 19:10,Philadelphia 76ers,Indiana Pacers,No,583.9,Yes,-108.67,-111.11,-286.78,232.44,-109.33,-110.67,East,Atlantic,East,Central,-110,-110,-290,235,-108,-112,-105,-115,-290,235,-105,-115,-109,-117,-295,225,-114,-112,-105,-107,-277.0,233.0,-107,-107,-109,-111,-280.0,230.0,-110,-110,-105.0,-115.0,-285.0,230.0,-110.0,-110.0,-110.0,-110.0,-280.0,235.0,-110.0,-110.0,-110,-110,-294,229,-110,-110,-115,-105,-290,240,-110,-110
NBA,2025-12-12 13:38:00,2025-12-12 20:10,Memphis Grizzlies,Utah Jazz,No,1251.0,Yes,-108.44,-111.33,-276.78,225.0,-109.44,-110.56,West,Southwest,West,Northwest,-108,-112,-280,230,-108,-112,-105,-115,-278,225,-108,-112,-112,-114,-278,220,-112,-114,-106,-106,-272.0,229.0,-107,-107,-110,-110,-275.0,226.0,-110,-110,-105.0,-115.0,-285.0,225.0,-110.0,-110.0,-110.0,-110.0,-275.0,230.0,-110.0,-110.0,-110,-110,-278,220,-110,-110,-110,-110,-270,220,-110,-110
NBA,2025-12-12 13:38:00,2025-12-12 20:40,Dallas Mavericks,Brooklyn Nets,No,1374.0,Yes,-111.44,-86.11,-322.0,258.56,-111.78,-108.33,West,Southwest,East,Atlantic,-110,-110,-320,260,-110,-110,-120,100,-325,260,-110,-110,-114,-112,-315,245,-113,-113,-106,-106,-317.0,263.0,-113,-102,-110,-110,-320.0,260.0,-115,-105,-118.0,-102.0,-325.0,260.0,-115.0,-105.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0,-110,-110,-336,259,-110,-110,-105,-115,-320,260,-110,-110
NBA,2025-12-12 13:38:00,2025-12-12 22:10,Golden State Warriors,Minnesota Timberwolves,No,1583.0,Yes,-110.22,-109.56,-123.0,102.89,-110.44,-109.56,West,Pacific,West,Northwest,-112,-108,-120,102,-114,-106,-112,-108,-125,105,-115,-105,-112,-114,-127,102,-113,-113,-106,-106,-120.0,104.0,-107,-107,-110,-110,-122.0,102.0,-110,-110,-110.0,-110.0,-125.0,105.0,-105.0,-115.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-110,-110,-123,101,-110,-110,-110,-110,-120,100,-110,-110
NBA,2025-12-12 13:38:00,2025-12-13 17:30,Orlando Magic,New York Knicks,No,940.3,No,-110.0,-109.71,158.6,-191.8,-110.14,-109.86,East,Southeast,East,Atlantic,-110,-110,168,-200,-110,-110,-110,-110,160,-192,-110,-110,-114,-112,150,-190,-114,-112,-106,-106,,,-107,-107,-110,-110,,,-110,-110,,,,,,,,,,,,,-110,-110,155,-192,-110,-110,-110,-110,160,-185,-110,-110
NBA,2025-12-12 13:38:00,2025-12-13 21:00,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,-111.71,-107.86,-459.2,339.6,-110.0,-109.86,West,Northwest,West,Southwest,-108,-112,-460,350,-110,-110,-118,-102,-455,350,-108,-112,-115,-110,-435,310,-115,-110,-106,-106,,,-107,-107,-110,-110,,,-110,-110,,,,,,,,,,,,,-110,-110,-476,343,-110,-110,-115,-105,-470,345,-110,-110
