League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-02 07:42:13,2025-11-02 15:30,Oklahoma City Thunder,New Orleans Pelicans,No,575.8,No,-108.22,-111.56,-670.89,478.33,-109.67,-110.33,West,Northwest,West,Southwest,-108.0,-112.0,-675.0,490.0,-112.0,-108.0,-110.0,-110.0,-714.0,475.0,-110.0,-110.0,-106.0,-114.0,-720.0,520.0,-110.0,-110.0,-106.0,-106.0,-634.0,483.0,-107.0,-107.0,-110.0,-110.0,-645.0,472.0,-110.0,-110.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-109,-117,-625,430,-113,-113,-105.0,-115.0,-675.0,460.0,-105.0,-115.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0
NBA,2025-11-02 07:42:13,2025-11-02 18:00,Cleveland Cavaliers,Atlanta Hawks,No,553.9,No,-111.11,-108.67,-222.22,183.33,-109.0,-111.11,East,Central,East,Southeast,-115.0,-105.0,-218.0,180.0,-112.0,-108.0,-110.0,-110.0,-233.0,186.0,-110.0,-110.0,-110.0,-110.0,-215.0,180.0,-110.0,-110.0,-106.0,-106.0,-219.0,188.0,-102.0,-113.0,-110.0,-110.0,-220.0,186.0,-105.0,-115.0,-115.0,-105.0,-225.0,185.0,-110.0,-110.0,-114,-112,-220,170,-112,-114,-110.0,-110.0,-230.0,190.0,-110.0,-110.0,-110.0,-110.0,-220.0,185.0,-110.0,-110.0
NBA,2025-11-02 07:42:13,2025-11-02 18:00,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,No,-111.44,-108.33,175.22,-211.33,-110.22,-109.78,East,Atlantic,East,Atlantic,-115.0,-105.0,185.0,-225.0,-112.0,-108.0,-110.0,-110.0,176.0,-222.0,-110.0,-110.0,-110.0,-110.0,172.0,-205.0,-110.0,-110.0,-106.0,-106.0,175.0,-200.0,-107.0,-107.0,-110.0,-110.0,174.0,-200.0,-110.0,-110.0,-115.0,-105.0,180.0,-220.0,-110.0,-110.0,-112,-114,170,-220,-113,-113,-115.0,-105.0,175.0,-210.0,-110.0,-110.0,-110.0,-110.0,170.0,-200.0,-110.0,-110.0
NBA,2025-11-02 07:42:13,2025-11-02 18:00,Charlotte Hornets,Utah Jazz,No,1728.3,No,-111.67,-108.11,-130.67,109.67,-110.22,-109.78,East,Southeast,West,Northwest,-118.0,-102.0,-135.0,114.0,-110.0,-110.0,-110.0,-110.0,-139.0,114.0,-110.0,-110.0,-108.0,-112.0,-126.0,108.0,-106.0,-114.0,-108.0,-104.0,-121.0,105.0,-107.0,-107.0,-112.0,-108.0,-123.0,103.0,-110.0,-110.0,-115.0,-105.0,-135.0,110.0,-110.0,-110.0,-114,-112,-132,108,-114,-112,-110.0,-110.0,-130.0,110.0,-115.0,-105.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0
NBA,2025-11-02 07:42:13,2025-11-02 18:10,Toronto Raptors,Memphis Grizzlies,No,817.6,No,-110.11,-109.67,-215.44,179.44,-110.56,-109.44,East,Atlantic,West,Southwest,-110.0,-110.0,-218.0,180.0,-112.0,-108.0,-110.0,-110.0,-217.0,174.0,-110.0,-110.0,-112.0,-108.0,-220.0,184.0,-114.0,-106.0,-104.0,-108.0,-209.0,182.0,-109.0,-105.0,-108.0,-112.0,-210.0,180.0,-112.0,-108.0,-110.0,-110.0,-220.0,180.0,-105.0,-115.0,-117,-109,-235,185,-113,-113,-110.0,-110.0,-200.0,170.0,-110.0,-110.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0
NBA,2025-11-02 07:42:13,2025-11-02 19:00,New York Knicks,Chicago Bulls,No,715.3,Yes,-108.11,-111.56,-269.67,219.44,-112.33,-107.67,East,Atlantic,East,Central,-105.0,-115.0,-270.0,220.0,-115.0,-105.0,-110.0,-110.0,-278.0,219.0,-110.0,-110.0,-108.0,-112.0,-270.0,220.0,-110.0,-110.0,-103.0,-109.0,-258.0,218.0,-113.0,-102.0,-107.0,-113.0,-260.0,215.0,-115.0,-105.0,-105.0,-115.0,-275.0,225.0,-110.0,-110.0,-110,-115,-286,220,-113,-112,-115.0,-105.0,-270.0,220.0,-110.0,-110.0,-110.0,-110.0,-260.0,218.0,-115.0,-105.0
NBA,2025-11-02 07:42:13,2025-11-02 20:00,Phoenix Suns,San Antonio Spurs,No,850.8,Yes,-111.44,-108.33,186.44,-226.89,-109.89,-110.11,West,Pacific,West,Southwest,-110.0,-110.0,190.0,-230.0,-110.0,-110.0,-110.0,-110.0,184.0,-233.0,-110.0,-110.0,-112.0,-108.0,180.0,-215.0,-110.0,-110.0,-110.0,-102.0,188.0,-219.0,-107.0,-107.0,-114.0,-106.0,186.0,-220.0,-110.0,-110.0,-110.0,-110.0,190.0,-235.0,-110.0,-110.0,-117,-109,180,-235,-112,-114,-110.0,-110.0,185.0,-225.0,-110.0,-110.0,-110.0,-110.0,195.0,-230.0,-110.0,-110.0
NBA,2025-11-02 07:42:13,2025-11-02 21:30,Los Angeles Lakers,Miami Heat,No,2340.4,Yes,-107.67,-112.0,-199.67,166.33,-111.67,-108.33,West,Pacific,East,Southeast,-102.0,-118.0,-198.0,164.0,-115.0,-105.0,-110.0,-110.0,-204.0,163.0,-110.0,-110.0,-110.0,-110.0,-210.0,176.0,-112.0,-108.0,-104.0,-108.0,-190.0,166.0,-109.0,-105.0,-108.0,-112.0,-190.0,165.0,-112.0,-108.0,-105.0,-115.0,-200.0,165.0,-115.0,-105.0,-110,-115,-205,160,-112,-114,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-190.0,163.0,-110.0,-110.0
NBA,2025-11-02 07:42:13,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,
NBA,2025-11-02 07:42:13,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-200,160,-114,-112,,,,,,,,,,,,
NBA,2025-11-02 07:42:13,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114,,,,,,,,,,,,
