League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-02 10:21:03,2025-11-02 15:30,Oklahoma City Thunder,New Orleans Pelicans,No,575.8,No,-110.0,-109.67,-690.33,486.11,-109.22,-110.78,West,Northwest,West,Southwest,-112.0,-108.0,-700.0,500.0,-108.0,-112.0,-110.0,-110.0,-714.0,470.0,-110.0,-110.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-108.0,-104.0,-634.0,483.0,-107.0,-107.0,-112.0,-108.0,-645.0,472.0,-110.0,-110.0,-110.0,-110.0,-700.0,500.0,-105.0,-115.0,-113,-112,-670,450,-113,-113,-105.0,-115.0,-750.0,500.0,-110.0,-110.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0
NBA,2025-11-02 10:21:03,2025-11-02 18:00,Cleveland Cavaliers,Atlanta Hawks,No,553.9,No,-107.78,-111.89,-238.0,194.78,-109.44,-110.56,East,Central,East,Southeast,-102.0,-118.0,-245.0,200.0,-105.0,-115.0,-110.0,-110.0,-244.0,192.0,-110.0,-110.0,-112.0,-108.0,-235.0,194.0,-110.0,-110.0,-106.0,-106.0,-238.0,202.0,-104.0,-110.0,-110.0,-110.0,-240.0,200.0,-107.0,-113.0,-105.0,-115.0,-250.0,200.0,-115.0,-105.0,-110,-115,-230,180,-114,-112,-105.0,-115.0,-235.0,195.0,-110.0,-110.0,-110.0,-110.0,-225.0,190.0,-110.0,-110.0
NBA,2025-11-02 10:21:03,2025-11-02 18:00,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,No,-111.22,-108.44,172.22,-207.33,-110.33,-109.67,East,Atlantic,East,Atlantic,-115.0,-105.0,170.0,-205.0,-105.0,-115.0,-110.0,-110.0,170.0,-213.0,-110.0,-110.0,-110.0,-110.0,166.0,-198.0,-114.0,-106.0,-106.0,-106.0,175.0,-200.0,-107.0,-107.0,-110.0,-110.0,174.0,-200.0,-110.0,-110.0,-115.0,-105.0,170.0,-210.0,-110.0,-110.0,-115,-110,170,-215,-112,-114,-110.0,-110.0,180.0,-220.0,-115.0,-105.0,-110.0,-110.0,175.0,-205.0,-110.0,-110.0
NBA,2025-11-02 10:21:03,2025-11-02 18:00,Charlotte Hornets,Utah Jazz,No,1728.3,No,-110.78,-108.78,-123.78,103.67,-110.67,-109.44,East,Southeast,West,Northwest,-112.0,-108.0,-125.0,105.0,-108.0,-112.0,-110.0,-110.0,-132.0,108.0,-110.0,-110.0,-110.0,-110.0,-124.0,106.0,-106.0,-114.0,-106.0,-106.0,-118.0,102.0,-113.0,-102.0,-110.0,-110.0,-120.0,100.0,-115.0,-105.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-114,-110,-125,102,-114,-112,-115.0,-105.0,-125.0,105.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
NBA,2025-11-02 10:21:03,2025-11-02 18:10,Toronto Raptors,Memphis Grizzlies,No,817.6,No,-108.56,-111.22,-209.56,174.67,-110.11,-109.89,East,Atlantic,West,Southwest,-110.0,-110.0,-205.0,170.0,-112.0,-108.0,-110.0,-110.0,-217.0,175.0,-110.0,-110.0,-108.0,-112.0,-210.0,176.0,-114.0,-106.0,-103.0,-109.0,-204.0,179.0,-107.0,-107.0,-107.0,-113.0,-205.0,177.0,-110.0,-110.0,-105.0,-115.0,-210.0,170.0,-110.0,-110.0,-114,-112,-230,180,-113,-113,-110.0,-110.0,-200.0,170.0,-105.0,-115.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0
NBA,2025-11-02 10:21:03,2025-11-02 19:00,New York Knicks,Chicago Bulls,No,715.3,Yes,-107.0,-112.56,-269.0,219.11,-109.78,-110.0,East,Atlantic,East,Central,-105.0,-115.0,-270.0,220.0,-112.0,-108.0,-110.0,-110.0,-278.0,216.0,-110.0,-110.0,-108.0,-112.0,-275.0,225.0,-110.0,-110.0,-101.0,-111.0,-258.0,218.0,-107.0,-107.0,-105.0,-115.0,-260.0,215.0,-110.0,-110.0,-105.0,-115.0,-275.0,220.0,-105.0,-115.0,-109,-115,-295,230,-114,-110,-110.0,-110.0,-250.0,210.0,-110.0,-110.0,-110.0,-110.0,-260.0,218.0,-110.0,-110.0
NBA,2025-11-02 10:21:03,2025-11-02 20:00,Phoenix Suns,San Antonio Spurs,No,850.8,Yes,-109.78,-110.0,188.11,-227.89,-110.0,-110.0,West,Pacific,West,Southwest,-110.0,-110.0,190.0,-230.0,-110.0,-110.0,-110.0,-110.0,184.0,-233.0,-110.0,-110.0,-106.0,-114.0,194.0,-235.0,-110.0,-110.0,-108.0,-104.0,191.0,-223.0,-107.0,-107.0,-112.0,-108.0,189.0,-225.0,-110.0,-110.0,-110.0,-110.0,185.0,-225.0,-110.0,-110.0,-117,-109,170,-215,-113,-113,-105.0,-115.0,195.0,-235.0,-110.0,-110.0,-110.0,-110.0,195.0,-230.0,-110.0,-110.0
NBA,2025-11-02 10:21:03,2025-11-02 21:30,Los Angeles Lakers,Miami Heat,No,2340.4,Yes,-110.67,-109.0,-196.22,164.22,-110.22,-109.78,West,Pacific,East,Southeast,-118.0,-102.0,-198.0,164.0,-115.0,-105.0,-110.0,-110.0,-200.0,160.0,-110.0,-110.0,-106.0,-114.0,-198.0,166.0,-106.0,-114.0,-104.0,-108.0,-190.0,166.0,-107.0,-107.0,-108.0,-112.0,-190.0,165.0,-110.0,-110.0,-115.0,-105.0,-200.0,165.0,-110.0,-110.0,-115,-110,-195,155,-114,-112,-110.0,-110.0,-200.0,170.0,-110.0,-110.0,-110.0,-110.0,-195.0,167.0,-110.0,-110.0
NBA,2025-11-02 10:21:03,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,
NBA,2025-11-02 10:21:03,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-200,160,-114,-112,,,,,,,,,,,,
