League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-11-04 04:27:49,2025-11-04 19:40,Toronto Raptors,Milwaukee Bucks,No,432.0,Yes,-108.44,-111.33,-170.12,142.25,-110.67,-109.33,East,Atlantic,East,Central,-106.0,-114.0,-172.0,144.0,-110.0,-110.0,-106.0,-106.0,-160.0,141.0,-107.0,-107.0,-110.0,-110.0,-160.0,140.0,-110.0,-110.0,-105.0,-115.0,-175.0,145.0,-110.0,-110.0,-105.0,-115.0,-175.0,145.0,-110.0,-110.0,-110.0,-110.0,-179.0,145.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-115.0,-105.0,-160.0,135.0,-115.0,-105.0,-109,-117,-180,143,-114,-112
NBA,2025-11-04 04:27:49,2025-11-04 20:10,Atlanta Hawks,Orlando Magic,Yes,401.3,Yes,-110.33,-109.33,143.38,-170.88,-110.11,-109.89,East,Southeast,East,Southeast,-106.0,-114.0,152.0,-180.0,-110.0,-110.0,-104.0,-108.0,146.0,-165.0,-107.0,-107.0,-108.0,-112.0,145.0,-165.0,-110.0,-110.0,-115.0,-105.0,145.0,-175.0,-110.0,-110.0,-115.0,-105.0,140.0,-170.0,-110.0,-110.0,-110.0,-110.0,139.0,-172.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-115.0,-105.0,140.0,-165.0,-110.0,-110.0,-115,-110,140,-175,-114,-112
NBA,2025-11-04 04:27:49,2025-11-04 20:10,New Orleans Pelicans,Charlotte Hornets,No,649.8,Yes,-111.11,-108.67,-129.0,108.12,-110.0,-110.0,West,Southwest,East,Southeast,-110.0,-110.0,-132.0,112.0,-110.0,-110.0,-106.0,-106.0,-128.0,112.0,-107.0,-107.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-118.0,-102.0,-130.0,110.0,-110.0,-110.0,-118.0,-102.0,-135.0,110.0,-110.0,-110.0,-110.0,-110.0,-130.0,106.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-105.0,-115.0,-125.0,105.0,-110.0,-110.0,-113,-113,-122,100,-113,-113
NBA,2025-11-04 04:27:49,2025-11-04 20:10,Chicago Bulls,Philadelphia 76ers,No,668.1,Yes,-86.0,-111.56,-127.0,81.38,-110.0,-110.0,East,Central,East,Atlantic,-110.0,-110.0,-132.0,112.0,-110.0,-110.0,100.0,-112.0,-125.0,109.0,-107.0,-107.0,-104.0,-116.0,-127.0,107.0,-110.0,-110.0,-118.0,-102.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-135.0,111.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-105.0,-115.0,-125.0,105.0,-110.0,-110.0,-112,-114,-122,-103,-113,-113
NBA,2025-11-04 04:27:49,2025-11-04 22:10,Golden State Warriors,Phoenix Suns,Yes,652.3,Yes,-109.11,-110.56,-460.62,349.5,-110.33,-109.67,West,Pacific,West,Pacific,-106.0,-114.0,-430.0,340.0,-112.0,-108.0,-106.0,-106.0,-444.0,356.0,-107.0,-107.0,-110.0,-110.0,-450.0,350.0,-110.0,-110.0,-110.0,-110.0,-455.0,350.0,-112.0,-108.0,-110.0,-110.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-476.0,350.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-450.0,335.0,-110.0,-110.0,-110,-115,-480,340,-112,-114
NBA,2025-11-04 04:27:49,2025-11-04 23:10,Los Angeles Clippers,Oklahoma City Thunder,No,1188.0,Yes,-109.62,-110.12,225.71,-281.14,-109.38,-110.5,West,Pacific,West,Northwest,-114.0,-106.0,245.0,-300.0,-110.0,-110.0,-101.0,-111.0,225.0,-267.0,-107.0,-107.0,-105.0,-115.0,222.0,-270.0,-110.0,-110.0,-115.0,-105.0,230.0,-285.0,-108.0,-112.0,-115.0,-105.0,225.0,-285.0,-110.0,-110.0,-110.0,-110.0,223.0,-286.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,,-112,-114,210,-275,-110,-115
NBA,2025-11-04 04:27:49,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113
NBA,2025-11-04 04:27:49,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-200,160,-114,-112
NBA,2025-11-04 04:27:49,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114
