League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2025-12-05 01:38:43,2025-12-05 19:10,Boston Celtics,Los Angeles Lakers,No,2597.9,Yes,-111.11,-108.67,-260.78,212.67,-109.44,-110.56,East,Atlantic,West,Pacific,-106,-114,-240,198,-110,-110,-110.0,-110.0,-270.0,214.0,-110.0,-110.0,-115,-105,-278,225,-110,-110,-113,-113,-286,220,-113,-113,-110.0,-110.0,-250.0,207.0,-110.0,-110.0,-106.0,-106.0,-248.0,210.0,-107.0,-107.0,-110.0,-110.0,-250.0,210.0,-110.0,-110.0,-115.0,-105.0,-250.0,210.0,-110.0,-110.0,-115.0,-105.0,-275.0,220.0,-105.0,-115.0
NBA,2025-12-05 01:38:43,2025-12-05 19:10,Orlando Magic,Miami Heat,Yes,203.7,Yes,-109.22,-110.56,-210.0,174.11,-111.22,-108.89,East,Southeast,East,Southeast,-110,-110,-194,162,-110,-110,-110.0,-110.0,-217.0,173.0,-110.0,-110.0,-110,-110,-205,170,-105,-115,-112,-114,-225,175,-113,-113,-110.0,-110.0,-210.0,180.0,-115.0,-105.0,-106.0,-106.0,-209.0,182.0,-113.0,-102.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-105.0,-115.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-210.0,170.0,-115.0,-105.0
NBA,2025-12-05 01:38:43,2025-12-05 19:40,Atlanta Hawks,Denver Nuggets,No,1212.6,Yes,-110.78,-108.89,205.56,-250.78,-110.22,-109.78,East,Southeast,West,Northwest,-114,-106,190,-230,-110,-110,-110.0,-110.0,205.0,-256.0,-110.0,-110.0,-112,-108,210,-258,-112,-108,-110,-115,195,-250,-113,-113,-110.0,-110.0,211.0,-255.0,-110.0,-110.0,-106.0,-106.0,214.0,-253.0,-107.0,-107.0,-110.0,-110.0,215.0,-255.0,-110.0,-110.0,-110.0,-110.0,210.0,-250.0,-110.0,-110.0,-115.0,-105.0,200.0,-250.0,-110.0,-110.0
NBA,2025-12-05 01:38:43,2025-12-05 19:40,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-110.11,-109.67,-346.56,273.56,-109.89,-110.11,East,Atlantic,East,Southeast,-110,-110,-320,260,-114,-106,-110.0,-110.0,-357.0,269.0,-110.0,-110.0,-108,-112,-355,280,-110,-110,-112,-114,-345,260,-113,-113,-110.0,-110.0,-345.0,278.0,-110.0,-110.0,-106.0,-106.0,-342.0,282.0,-107.0,-107.0,-110.0,-110.0,-345.0,278.0,-110.0,-110.0,-115.0,-105.0,-360.0,280.0,-110.0,-110.0,-110.0,-110.0,-350.0,275.0,-105.0,-115.0
NBA,2025-12-05 01:38:43,2025-12-05 19:40,Cleveland Cavaliers,San Antonio Spurs,No,1254.7,Yes,-109.67,-110.11,-197.44,165.78,-110.33,-109.67,East,Central,West,Southwest,-110,-110,-190,162,-112,-108,-110.0,-110.0,-204.0,163.0,-110.0,-110.0,-102,-118,-198,164,-112,-108,-109,-117,-200,160,-112,-114,-115.0,-105.0,-195.0,170.0,-110.0,-110.0,-111.0,-101.0,-195.0,171.0,-107.0,-107.0,-115.0,-105.0,-195.0,167.0,-110.0,-110.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0,-105.0,-115.0,-200.0,165.0,-110.0,-110.0
NBA,2025-12-05 01:38:43,2025-12-05 19:40,Detroit Pistons,Portland Trail Blazers,No,1968.3,Yes,-110.11,-109.44,-298.33,241.67,-108.89,-111.22,East,Central,West,Northwest,-108,-112,-295,240,-110,-110,-110.0,-110.0,-303.0,237.0,-110.0,-110.0,-112,-108,-305,245,-110,-110,-110,-114,-295,230,-113,-113,-115.0,-105.0,-300.0,245.0,-105.0,-115.0,-111.0,-101.0,-297.0,248.0,-102.0,-113.0,-105.0,-115.0,-300.0,250.0,-105.0,-115.0,-110.0,-110.0,-290.0,240.0,-115.0,-105.0,-110.0,-110.0,-300.0,240.0,-110.0,-110.0
NBA,2025-12-05 01:38:43,2025-12-05 19:40,New York Knicks,Utah Jazz,No,1973.2,Yes,-110.0,-109.67,-1171.33,717.11,-108.0,-111.89,East,Atlantic,West,Northwest,-106,-114,-1100,700,-106,-114,-110.0,-110.0,-1250.0,687.0,-110.0,-110.0,-110,-110,-1200,750,-110,-110,-113,-112,-1115,650,-114,-110,-115.0,-105.0,-1100.0,709.0,-105.0,-115.0,-111.0,-101.0,-1077.0,733.0,-102.0,-113.0,-110.0,-110.0,-1100.0,700.0,-105.0,-115.0,-105.0,-115.0,-1200.0,700.0,-110.0,-110.0,-110.0,-110.0,-1400.0,825.0,-110.0,-110.0
NBA,2025-12-05 01:38:43,2025-12-05 20:10,Chicago Bulls,Indiana Pacers,Yes,166.3,Yes,-108.56,-111.22,-201.22,168.33,-109.78,-110.22,East,Central,East,Central,-114,-106,-190,160,-114,-106,-110.0,-110.0,-204.0,165.0,-110.0,-110.0,-105,-115,-198,164,-115,-105,-112,-114,-215,170,-112,-113,-110.0,-110.0,-205.0,177.0,-105.0,-115.0,-106.0,-106.0,-204.0,179.0,-102.0,-113.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0,-105.0,-115.0,-200.0,170.0,-110.0,-110.0,-105.0,-115.0,-190.0,155.0,-110.0,-110.0
NBA,2025-12-05 01:38:43,2025-12-05 20:10,Houston Rockets,Phoenix Suns,No,1016.4,Yes,-109.22,-110.56,-546.56,404.67,-111.78,-108.33,West,Southwest,West,Pacific,-114,-106,-520,400,-110,-110,-110.0,-110.0,-556.0,397.0,-110.0,-110.0,-105,-115,-550,410,-115,-105,-113,-113,-560,390,-113,-113,-115.0,-105.0,-535.0,406.0,-115.0,-105.0,-111.0,-101.0,-528.0,414.0,-113.0,-102.0,-105.0,-115.0,-535.0,415.0,-110.0,-110.0,-105.0,-115.0,-585.0,410.0,-110.0,-110.0,-105.0,-115.0,-550.0,400.0,-110.0,-110.0
NBA,2025-12-05 01:38:43,2025-12-05 20:10,Memphis Grizzlies,Los Angeles Clippers,No,1610.3,Yes,-109.44,-110.22,106.44,-126.78,-110.78,-109.22,West,Southwest,West,Pacific,-114,-106,100,-118,-112,-108,-110.0,-110.0,104.0,-128.0,-110.0,-110.0,-105,-115,110,-130,-115,-105,-110,-115,102,-127,-113,-113,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-106.0,-106.0,112.0,-128.0,-107.0,-107.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0
NBA,2025-12-05 01:38:43,2025-12-05 20:10,Milwaukee Bucks,Philadelphia 76ers,No,695.4,Yes,-110.67,-109.11,105.44,-125.89,-107.67,-112.44,East,Central,East,Atlantic,-108,-112,102,-120,-110,-110,-110.0,-110.0,108.0,-132.0,-110.0,-110.0,-110,-110,105,-125,-108,-112,-112,-114,106,-132,-114,-112,-115.0,-105.0,108.0,-128.0,-105.0,-115.0,-111.0,-101.0,110.0,-126.0,-102.0,-113.0,-115.0,-105.0,105.0,-125.0,-110.0,-110.0,-105.0,-115.0,105.0,-125.0,-105.0,-115.0,-110.0,-110.0,100.0,-120.0,-105.0,-115.0
NBA,2025-12-05 01:38:43,2025-12-05 21:40,Oklahoma City Thunder,Dallas Mavericks,No,188.6,Yes,-111.56,-108.11,-1121.0,695.89,-111.0,-109.11,West,Northwest,West,Southwest,-110,-110,-1200,750,-110,-110,-110.0,-110.0,-1111.0,664.0,-110.0,-110.0,-118,-102,-1100,700,-108,-112,-115,-110,-1250,700,-113,-113,-110.0,-110.0,-1050.0,686.0,-115.0,-105.0,-106.0,-106.0,-1028.0,708.0,-113.0,-102.0,-110.0,-110.0,-1050.0,680.0,-110.0,-110.0,-110.0,-110.0,-1100.0,650.0,-110.0,-110.0,-115.0,-105.0,-1200.0,725.0,-110.0,-110.0
NBA,2025-12-05 01:38:43,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-111.33,-110.0,-214.33,175.33,-111.0,-111.0,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,-110,-110,-218,180,-110,-110,-110,-114,-215,170,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 01:38:43,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,114.0,-136.33,-111.33,-110.67,East,Atlantic,East,Atlantic,-110,-110,120,-142,-110,-110,,,,,,,-115,-105,110,-130,-110,-110,-113,-113,112,-137,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 01:38:43,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.33,-1133.33,700.0,-111.0,-111.0,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,,,,,,,-115,-105,-1200,750,-110,-110,-113,-113,-1000,600,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-05 01:38:43,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-111.0,-111.0,-169.33,139.67,-112.67,-109.33,West,Pacific,West,Southwest,-110,-110,-164,138,-110,-110,,,,,,,-110,-110,-162,136,-115,-105,-113,-113,-182,145,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
