League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-04 14:43:09,2026-04-04 15:10,53273367f28e360f2e7814dd06e29a24,Denver Nuggets,San Antonio Spurs,No,803.4,No,West,Northwest,West,Southwest,-109.33,-110.22,1.67,-1.67,107.89,-128.78,-109.89,-109.89,242.89,-108,-112,108,-126,-110,-110,-110.0,-110.0,106.0,-130.0,-110.0,-110.0,-108,-112,110,-130,-110,-110,-112.0,-112.0,105.0,-130.0,-112.0,-112.0,-106.0,-106.0,112.0,-128.0,-107.0,-107.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-105.0,-115.0,110.0,-135.0,-115.0,-105.0,-115.0,-105.0,105.0,-125.0,-105.0,-115.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2026-04-04 14:43:09,2026-04-04 15:10,b146607a8fe26fe467294dfdbaa0ff2b,Miami Heat,Washington Wizards,Yes,922.4,No,East,Southeast,East,Southeast,-108.0,-111.44,-18.22,18.22,-2483.67,1125.44,-109.89,-109.89,247.11,-112,-108,-2500,1200,-110,-110,-110.0,-110.0,-2500.0,1045.0,-110.0,-110.0,-105,-115,-2400,1200,-105,-115,-114.0,-109.0,-2500.0,1000.0,-112.0,-112.0,-101.0,-111.0,-2453.0,1203.0,-107.0,-107.0,-105.0,-115.0,-2500.0,1156.0,-110.0,-110.0,-105.0,-115.0,-3000.0,1200.0,-115.0,-105.0,-110.0,-110.0,-2000.0,950.0,-110.0,-110.0,-110.0,-110.0,-2500.0,1175.0,-110.0,-110.0
NBA,2026-04-04 14:43:09,2026-04-04 19:10,dc7b446ad8c325394b7d604d3e17ad7b,Philadelphia 76ers,Detroit Pistons,No,444.3,Yes,East,Atlantic,East,Central,-109.78,-109.78,2.89,-2.89,124.0,-146.67,-109.22,-110.56,226.06,-106,-114,126,-148,-114,-106,-110.0,-110.0,125.0,-154.0,-110.0,-110.0,-115,-105,124,-148,-105,-115,-112.0,-112.0,114.0,-141.0,-112.0,-112.0,-107.0,-105.0,127.0,-144.0,-107.0,-107.0,-111.0,-109.0,125.0,-145.0,-110.0,-110.0,-102.0,-118.0,125.0,-150.0,-105.0,-115.0,-115.0,-105.0,125.0,-145.0,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0
NBA,2026-04-04 14:43:09,2026-04-05 15:40,6f1339b3519de542ab74c59857bfeff1,Boston Celtics,Toronto Raptors,Yes,430.3,No,East,Atlantic,East,Atlantic,-108.5,-109.5,-10.5,10.5,-455.0,352.5,-109.75,-108.75,220.5,-110,-110,-500,385,-112,-108,,,,,,,-108,-112,-410,320,-110,-110,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 14:43:09,2026-04-05 15:40,8071f80d106d512c88016b240e766d84,Chicago Bulls,Phoenix Suns,No,1452.0,No,East,Central,West,Pacific,-111.75,-106.25,10.38,-10.38,387.5,-510.0,-110.25,-108.25,235.75,-106,-114,385,-500,-112,-108,,,,,,,-115,-105,390,-520,-112,-108,,,,,,,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 14:43:09,2026-04-05 19:10,8bce3373da945128589ce3cabae25443,Minnesota Timberwolves,Charlotte Hornets,No,939.7,Yes,West,Northwest,East,Southeast,-109.0,-109.0,-1.5,1.5,-120.5,1.5,-107.5,-111.0,227.5,-110,-110,-126,108,-108,-112,,,,,,,-110,-110,-115,-105,-105,-115,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 14:43:09,2026-04-05 19:10,9f54cd277a7d7a9fe0de35d568dfa4af,New Orleans Pelicans,Orlando Magic,No,534.1,Yes,West,Southwest,East,Southeast,-105.75,-112.25,3.5,-3.5,137.0,-162.0,-107.5,-111.0,235.25,-112,-108,134,-158,-108,-112,,,,,,,-105,-115,140,-166,-105,-115,,,,,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 14:43:09,2026-04-05 19:10,5441d9423f924c9a489ca00a7e321466,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,West,Northwest,West,Northwest,-106.5,-111.5,-21.0,21.0,-3500.0,1450.0,-109.75,-108.75,239.0,-110,-110,-3000,1300,-112,-108,,,,,,,-110,-110,-4000,1600,-110,-110,,,,,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 14:43:09,2026-04-05 19:40,c6dfafffbada89cc908addd3a1f7748b,Dallas Mavericks,Los Angeles Lakers,No,1240.8,Yes,West,Southwest,West,Pacific,-107.5,-112.5,6.0,-6.0,202.0,-246.5,-110.0,-110.0,234.5,-110,-110,194,-235,-110,-110,,,,,,,-105,-115,210,-258,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-04 14:43:09,2026-04-05 21:10,f01f7ab4597dc0c1a08e837d9b9beae9,Sacramento Kings,Los Angeles Clippers,Yes,365.7,Yes,West,Pacific,West,Pacific,-104.75,-113.25,11.5,-11.5,465.0,-625.0,-108.75,-109.75,230.25,-108,-112,490,-650,-110,-110,,,,,,,-105,-115,440,-600,-108,-112,,,,,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,,,,,,,,,,,,,
