League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-13 20:55:06,2025-11-13 19:13,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-123.17,-75.83,163.67,-214.17,-112.5,-119.83,East,Central,East,Atlantic,-122.0,-108.0,172.0,-225.0,-106.0,-125.0,-143.0,110.0,225.0,-286.0,-111.0,-125.0,-125.0,-105.0,120.0,-154.0,-110.0,-120.0,-115.0,-115.0,160.0,-210.0,-110.0,-115.0,-110.0,-120.0,175.0,-230.0,-120.0,-110.0,-124,-117,130,-180,-118,-124,,,,,,,,,,,,,,,,,,
NBA,2025-11-13 20:55:06,2025-11-13 21:10,Utah Jazz,Atlanta Hawks,No,1583.6,Yes,-110.0,-109.67,104.67,-125.0,-110.11,-109.89,West,Northwest,East,Southeast,-106.0,-114.0,108.0,-126.0,-114.0,-106.0,-110.0,-110.0,106.0,-130.0,-110.0,-110.0,-112.0,-108.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-105.0,-115.0,-110.0,-110.0,100.0,-120.0,-105.0,-115.0,-112,-113,107,-132,-114,-112,-108.0,-104.0,104.0,-120.0,-110.0,-104.0,-112.0,-108.0,102.0,-122.0,-113.0,-107.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2025-11-13 20:55:06,2025-11-13 21:10,Phoenix Suns,Indiana Pacers,No,1499.1,Yes,-85.0,-112.44,-170.0,143.22,-112.44,-85.44,West,Pacific,East,Central,-106.0,-114.0,-176.0,148.0,-114.0,-106.0,-110.0,-110.0,-177.0,143.0,-110.0,-110.0,-112.0,-108.0,-170.0,142.0,-110.0,-110.0,-110.0,-110.0,-170.0,140.0,-110.0,-110.0,-110.0,-110.0,-165.0,140.0,-110.0,-110.0,-110,-115,-167,135,-114,-112,101.0,-113.0,-170.0,150.0,-116.0,101.0,-103.0,-117.0,-170.0,149.0,-118.0,-102.0,-105.0,-115.0,-165.0,142.0,-110.0,-110.0
NBA,2025-11-13 20:55:06,2025-11-14 19:10,Orlando Magic,Brooklyn Nets,No,936.6,Yes,-108.0,-111.71,-907.8,592.2,-110.0,-110.0,East,Southeast,East,Atlantic,-105.0,-115.0,-820.0,570.0,-110.0,-110.0,-110.0,-110.0,-909.0,566.0,-110.0,-110.0,-110.0,-110.0,-900.0,600.0,-110.0,-110.0,-102.0,-118.0,-1000.0,650.0,-110.0,-110.0,,,,,,,-113,-113,-910,575,-113,-113,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-13 20:55:06,2025-11-14 19:10,New York Knicks,Miami Heat,No,1091.4,Yes,-109.0,-110.57,-187.8,154.2,-109.43,-110.57,East,Atlantic,East,Southeast,-110.0,-110.0,-184.0,154.0,-105.0,-115.0,-110.0,-110.0,-175.0,143.0,-110.0,-110.0,-105.0,-115.0,-198.0,164.0,-110.0,-110.0,-110.0,-110.0,-200.0,165.0,-110.0,-110.0,,,,,,,-112,-113,-182,145,-114,-112,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-13 20:55:06,2025-11-14 19:40,Detroit Pistons,Philadelphia 76ers,No,444.3,Yes,-108.57,-111.14,-231.4,187.2,-109.86,-110.0,East,Central,East,Atlantic,-110.0,-110.0,-220.0,184.0,-110.0,-110.0,-110.0,-110.0,-227.0,182.0,-110.0,-110.0,-110.0,-110.0,-245.0,200.0,-110.0,-110.0,-110.0,-110.0,-225.0,185.0,-110.0,-110.0,,,,,,,-114,-112,-240,185,-112,-113,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-13 20:55:06,2025-11-14 20:10,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-108.86,-110.71,-452.0,340.8,-109.29,-110.71,East,Central,East,Southeast,-114.0,-106.0,-460.0,360.0,-110.0,-110.0,-110.0,-110.0,-435.0,324.0,-110.0,-110.0,-110.0,-110.0,-410.0,320.0,-110.0,-110.0,-102.0,-118.0,-475.0,360.0,-105.0,-115.0,,,,,,,-110,-115,-480,340,-113,-113,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-13 20:55:06,2025-11-14 20:10,Houston Rockets,Portland Trail Blazers,No,1836.0,Yes,-110.86,-108.86,-342.0,266.6,-108.71,-111.29,West,Southwest,West,Northwest,-112.0,-108.0,-330.0,265.0,-112.0,-108.0,-110.0,-110.0,-345.0,263.0,-110.0,-110.0,-115.0,-105.0,-340.0,270.0,-110.0,-110.0,-110.0,-110.0,-350.0,275.0,-105.0,-115.0,,,,,,,-113,-113,-345,260,-115,-110,-106.0,-106.0,,,-103.0,-112.0,-110.0,-110.0,,,-106.0,-114.0,,,,,,
NBA,2025-11-13 20:55:06,2025-11-14 20:10,New Orleans Pelicans,Los Angeles Lakers,No,1673.5,Yes,-108.57,-111.0,345.4,-458.2,-111.43,-108.57,West,Southwest,West,Pacific,-112.0,-108.0,320.0,-405.0,-110.0,-110.0,-110.0,-110.0,347.0,-476.0,-110.0,-110.0,-110.0,-110.0,350.0,-455.0,-115.0,-105.0,-110.0,-110.0,360.0,-475.0,-115.0,-105.0,,,,,,,-112,-113,350,-480,-113,-113,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-13 20:55:06,2025-11-14 20:10,Minnesota Timberwolves,Sacramento Kings,No,1514.6,Yes,-111.14,-108.57,-632.0,449.6,-110.14,-109.86,West,Northwest,West,Pacific,-114.0,-106.0,-590.0,440.0,-110.0,-110.0,-110.0,-110.0,-625.0,428.0,-110.0,-110.0,-115.0,-105.0,-625.0,455.0,-110.0,-110.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0,,,,,,,-113,-113,-670,450,-114,-112,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
