League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-13 21:09:46,2026-01-13 19:42,Miami Heat,Phoenix Suns,No,1981.5,Yes,-124.8,-25.4,-542.0,354.0,-121.5,-108.75,East,Southeast,West,Pacific,-136,102,-530,360,-130,-102,-118.0,-105.0,-1000.0,575.0,-111.0,-118.0,-135,105,-410,290,-120,-110,-120.0,-114.0,-420.0,285.0,,,-115.0,-115.0,-350.0,260.0,-125.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-13 21:09:46,2026-01-13 20:11,Houston Rockets,Chicago Bulls,No,940.2,Yes,-112.6,-116.0,-293.0,214.6,-61.75,-116.75,West,Southwest,East,Central,-114,-114,-290,215,102,-136,-105.0,-118.0,-400.0,270.0,-111.0,-111.0,-120,-110,-250,190,-120,-110,-114.0,-120.0,-250.0,188.0,,,-110.0,-118.0,-275.0,210.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-13 21:09:46,2026-01-13 20:11,New Orleans Pelicans,Denver Nuggets,No,1081.8,Yes,-116.0,-112.8,-152.8,119.4,-117.75,-109.5,West,Southwest,West,Northwest,-118,-112,-158,124,-130,-102,-111.0,-111.0,-143.0,115.0,-111.0,-111.0,-120,-110,-154,120,-115,-115,-113.0,-121.0,-159.0,123.0,,,-118.0,-110.0,-150.0,115.0,-115.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-13 21:09:46,2026-01-13 20:13,Milwaukee Bucks,Minnesota Timberwolves,No,298.5,Yes,-113.8,-116.6,2933.33,-15000.0,-58.5,-121.75,East,Central,West,Northwest,-118,-112,3000,-20000,102,-136,-118.0,-111.0,,,-111.0,-118.0,-115,-115,2500,-15000,-115,-115,-113.0,-120.0,,,,,-105.0,-125.0,3300.0,-10000.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-13 21:09:46,2026-01-13 20:13,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,-71.8,-117.2,-281.2,210.0,-66.25,-63.25,West,Northwest,West,Southwest,-125,-106,-310,230,-132,100,-111.0,-111.0,-286.0,215.0,105.0,-133.0,100,-130,-270,200,-120,-110,-113.0,-121.0,-305.0,220.0,,,-110.0,-118.0,-235.0,185.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-13 21:09:46,2026-01-13 22:40,Los Angeles Lakers,Atlanta Hawks,No,1937.7,Yes,-111.33,-108.22,111.22,-132.67,-111.0,-108.25,West,Pacific,East,Southeast,-112,-108,104,-122,-110,-110,-110.0,-110.0,120.0,-148.0,-110.0,-110.0,-115,-105,110,-130,-105,-115,-114.0,-110.0,110.0,-136.0,,,-115.0,-105.0,110.0,-135.0,-115.0,-105.0,-110.0,-110.0,110.0,-130.0,-113.0,-107.0,-106.0,-106.0,112.0,-128.0,-110.0,-104.0,-115.0,-105.0,115.0,-135.0,-110.0,-110.0,-105.0,-115.0,110.0,-130.0,-115.0,-105.0
NBA,2026-01-13 21:09:46,2026-01-13 23:10,Golden State Warriors,Portland Trail Blazers,No,536.0,Yes,-113.11,-106.56,-458.89,347.22,-109.12,-110.12,West,Pacific,West,Northwest,-112,-108,-460,360,-106,-114,-110.0,-110.0,-476.0,341.0,-110.0,-110.0,-115,-105,-470,360,-105,-115,-115.0,-110.0,-455.0,325.0,,,-115.0,-105.0,-475.0,350.0,-110.0,-110.0,-115.0,-105.0,-450.0,350.0,-110.0,-110.0,-111.0,-101.0,-444.0,356.0,-107.0,-107.0,-115.0,-105.0,-430.0,338.0,-110.0,-110.0,-110.0,-110.0,-470.0,345.0,-115.0,-105.0
NBA,2026-01-13 21:09:46,2026-01-14 19:10,Philadelphia 76ers,Cleveland Cavaliers,No,359.4,Yes,-108.5,-109.5,-119.0,100.0,-112.0,-106.75,East,Atlantic,East,Central,-108,-112,-118,100,-110,-110,,,,,,,-110,-110,-120,100,-110,-110,,,,,,,,,,,,,-110.0,-110.0,,,-115.0,-105.0,-106.0,-106.0,,,-113.0,-102.0,,,,,,,,,,,,
NBA,2026-01-13 21:09:46,2026-01-14 19:10,Indiana Pacers,Toronto Raptors,No,440.8,Yes,-109.8,-108.6,113.33,-135.67,-109.8,-109.0,East,Central,East,Atlantic,-108,-112,120,-142,-112,-108,,,,,,,-115,-105,110,-130,-110,-110,,,,,,,-110.0,-110.0,110.0,-135.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,,,,,,,
NBA,2026-01-13 21:09:46,2026-01-14 22:10,Sacramento Kings,New York Knicks,No,2506.3,Yes,-108.2,-110.2,391.67,-523.33,-108.4,-110.4,West,Pacific,East,Atlantic,-110,-110,410,-550,-110,-110,,,,,,,-105,-115,390,-520,-110,-110,,,,,,,-110.0,-110.0,375.0,-500.0,-105.0,-115.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,,,,,,,
