League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-07 19:00:28,2026-05-07 19:10,862af0717b53a01b5e93a188a655d663,Detroit Pistons,Cleveland Cavaliers,Yes,91.4,Yes,East,Central,East,Central,-110.0,-108.56,-3.72,3.72,-164.67,138.89,-110.22,-109.44,215.0,-114,-106,-166,140,-112,-108,-115,-105,-162,136,-115,-105,-114,-109,-165,132,-110,-113,-105,-107,-165,146,-106,-108,-107,-113,-165,145,-109,-111,-110,-102,-170,140,-110,-110,-110,-110,-164,133,-110,-110,-105,-115,-165,140,-110,-110,-110.0,-110.0,-160.0,138.0,-110.0,-110.0
NBA,2026-05-07 19:00:28,2026-05-07 21:40,a306b74e13d87d2f8d64b1e01c2cf958,Oklahoma City Thunder,Los Angeles Lakers,No,1182.5,Yes,West,Northwest,West,Pacific,-109.78,-109.67,-15.28,15.28,-946.56,604.44,-109.11,-110.44,211.33,-106,-114,-950,640,-106,-114,-112,-108,-900,600,-108,-112,-113,-110,-1250,650,-110,-112,-109,-103,-810,590,-105,-109,-113,-107,-825,574,-108,-112,-110,-110,-1000,625,-115,-105,-110,-110,-1009,596,-110,-110,-105,-115,-950,600,-110,-110,-110.0,-110.0,-825.0,565.0,-110.0,-110.0
NBA,2026-05-07 19:00:28,2026-05-08 19:10,30d614c5d781b768faf9cf885e890851,Philadelphia 76ers,New York Knicks,Yes,85.5,Yes,East,Atlantic,East,Atlantic,-110.0,-109.38,-1.44,1.44,-119.12,49.38,-109.88,-109.75,214.12,-112,-108,-118,100,-114,-106,-112,-108,-118,-102,-110,-110,-110,-113,-122,100,-113,-110,-106,-106,-118,102,-107,-107,-110,-110,-120,100,-110,-110,-110,-110,-120,100,-105,-115,-110,-110,-122,100,-110,-110,-110,-110,-115,-105,-110,-110,,,,,,
NBA,2026-05-07 19:00:28,2026-05-08 21:40,1b5c084f510006e8f30cd6cac40e231d,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,West,Northwest,West,Southwest,-112.0,-107.38,4.25,-4.25,162.75,-194.75,-110.5,-109.25,216.44,-114,-106,164,-196,-110,-110,-115,-105,164,-198,-115,-105,-108,-115,150,-190,-112,-112,-106,-106,168,-192,-107,-107,-110,-110,167,-192,-110,-110,-118,-102,165,-200,-110,-110,-110,-110,154,-190,-110,-110,-115,-105,170,-200,-110,-110,,,,,,
