League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2025-12-10 13:36:55,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-110.0,-109.75,-1024.5,659.12,-108.75,-111.25,West,Northwest,West,Pacific,-112,-108,-1200,750,-106,-114,-110,-110,-1000,650,-105,-115,-112.0,-114.0,-1115.0,650.0,-112.0,-114.0,-110.0,-110.0,-1000.0,650.0,-110.0,-110.0,-106.0,-106.0,-931.0,657.0,-107.0,-107.0,-110.0,-110.0,-950.0,637.0,-110.0,-110.0,-110.0,-110.0,-1000.0,650.0,-110.0,-110.0,-110.0,-110.0,-1000.0,629.0,-110.0,-110.0
NBA,2025-12-10 13:36:55,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-109.62,-110.12,-281.5,228.0,-110.0,-110.0,West,Pacific,West,Southwest,-114,-106,-270,220,-108,-112,-105,-115,-278,225,-112,-108,-112.0,-114.0,-295.0,230.0,-113.0,-113.0,-105.0,-115.0,-285.0,225.0,-110.0,-110.0,-106.0,-106.0,-272.0,229.0,-107.0,-107.0,-115.0,-105.0,-275.0,226.0,-110.0,-110.0,-110.0,-110.0,-280.0,235.0,-110.0,-110.0,-110.0,-110.0,-297.0,234.0,-110.0,-110.0
NBA,2025-12-10 13:36:55,2025-12-11 20:10,Milwaukee Bucks,Boston Celtics,No,857.9,Yes,-109.5,-110.17,272.83,-343.5,-108.5,-111.5,East,Central,East,Atlantic,-106,-114,265,-330,-110,-110,-118,-102,275,-345,-105,-115,-112.0,-114.0,265.0,-360.0,-114.0,-112.0,-115.0,-105.0,280.0,-350.0,-105.0,-115.0,-101.0,-111.0,278.0,-336.0,-107.0,-107.0,-105.0,-115.0,274.0,-340.0,-110.0,-110.0,,,,,,,,,,,,
NBA,2025-12-10 13:36:55,2025-12-11 20:10,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,-110.0,-109.67,-398.33,311.83,-110.17,-109.83,West,Southwest,West,Pacific,-110,-110,-360,290,-110,-110,-112,-108,-395,310,-115,-105,-112.0,-114.0,-400.0,295.0,-114.0,-112.0,-110.0,-110.0,-400.0,310.0,-105.0,-115.0,-106.0,-106.0,-415.0,336.0,-107.0,-107.0,-110.0,-110.0,-420.0,330.0,-110.0,-110.0,,,,,,,,,,,,
NBA,2025-12-10 13:36:55,2025-12-11 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-107.0,-112.67,180.67,-218.67,-109.17,-110.83,West,Southwest,West,Northwest,-112,-108,180,-215,-114,-106,-105,-115,180,-218,-105,-115,-114.0,-112.0,170.0,-220.0,-114.0,-112.0,-105.0,-115.0,180.0,-220.0,-105.0,-115.0,-101.0,-111.0,188.0,-219.0,-107.0,-107.0,-105.0,-115.0,186.0,-220.0,-110.0,-110.0,,,,,,,,,,,,
NBA,2025-12-10 13:36:55,2025-12-11 22:10,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-112.17,-74.17,301.0,-382.67,-112.0,-107.83,West,Pacific,West,Northwest,-110,-110,310,-390,-110,-110,-120,100,295,-375,-105,-115,-109.0,-117.0,280.0,-375.0,-114.0,-110.0,-118.0,-102.0,310.0,-400.0,-115.0,-105.0,-106.0,-106.0,308.0,-376.0,-113.0,-102.0,-110.0,-110.0,303.0,-380.0,-115.0,-105.0,,,,,,,,,,,,
NBA,2025-12-10 13:36:55,2025-12-13 17:30,Orlando Magic,New York Knicks,No,940.3,No,-111.5,-108.5,148.5,-177.5,-112.0,-108.0,East,Southeast,East,Atlantic,-108,-112,152,-180,-114,-106,-115,-105,145,-175,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
