League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2026-02-01 05:21:35,2026-02-01 15:40,5c0746ce9061a650f053a42e255e9c56,Boston Celtics,Milwaukee Bucks,No,857.9,No,East,Atlantic,East,Central,-111.11,-108.67,-13.44,13.44,-787.33,538.67,-110.56,-109.44,217.28,-110,-110,-720,520,-112,-108,-110,-110,-769,517,-110,-110,-110,-110,-800,550,-108,-112,-111,-101,-737,547,-107,-107,-115,-105,-750,534,-110,-110,-110,-110,-800,550,-110,-110,-115.0,-105.0,-750.0,530.0,-110.0,-110.0,-110,-110,-850,550,-115,-105,-109,-117,-910,550,-113,-113
NBA,2026-02-01 05:21:35,2026-02-01 18:10,d2cc88f351d8b29d40d8a8cfbe724ad1,Detroit Pistons,Brooklyn Nets,No,484.4,No,East,Central,East,Atlantic,-111.22,-108.11,-12.94,12.94,-776.67,530.33,-112.44,-107.56,215.06,-110,-110,-750,530,-114,-106,-110,-110,-833,527,-110,-110,-115,-105,-800,550,-115,-105,-106,-106,-737,547,-113,-102,-110,-110,-750,534,-115,-105,-115,-102,-800,550,-110,-110,-110.0,-110.0,-750.0,530.0,-115.0,-105.0,-110,-110,-800,525,-110,-110,-115,-110,-770,480,-110,-115
NBA,2026-02-01 05:21:35,2026-02-01 18:10,dbc4aeceedac7c3d49e0d34601e550c4,Miami Heat,Chicago Bulls,No,1189.0,No,East,Southeast,East,Central,-108.25,-111.38,-4.0,4.0,-167.0,140.25,-110.38,-109.75,236.0,-108,-112,-162,136,-110,-110,-110,-110,-167,135,-110,-110,-105,-115,-170,142,-108,-112,-106,-106,-170,150,-113,-102,-110,-110,-170,149,-115,-105,-102,-118,-165,135,-105,-115,,,,,,,-110,-110,-170,145,-110,-110,-115,-110,-162,130,-112,-114
NBA,2026-02-01 05:21:35,2026-02-01 18:10,0210ab755a18ffa716e3e74460b0600d,Washington Wizards,Sacramento Kings,No,2378.6,No,East,Southeast,West,Pacific,-109.78,-110.0,2.5,-2.5,115.56,-137.33,-110.22,-109.78,229.17,-110,-110,120,-142,-108,-112,-110,-110,110,-135,-110,-110,-110,-110,114,-135,-115,-105,-106,-106,117,-133,-107,-107,-110,-110,115,-135,-110,-110,-110,-110,115,-140,-110,-110,-110.0,-110.0,115.0,-135.0,-110.0,-110.0,-110,-110,120,-140,-110,-110,-112,-114,114,-141,-112,-114
NBA,2026-02-01 05:21:35,2026-02-01 18:10,007cc4ad87ae4f21fa2e95d659fa0832,Toronto Raptors,Utah Jazz,No,1669.8,No,East,Atlantic,West,Northwest,-111.11,-108.67,-11.33,11.33,-564.38,411.5,-109.67,-110.11,233.67,-110,-110,-520,400,-110,-110,-110,-110,-588,409,-110,-110,-105,-115,-550,410,-110,-110,-111,-101,-542,423,-107,-107,-115,-105,-550,415,-110,-110,-110,-110,-600,425,-110,-110,-115.0,-105.0,,,-110.0,-110.0,-110,-110,-575,400,-110,-110,-114,-112,-590,410,-110,-114
NBA,2026-02-01 05:21:35,2026-02-01 19:10,738c1334fcfb5a8dfb1149f4cdc3ffa4,New York Knicks,Los Angeles Lakers,No,2452.9,Yes,East,Atlantic,West,Pacific,-111.44,-108.33,-4.83,4.83,-194.56,162.67,-109.56,-110.44,229.22,-110,-110,-198,166,-110,-110,-110,-110,-196,159,-110,-110,-115,-105,-192,160,-110,-110,-106,-106,-190,166,-107,-107,-110,-110,-190,165,-110,-110,-118,-102,-200,165,-105,-115,-110.0,-110.0,-190.0,163.0,-110.0,-110.0,-110,-110,-200,170,-110,-110,-114,-112,-195,150,-114,-112
NBA,2026-02-01 05:21:35,2026-02-01 19:10,642a194513f0ec5b24011af9806a397c,San Antonio Spurs,Orlando Magic,No,1033.6,Yes,West,Southwest,East,Southeast,-110.22,-109.56,-5.78,5.78,-220.89,182.11,-108.44,-111.67,225.17,-114,-106,-210,176,-110,-110,-110,-110,-219,174,-110,-110,-118,-102,-225,185,-110,-110,-101,-111,-219,188,-102,-113,-105,-115,-220,186,-105,-115,-115,-105,-220,180,-110,-110,-105.0,-115.0,-220.0,185.0,-105.0,-115.0,-110,-110,-220,180,-110,-110,-114,-112,-235,185,-114,-112
NBA,2026-02-01 05:21:35,2026-02-01 20:10,234f77cf5691a918e9951eccf534878a,Phoenix Suns,Los Angeles Clippers,Yes,362.6,Yes,West,Pacific,West,Pacific,-108.11,-111.56,1.28,-1.28,75.75,-120.75,-110.44,-109.56,214.11,-110,-110,100,-118,-110,-110,-110,-110,-103,-118,-110,-110,-112,-108,100,-120,-115,-105,-101,-111,102,-118,-107,-107,-105,-115,100,-120,-110,-110,-110,-110,105,-125,-110,-110,-105.0,-115.0,,,-110.0,-110.0,-110,-110,100,-120,-110,-110,-110,-115,102,-127,-112,-114
NBA,2026-02-01 05:21:35,2026-02-01 21:10,b4985acd1a9b9f1b6530bed611bfce81,Portland Trail Blazers,Cleveland Cavaliers,No,2055.0,Yes,West,Northwest,East,Central,-109.78,-110.0,2.67,-2.67,124.89,-147.44,-110.33,-109.67,230.11,-110,-110,124,-144,-112,-108,-110,-110,121,-149,-110,-110,-110,-110,124,-148,-110,-110,-106,-106,127,-144,-107,-107,-110,-110,125,-145,-110,-110,-110,-110,125,-150,-110,-110,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-110,-110,130,-150,-110,-110,-112,-114,123,-152,-114,-112
NBA,2026-02-01 05:21:35,2026-02-01 21:40,1c9f0b84a617632c33b94135b8101897,Denver Nuggets,Oklahoma City Thunder,Yes,506.0,Yes,West,Northwest,West,Northwest,-108.0,-111.56,4.72,-4.72,162.89,-194.11,-108.33,-111.78,227.5,-106,-114,166,-198,-106,-114,-110,-110,147,-182,-110,-110,-108,-112,160,-192,-110,-110,-106,-106,171,-195,-102,-113,-110,-110,170,-195,-105,-115,-102,-118,165,-200,-115,-105,-110.0,-110.0,167.0,-195.0,-105.0,-115.0,-105,-115,165,-195,-110,-110,-115,-109,155,-195,-112,-114
