League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-20 19:12:47,2026-05-20 20:40,51176769d0f89d3e39adc8e90922f84d,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,West,Northwest,West,Southwest,-111.78,-107.67,-7.5,7.5,-266.11,216.89,-110.33,-109.44,216.5,-109,-114,-265,205,-112,-112,-112,-108,-260,215,-110,-110,-115,-105,-270,220,-112,-108,-110,-102,-260,220,-108,-106,-110,-110,-275,220,-110,-110,-115,-105,-265,219,-111,-109,-115,-105,-260,215,-110,-110,-110,-110,-280,220,-110,-110,-110.0,-110.0,-260.0,218.0,-110.0,-110.0
NBA,2026-05-20 19:12:47,2026-05-21 20:10,dc45982e3723fb38d8477a1a75395594,New York Knicks,Cleveland Cavaliers,No,404.7,Yes,East,Atlantic,East,Central,-105.88,-113.5,-6.44,6.44,-233.25,191.12,-109.25,-110.25,215.88,-110,-113,-230,180,-110,-112,-106,-114,-225,188,-112,-108,-105,-115,-218,180,-108,-112,-101,-111,-238,202,-108,-106,-105,-115,-235,190,-105,-115,-105,-115,-240,200,-111,-109,-105,-115,-240,200,-110,-110,-110,-110,-240,189,-110,-110,,,,,,
