League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-04 22:46:08,2025-11-04 20:12,Atlanta Hawks,Orlando Magic,Yes,401.3,Yes,-82.5,-85.33,-10000.0,3300.0,-110.67,-121.67,East,Southeast,East,Southeast,108.0,-144.0,,,-106.0,-125.0,-145.0,114.0,,,-115.0,-115.0,-105.0,-125.0,-10000.0,3300.0,,,-133.0,-105.0,,,-111.0,-125.0,-105.0,-125.0,,,,,-115.0,-127.0,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-04 22:46:08,2025-11-04 22:11,Golden State Warriors,Phoenix Suns,Yes,652.3,Yes,-120.33,-79.17,-4258.33,1010.0,-115.67,-114.5,West,Pacific,West,Pacific,-146.0,110.0,-3500.0,1060.0,-118.0,-112.0,-115.0,-115.0,-2500.0,1100.0,-120.0,-110.0,-115.0,-115.0,-5000.0,1150.0,-110.0,-118.0,-111.0,-118.0,-1250.0,650.0,-111.0,-111.0,-115.0,-115.0,-3300.0,950.0,-115.0,-115.0,-120.0,-122.0,-10000.0,1150.0,-120.0,-121.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-04 22:46:08,2025-11-04 23:10,Los Angeles Clippers,Oklahoma City Thunder,No,1188.0,Yes,-111.56,-108.22,260.33,-324.56,-109.11,-110.89,West,Pacific,West,Northwest,-114.0,-106.0,260.0,-320.0,-114.0,-106.0,-115.0,-105.0,260.0,-325.0,-108.0,-112.0,-115.0,-105.0,260.0,-325.0,-105.0,-115.0,-110.0,-110.0,248.0,-319.0,-110.0,-110.0,-110.0,-110.0,260.0,-320.0,-110.0,-110.0,-114.0,-112.0,255.0,-335.0,-113.0,-112.0,-110.0,-110.0,263.0,-325.0,-105.0,-115.0,-106.0,-106.0,267.0,-322.0,-102.0,-113.0,-110.0,-110.0,270.0,-330.0,-115.0,-105.0
NBA,2025-11-04 22:46:08,2025-11-05 19:00,Indiana Pacers,Brooklyn Nets,No,646.8,Yes,-109.56,-110.11,-276.71,222.29,-110.11,-109.67,East,Central,East,Atlantic,-110.0,-110.0,-290.0,235.0,-110.0,-110.0,-110.0,-110.0,-298.0,240.0,-110.0,-110.0,-110.0,-110.0,-275.0,220.0,-110.0,-110.0,-110.0,-110.0,-278.0,216.0,-110.0,-110.0,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,-110.0,-115.0,-286.0,220.0,-114.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,-250.0,210.0,-110.0,-110.0
NBA,2025-11-04 22:46:08,2025-11-05 19:00,Detroit Pistons,Utah Jazz,No,1492.1,Yes,-109.56,-110.22,-536.57,395.57,-109.44,-110.56,East,Central,West,Northwest,-106.0,-114.0,-560.0,420.0,-110.0,-110.0,-110.0,-110.0,-535.0,400.0,-110.0,-110.0,-110.0,-110.0,-550.0,400.0,-105.0,-115.0,-110.0,-110.0,-526.0,384.0,-110.0,-110.0,-110.0,-110.0,-525.0,375.0,-110.0,-110.0,-114.0,-112.0,-560.0,400.0,-113.0,-113.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,-500.0,390.0,-110.0,-110.0
NBA,2025-11-04 22:46:08,2025-11-05 19:10,Cleveland Cavaliers,Philadelphia 76ers,No,359.4,Yes,-109.75,-110.0,-414.17,316.5,-110.0,-110.0,East,Central,East,Atlantic,-110.0,-110.0,-375.0,300.0,-110.0,-110.0,-110.0,-110.0,-410.0,320.0,-110.0,-110.0,-110.0,-110.0,-450.0,333.0,-110.0,-110.0,-110.0,-110.0,-400.0,296.0,-110.0,-110.0,,,,,,,-112.0,-114.0,-435.0,320.0,-113.0,-113.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,-415.0,330.0,-110.0,-110.0
NBA,2025-11-04 22:46:08,2025-11-05 19:30,Boston Celtics,Washington Wizards,No,394.0,Yes,-110.0,-109.78,-600.71,432.14,-109.89,-110.11,East,Atlantic,East,Southeast,-112.0,-108.0,-590.0,440.0,-110.0,-110.0,-110.0,-110.0,-600.0,440.0,-108.0,-112.0,-110.0,-110.0,-625.0,450.0,-110.0,-110.0,-110.0,-110.0,-625.0,430.0,-110.0,-110.0,-110.0,-110.0,-650.0,450.0,-110.0,-110.0,-112.0,-114.0,-530.0,370.0,-114.0,-112.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,-585.0,445.0,-110.0,-110.0
NBA,2025-11-04 22:46:08,2025-11-05 19:30,New York Knicks,Minnesota Timberwolves,No,1018.9,Yes,-111.33,-108.44,-222.14,182.43,-110.0,-110.0,East,Atlantic,West,Northwest,-114.0,-106.0,-225.0,188.0,-110.0,-110.0,-110.0,-110.0,-238.0,195.0,-110.0,-110.0,-110.0,-110.0,-225.0,185.0,-110.0,-110.0,-110.0,-110.0,-222.0,179.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-112.0,-114.0,-215.0,170.0,-113.0,-113.0,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0
NBA,2025-11-04 22:46:08,2025-11-05 20:00,Memphis Grizzlies,Houston Rockets,Yes,483.7,Yes,-111.11,-108.67,232.57,-289.57,-109.89,-110.11,West,Southwest,West,Southwest,-110.0,-110.0,245.0,-300.0,-110.0,-110.0,-110.0,-110.0,235.0,-290.0,-110.0,-110.0,-115.0,-105.0,230.0,-295.0,-110.0,-110.0,-110.0,-110.0,228.0,-294.0,-110.0,-110.0,-115.0,-105.0,240.0,-290.0,-110.0,-110.0,-114.0,-112.0,215.0,-278.0,-112.0,-114.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,235.0,-280.0,-110.0,-110.0
NBA,2025-11-04 22:46:08,2025-11-05 20:40,Dallas Mavericks,New Orleans Pelicans,Yes,443.2,Yes,-110.0,-110.0,-262.5,210.5,-110.0,-110.0,West,Southwest,West,Southwest,-110.0,-110.0,-255.0,210.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,-270.0,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
