League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-02-19 13:52:14,2026-02-19 19:00,c93f72cb146ef69c7bd4a79f03481123,Washington Wizards,Indiana Pacers,No,492.8,Yes,East,Southeast,East,Central,-111.33,-108.11,2.22,-2.22,111.44,-132.56,-110.0,-109.67,232.56,-112,-108,108,-126,-110,-110,-114,-109,112,-139,-113,-110,-115,-105,110,-130,-110,-110,-115.0,-105.0,110.0,-135.0,-110.0,-110.0,-110.0,-110.0,106.0,-130.0,-110.0,-110.0,-106.0,-106.0,117.0,-133.0,-107.0,-107.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
NBA,2026-02-19 13:52:14,2026-02-19 19:10,d647541d42648749f3bde601547fa1be,Philadelphia 76ers,Atlanta Hawks,No,663.4,Yes,East,Atlantic,East,Southeast,-84.0,-113.33,-1.17,1.17,-115.11,-104.56,-109.11,-110.56,237.94,-106,-114,-112,-104,-110,-110,-112,-112,-117,-106,-110,-113,-102,-118,-115,-105,-105,-115,100.0,-120.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-119.0,-103.0,-110.0,-110.0,-101.0,-111.0,-113.0,-103.0,-107.0,-107.0,-105.0,-115.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0
NBA,2026-02-19 13:52:14,2026-02-19 19:10,24a92d49df82923f29b3e9cda4d57446,Cleveland Cavaliers,Brooklyn Nets,No,406.4,Yes,East,Central,East,Atlantic,-109.89,-109.56,-16.56,16.56,-1183.44,730.33,-110.22,-109.44,229.56,-112,-108,-1200,750,-112,-108,-114,-109,-1115,650,-113,-110,-112,-108,-1100,700,-110,-110,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0,-110.0,-110.0,-1262.0,738.0,-110.0,-110.0,-106.0,-106.0,-1174.0,781.0,-107.0,-107.0,-110.0,-110.0,-1200.0,754.0,-110.0,-110.0,-105.0,-115.0,-1200.0,700.0,-110.0,-110.0,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0
NBA,2026-02-19 13:52:14,2026-02-19 19:10,97031eee2ea39d890bf5046a1c57c7a7,Charlotte Hornets,Houston Rockets,No,927.0,Yes,East,Southeast,West,Southwest,-109.67,-109.78,4.5,-4.5,157.44,-187.78,-107.44,-112.33,218.83,-114,-106,156,-186,-110,-110,-113,-110,160,-200,-110,-113,-110,-110,160,-192,-110,-110,-110.0,-110.0,154.0,-190.0,-110.0,-110.0,-110.0,-110.0,147.0,-182.0,-110.0,-110.0,-103.0,-109.0,166.0,-190.0,-102.0,-113.0,-107.0,-113.0,165.0,-190.0,-105.0,-115.0,-110.0,-110.0,150.0,-175.0,-105.0,-115.0,-110.0,-110.0,159.0,-185.0,-105.0,-115.0
NBA,2026-02-19 13:52:14,2026-02-19 19:40,0ea61c4bb159036d242d6aa077216586,New York Knicks,Detroit Pistons,No,482.2,Yes,East,Atlantic,East,Central,-110.44,-109.0,-3.67,3.67,-162.67,137.22,-109.89,-109.67,220.56,-110,-110,-166,140,-110,-110,-113,-110,-180,143,-110,-112,-115,-105,-166,140,-112,-108,-115.0,-105.0,-160.0,135.0,-110.0,-110.0,-110.0,-110.0,-159.0,129.0,-110.0,-110.0,-106.0,-106.0,-156.0,137.0,-107.0,-107.0,-110.0,-110.0,-156.0,136.0,-110.0,-110.0,-105.0,-115.0,-165.0,140.0,-110.0,-110.0,-110.0,-110.0,-156.0,135.0,-110.0,-110.0
NBA,2026-02-19 13:52:14,2026-02-19 20:10,537f72a12ccf54596ce42c638bacb485,Chicago Bulls,Toronto Raptors,No,438.9,Yes,East,Central,East,Atlantic,-110.11,-109.33,6.11,-6.11,192.0,-233.56,-110.67,-109.0,231.83,-112,-108,190,-230,-108,-112,-110,-113,190,-245,-110,-113,-115,-105,195,-238,-115,-105,-118.0,-102.0,195.0,-235.0,-110.0,-110.0,-110.0,-110.0,180.0,-227.0,-110.0,-110.0,-101.0,-111.0,198.0,-232.0,-110.0,-104.0,-105.0,-115.0,195.0,-235.0,-113.0,-107.0,-110.0,-110.0,190.0,-230.0,-110.0,-110.0,-110.0,-110.0,195.0,-230.0,-110.0,-110.0
NBA,2026-02-19 13:52:14,2026-02-19 20:40,d34f8e76f10dd65a684c9bd6301e667e,San Antonio Spurs,Phoenix Suns,No,850.8,Yes,West,Southwest,West,Pacific,-112.78,-106.67,-7.44,7.44,-292.56,234.89,-109.89,-109.78,229.56,-112,-108,-290,235,-110,-110,-115,-108,-305,230,-110,-113,-112,-108,-298,240,-112,-108,-115.0,-105.0,-295.0,230.0,-110.0,-110.0,-110.0,-110.0,-303.0,233.0,-110.0,-110.0,-111.0,-101.0,-287.0,241.0,-107.0,-107.0,-115.0,-105.0,-290.0,237.0,-110.0,-110.0,-115.0,-105.0,-280.0,230.0,-110.0,-110.0,-110.0,-110.0,-285.0,238.0,-110.0,-110.0
NBA,2026-02-19 13:52:14,2026-02-19 22:10,7bb1dc8e7e0b6a77195533729951d187,Golden State Warriors,Boston Celtics,No,2697.8,Yes,West,Pacific,East,Atlantic,-108.78,-110.67,5.83,-5.83,188.78,-229.44,-110.22,-109.44,211.83,-110,-110,180,-215,-114,-106,-114,-109,185,-235,-114,-109,-102,-118,190,-230,-112,-108,-102.0,-118.0,190.0,-235.0,-110.0,-110.0,-110.0,-110.0,191.0,-238.0,-110.0,-110.0,-106.0,-106.0,198.0,-232.0,-107.0,-107.0,-110.0,-110.0,195.0,-235.0,-110.0,-110.0,-115.0,-105.0,180.0,-220.0,-105.0,-115.0,-110.0,-110.0,190.0,-225.0,-110.0,-110.0
NBA,2026-02-19 13:52:14,2026-02-19 22:10,fc4ef6fdb917bca80f99940665442e96,Sacramento Kings,Orlando Magic,No,2394.9,Yes,West,Pacific,East,Southeast,-108.89,-110.56,8.56,-8.56,293.44,-374.0,-109.0,-110.56,225.78,-106,-114,310,-390,-110,-110,-110,-113,280,-375,-109,-113,-108,-112,300,-380,-105,-115,-110.0,-110.0,290.0,-375.0,-110.0,-110.0,-110.0,-110.0,291.0,-385.0,-110.0,-110.0,-106.0,-106.0,301.0,-366.0,-107.0,-107.0,-110.0,-110.0,296.0,-370.0,-110.0,-110.0,-110.0,-110.0,280.0,-360.0,-110.0,-110.0,-110.0,-110.0,293.0,-365.0,-110.0,-110.0
NBA,2026-02-19 13:52:14,2026-02-19 22:40,13c088a4f279e674bf80e4cb06d231a9,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,West,Pacific,West,Northwest,-109.56,-110.0,4.5,-4.5,157.89,-188.22,-107.44,-112.22,226.11,-110,-110,152,-180,-108,-112,-112,-112,150,-190,-110,-113,-108,-112,160,-192,-108,-112,-110.0,-110.0,155.0,-190.0,-105.0,-115.0,-110.0,-110.0,155.0,-192.0,-110.0,-110.0,-106.0,-106.0,166.0,-190.0,-104.0,-110.0,-110.0,-110.0,165.0,-190.0,-107.0,-113.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0,-110.0,-110.0,163.0,-190.0,-105.0,-115.0
