League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-21 14:37:20,2026-03-21 17:10,a1158df1a3a21def58491807df167c6a,Washington Wizards,Oklahoma City Thunder,No,1152.7,No,East,Southeast,West,Northwest,-110.33,-109.22,21.22,-21.22,1328.33,-3642.89,-110.0,-109.67,231.44,-110,-110,1400,-3500,-110,-110,-110,-110,1236,-3333,-110,-110,-112,-112,1300,-5000,-113,-110,-115,-105,1300,-2800,-110,-110,-110,-110,1336,-3400,-110,-110,-106,-106,1383,-3353,-107,-107,-115.0,-105.0,1300,-3000,-110,-110,-110,-110,1400,-3400,-110,-110,-105,-115,1300,-5000,-110,-110
NBA,2026-03-21 14:37:20,2026-03-21 19:10,caa8acf3be841cea790d25a4082d4817,Charlotte Hornets,Memphis Grizzlies,No,521.2,Yes,East,Southeast,West,Southwest,-110.89,-108.56,-17.72,17.72,-1695.33,916.44,-110.44,-109.33,233.67,-110,-110,-2200,1100,-110,-110,-110,-110,-1667,838,-110,-110,-110,-113,-1430,800,-112,-112,-112,-108,-1600,900,-115,-105,-115,-105,-1600,910,-110,-110,-111,-101,-1561,950,-107,-107,-110.0,-110.0,-1600,900,-110,-110,-115,-105,-1600,900,-110,-110,-105,-115,-2000,950,-110,-110
NBA,2026-03-21 14:37:20,2026-03-21 19:10,87e5b0e532472d1e7a6815746302dd10,New Orleans Pelicans,Cleveland Cavaliers,No,924.4,Yes,West,Southwest,East,Central,-109.44,-110.0,4.56,-4.56,162.78,-194.89,-110.78,-109.0,236.5,-110,-110,162,-194,-112,-108,-110,-110,155,-192,-110,-110,-114,-109,160,-205,-112,-112,-110,-110,164,-198,-110,-110,-110,-110,165,-190,-113,-107,-106,-106,166,-190,-110,-104,-110.0,-110.0,165,-200,-110,-110,-110,-110,163,-190,-110,-110,-105,-115,165,-195,-110,-110
NBA,2026-03-21 14:37:20,2026-03-21 19:11,041a208c3a53186e8bc0983045ab66f7,Orlando Magic,Los Angeles Lakers,No,2202.7,Yes,East,Southeast,West,Pacific,-109.88,-109.5,3.06,-3.06,129.78,-153.44,-111.0,-108.56,232.67,-108,-112,130,-154,-110,-110,-110,-110,121,-149,-110,-110,-110,-113,123,-155,-112,-110,-115,-105,130,-155,-115,-105,-110,-110,132,-152,-110,-110,-106,-106,133,-151,-107,-107,,,135,-160,-115,-105,-110,-110,134,-155,-110,-110,-110,-110,130,-150,-110,-110
NBA,2026-03-21 14:37:20,2026-03-21 20:10,3523e11ab67a699ba097925fb4981746,Atlanta Hawks,Golden State Warriors,No,2137.9,Yes,East,Southeast,West,Pacific,-109.22,-110.22,-10.61,10.61,-482.89,364.67,-109.67,-110.11,229.28,-108,-112,-520,390,-108,-112,-110,-110,-476,350,-110,-110,-109,-114,-530,380,-112,-112,-110,-110,-470,360,-110,-110,-110,-110,-460,358,-110,-110,-106,-106,-455,364,-107,-107,-110.0,-110.0,-475,360,-110,-110,-110,-110,-460,360,-110,-110,-110,-110,-500,360,-110,-110
NBA,2026-03-21 14:37:20,2026-03-21 20:10,1a580864294677520ddb2a2a0fe31268,San Antonio Spurs,Indiana Pacers,No,997.0,Yes,West,Southwest,East,Central,-109.89,-109.56,-17.44,17.44,-1983.89,996.89,-110.67,-109.0,234.61,-110,-110,-2200,1100,-114,-106,-110,-110,-2000,968,-110,-110,-113,-110,-2000,900,-113,-110,-110,-110,-1800,1000,-112,-108,-110,-110,-1800,979,-110,-110,-106,-106,-1755,1025,-107,-107,-110.0,-110.0,-2500,1050,-110,-110,-110,-110,-1800,1000,-110,-110,-110,-110,-2000,950,-110,-110
NBA,2026-03-21 14:37:20,2026-03-21 20:11,3b6c1dd86ba56eddae458728b80c3320,Houston Rockets,Miami Heat,No,967.9,Yes,West,Southwest,East,Southeast,-110.0,-109.44,-3.0,3.0,-148.22,124.67,-111.33,-108.33,228.0,-108,-112,-146,124,-112,-108,-110,-110,-149,122,-110,-110,-113,-110,-157,125,-112,-110,-118,-102,-148,124,-110,-110,-110,-110,-145,125,-115,-105,-106,-106,-144,127,-113,-102,-105.0,-115.0,-155,125,-110,-110,-110,-110,-145,125,-110,-110,-110,-110,-145,125,-110,-110
NBA,2026-03-21 14:37:20,2026-03-21 20:45,817a30a82900f0db41d5b094f424e33b,Dallas Mavericks,Los Angeles Clippers,No,1245.2,Yes,West,Southwest,West,Pacific,-109.0,-110.44,7.83,-7.83,242.33,-300.89,-110.44,-109.33,234.06,-110,-110,250,-310,-110,-110,-110,-110,243,-313,-110,-110,-110,-113,230,-305,-112,-112,-118,-102,240,-298,-115,-105,-110,-110,245,-300,-110,-110,-106,-106,248,-297,-107,-107,-102.0,-118.0,240,-300,-110,-110,-110,-110,250,-300,-110,-110,-105,-115,235,-285,-110,-110
NBA,2026-03-21 14:37:20,2026-03-21 21:40,b9b4d5f3dfbad29e6a0e3e08fff25a95,Utah Jazz,Philadelphia 76ers,No,1926.0,Yes,West,Northwest,East,Atlantic,-109.78,-109.78,5.61,-5.61,194.11,-237.78,-110.11,-109.67,229.39,-112,-108,200,-245,-112,-108,-110,-110,189,-240,-110,-110,-112,-112,200,-265,-112,-112,-108,-112,195,-238,-110,-110,-110,-110,195,-235,-110,-110,-106,-106,198,-232,-107,-107,-110.0,-110.0,185,-225,-110,-110,-110,-110,195,-230,-110,-110,-110,-110,190,-230,-110,-110
NBA,2026-03-21 14:37:20,2026-03-21 22:11,d6b73b8b266617c9d9eeba4a6c9bf5f9,Phoenix Suns,Milwaukee Bucks,No,1463.9,Yes,West,Pacific,East,Central,-108.56,-110.89,-11.44,11.44,-600.56,436.78,-108.67,-111.11,218.22,-106,-114,-620,460,-106,-114,-110,-110,-588,420,-110,-110,-110,-113,-670,440,-112,-112,-110,-110,-600,440,-108,-112,-105,-115,-575,431,-110,-110,-101,-111,-567,440,-107,-107,-110.0,-110.0,-625,450,-105,-115,-110,-110,-575,440,-110,-110,-115,-105,-585,410,-110,-110
