League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-02-11 17:32:41,2026-02-11 19:00,786e38c6d2a209bb12801b30f17e9ef2,Orlando Magic,Milwaukee Bucks,No,1064.4,Yes,East,Southeast,East,Central,-111.89,-107.78,-10.61,10.61,-504.89,379.89,-111.22,-108.89,220.33,-108,-112,-500,385,-110,-110,-115,-105,-500,380,-110,-110,-110,-115,-560,400,-113,-113,-114,-106,-485,374,-115,-105,-110,-102,-479,381,-113,-102,-115,-105,-500,375,-110,-110,-110.0,-110.0,-510.0,395.0,-110,-110,-115,-105,-510,370,-110,-110,-110,-110,-500,359,-110,-110
NBA,2026-02-11 17:32:41,2026-02-11 19:10,7c66ba90233d458cdf37f776c8a9f406,Charlotte Hornets,Atlanta Hawks,Yes,226.8,Yes,East,Southeast,East,Southeast,-108.5,-113.0,-2.69,2.69,-139.75,117.0,-111.33,-110.22,234.83,-110,-110,-142,120,-112,-108,-105,-115,-130,110,-110,-110,-115,-110,-150,120,-113,-113,-105,-115,-133,113,-110,-110,-101,-111,-131,115,-107,-107,-105,-115,-135,110,-110,-110,,,,,-110,-110,-115,-105,-165,140,-110,-110,-112,-123,-132,108,-120,-114
NBA,2026-02-11 17:32:41,2026-02-11 19:10,1e29ea38e9c7789166418c9a3544bff9,Cleveland Cavaliers,Washington Wizards,No,305.1,Yes,East,Central,East,Southeast,-109.22,-110.56,-17.39,17.39,-1208.22,730.11,-110.89,-109.11,239.89,-110,-110,-1200,750,-114,-106,-110,-110,-1200,750,-115,-105,-112,-114,-1250,700,-112,-114,-110,-110,-1200,754,-110,-110,-106,-106,-1174,781,-107,-107,-110,-110,-1400,800,-110,-110,-110.0,-110.0,-1100.0,700.0,-110,-110,-105,-115,-1100,650,-110,-110,-110,-110,-1250,686,-110,-110
NBA,2026-02-11 17:32:41,2026-02-11 19:30,c09c552bcc0d68d3e96c860980ae1563,Toronto Raptors,Detroit Pistons,No,206.8,Yes,East,Atlantic,East,Central,-106.89,-112.89,-1.17,1.17,-115.11,-60.33,-110.33,-109.56,223.11,-108,-112,-116,-102,-108,-112,-102,-118,-112,-108,-115,-105,-109,-117,-113,-110,-113,-112,-110,-110,-115,-105,-110,-110,-106,-106,-113,-103,-107,-107,-102,-118,-115,-105,-110,-110,-110.0,-110.0,-120.0,100.0,-110,-110,-105,-115,-110,-110,-110,-110,-110,-110,-122,100,-110,-110
NBA,2026-02-11 17:32:41,2026-02-11 19:30,fa53065fb88985857fe9cfe5372477dc,Philadelphia 76ers,New York Knicks,Yes,85.5,Yes,East,Atlantic,East,Atlantic,-109.33,-110.44,-2.22,2.22,-134.33,113.0,-109.78,-110.11,224.67,-110,-110,-126,108,-114,-106,-105,-115,-135,114,-110,-110,-113,-113,-141,114,-113,-112,-110,-110,-130,110,-112,-108,-106,-106,-128,112,-109,-105,-105,-115,-140,115,-105,-115,-110.0,-110.0,-140.0,120.0,-110,-110,-115,-105,-130,110,-105,-115,-110,-110,-139,114,-110,-110
NBA,2026-02-11 17:32:41,2026-02-11 19:40,fe5025ebf8e01fd991276b32c2720ea7,Boston Celtics,Chicago Bulls,No,852.9,Yes,East,Atlantic,East,Central,-109.62,-110.12,-13.5,13.5,-680.33,483.44,-110.22,-109.78,226.61,-110,-110,-700,500,-112,-108,-112,-108,-675,490,-105,-115,-114,-112,-625,430,-113,-113,-110,-110,-685,497,-110,-110,-106,-106,-674,508,-107,-107,-110,-110,-700,500,-115,-105,,,-700.0,500.0,-110,-110,-105,-115,-650,450,-110,-110,-110,-110,-714,476,-110,-110
NBA,2026-02-11 17:32:41,2026-02-11 19:40,8cdd1f682ca6ed36e908ecf3b00f01bc,Brooklyn Nets,Indiana Pacers,No,646.8,Yes,East,Atlantic,East,Central,-109.78,-110.0,-6.44,6.44,-229.56,188.44,-110.11,-109.89,215.22,-105,-115,-215,180,-106,-114,-110,-110,-225,185,-115,-105,-117,-109,-250,195,-113,-113,-110,-110,-235,195,-110,-110,-106,-106,-232,198,-107,-107,-110,-110,-225,185,-110,-110,-110.0,-110.0,-220.0,185.0,-110,-110,-110,-110,-220,180,-110,-110,-110,-110,-244,193,-110,-110
NBA,2026-02-11 17:32:41,2026-02-11 20:10,eb36e00b7d03160ba917374db994fae4,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,West,Southwest,West,Pacific,-110.56,-109.22,-8.72,8.72,-341.11,269.33,-110.33,-109.56,211.39,-106,-114,-330,265,-110,-110,-112,-108,-340,270,-110,-110,-113,-113,-400,295,-112,-113,-114,-106,-325,263,-112,-108,-110,-102,-322,267,-109,-105,-110,-110,-325,260,-110,-110,-110.0,-110.0,-325.0,265.0,-110,-110,-110,-110,-370,285,-110,-110,-110,-110,-333,254,-110,-110
NBA,2026-02-11 17:32:41,2026-02-11 20:10,3313a32e931557302ee2526858b86060,New Orleans Pelicans,Miami Heat,No,669.6,Yes,West,Southwest,East,Southeast,-110.11,-109.56,-1.5,1.5,-124.0,103.67,-110.11,-109.89,232.89,-110,-110,-122,104,-112,-108,-110,-110,-122,102,-105,-115,-115,-110,-127,102,-112,-114,-110,-110,-125,105,-110,-110,-106,-106,-123,107,-107,-107,-110,-110,-125,105,-115,-105,-110.0,-110.0,-125.0,105.0,-110,-110,-110,-110,-120,100,-110,-110,-110,-110,-127,103,-110,-110
NBA,2026-02-11 17:32:41,2026-02-11 20:10,3acad36c997423e34f7d485f9598a106,Minnesota Timberwolves,Portland Trail Blazers,Yes,1426.0,Yes,West,Northwest,West,Northwest,-110.78,-109.0,-6.61,6.61,-272.67,220.56,-110.33,-109.67,236.28,-114,-106,-290,235,-110,-110,-115,-105,-278,225,-112,-108,-112,-114,-265,205,-114,-112,-110,-110,-270,222,-110,-110,-106,-106,-267,225,-107,-107,-110,-110,-285,225,-110,-110,-110.0,-110.0,-280.0,235.0,-110,-110,-110,-110,-225,185,-110,-110,-110,-110,-294,228,-110,-110
