League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-04-06 18:37:00,2026-04-06 19:10,dce0f3f389617fa7daa990c209ee8acc,Atlanta Hawks,New York Knicks,No,748.3,Yes,East,Southeast,East,Atlantic,-110.33,-109.11,-1.5,1.5,-122.0,102.22,-111.11,-108.67,227.5,-108,-112,-118,100,-110,-110,-110,-110,-122,102,-110,-110,-110,-113,-122,100,-110,-113,-112.0,-108.0,-125.0,105.0,-116.0,-104.0,-108.0,-104.0,-123.0,107.0,-114.0,-101.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-115.0,-105.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-123.0,101.0,-110.0,-110.0
NBA,2026-04-06 18:37:00,2026-04-06 19:10,ec27c42246b5e40c34f4c2d93930ed20,Orlando Magic,Detroit Pistons,No,956.1,Yes,East,Southeast,East,Central,-110.44,-109.0,1.39,-1.39,57.44,-122.0,-110.44,-109.11,222.5,-108,-112,104,-122,-112,-108,-115,-105,-102,-118,-110,-110,-115,-108,105,-130,-110,-112,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-106.0,-106.0,102.0,-118.0,-107.0,-107.0,-115.0,-105.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-105.0,-115.0,105.0,-125.0,-115.0,-105.0,-110.0,-110.0,-102.0,-120.0,-110.0,-110.0
NBA,2026-04-06 18:37:00,2026-04-06 20:10,c2ff7eb921314ca5ebc2ad18db189374,Memphis Grizzlies,Cleveland Cavaliers,No,630.9,Yes,West,Southwest,East,Central,-110.56,-109.0,13.44,-13.44,644.22,-1021.22,-107.78,-112.11,231.22,-110,-110,660,-1000,-106,-114,-112,-108,650,-1000,-105,-115,-112,-112,550,-910,-112,-112,-110.0,-110.0,637.0,-950.0,-105.0,-115.0,-106.0,-106.0,657.0,-931.0,-102.0,-113.0,-110.0,-110.0,675.0,-1100.0,-110.0,-110.0,-110.0,-110.0,630.0,-950.0,-110.0,-110.0,-115.0,-105.0,650.0,-1100.0,-110.0,-110.0,-110.0,-110.0,689.0,-1250.0,-110.0,-110.0
NBA,2026-04-06 18:37:00,2026-04-06 20:10,14dede373d304abbddc590d2bcc81e4e,San Antonio Spurs,Philadelphia 76ers,No,1502.4,Yes,West,Southwest,East,Atlantic,-109.89,-109.56,-8.78,8.78,-373.44,293.11,-110.22,-109.44,236.94,-114,-106,-390,310,-112,-108,-102,-118,-375,295,-115,-105,-114,-109,-360,270,-113,-110,-110.0,-110.0,-370.0,296.0,-110.0,-110.0,-106.0,-106.0,-366.0,301.0,-107.0,-107.0,-118.0,-102.0,-375.0,300.0,-105.0,-115.0,-110.0,-110.0,-370.0,295.0,-110.0,-110.0,-105.0,-115.0,-370.0,285.0,-110.0,-110.0,-110.0,-110.0,-385.0,286.0,-110.0,-110.0
NBA,2026-04-06 18:37:00,2026-04-06 21:10,76e52ccb4140e4936de62dbadae0808d,Denver Nuggets,Portland Trail Blazers,Yes,981.8,Yes,West,Northwest,West,Northwest,-107.67,-111.78,-7.44,7.44,-315.78,254.11,-109.33,-110.33,235.94,-108,-112,-310,250,-112,-108,-102,-118,-310,250,-105,-115,-108,-115,-315,245,-110,-113,-110.0,-110.0,-310.0,252.0,-110.0,-110.0,-106.0,-106.0,-307.0,256.0,-107.0,-107.0,-105.0,-115.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0,-110.0,-110.0,-325.0,254.0,-110.0,-110.0
NBA,2026-04-06 18:37:00,2026-04-07 19:40,9aaa887e3f4a853902d6613072b2f35b,Toronto Raptors,Miami Heat,No,1232.1,Yes,East,Atlantic,East,Southeast,-114.33,-106.67,1.5,-1.5,34.33,-121.67,-109.0,-112.33,239.5,-115,-105,106,-124,-110,-110,-115,-105,100,-120,-105,-115,-113,-110,-103,-121,-112,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-06 18:37:00,2026-04-07 20:10,96d26f7a098eba89636e1a99c7c79d8d,Boston Celtics,Charlotte Hornets,No,721.0,Yes,East,Atlantic,East,Southeast,-108.33,-112.67,-6.33,6.33,-233.33,189.67,-111.67,-109.33,219.5,-106,-114,-235,194,-112,-108,-105,-115,-230,190,-110,-110,-114,-109,-235,185,-113,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-06 18:37:00,2026-04-07 22:40,3133467540e08b88d68625ed9e975399,Los Angeles Clippers,Dallas Mavericks,No,1245.2,Yes,West,Pacific,West,Southwest,-109.67,-111.33,-11.33,11.33,-538.33,393.33,-111.33,-109.67,235.5,-110,-110,-520,400,-114,-106,-110,-110,-535,400,-110,-110,-109,-114,-560,380,-110,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-06 18:37:00,2026-04-07 22:40,01f002eb30dfd24045740d4fbf68207e,Los Angeles Lakers,Oklahoma City Thunder,No,1182.5,Yes,West,Pacific,West,Northwest,-110.0,-111.0,14.5,-14.5,770.0,-1316.67,-110.67,-110.67,225.0,-110,-110,810,-1350,-110,-110,-110,-110,800,-1350,-110,-110,-110,-113,700,-1250,-112,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-06 18:37:00,2026-04-07 23:10,6ec00d2267f0fe20067d4e2363a17162,Phoenix Suns,Houston Rockets,No,1016.4,Yes,West,Pacific,West,Southwest,-112.33,-108.67,1.33,-1.33,32.67,-120.0,-110.67,-110.0,218.0,-112,-108,-102,-116,-110,-110,-112,-108,100,-120,-112,-108,-113,-110,100,-124,-110,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
