League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2025-11-27 16:21:31,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-111.5,-108.12,138.75,-165.12,-112.12,-108.0,East,Southeast,East,Central,-108,-112,136,-162,-110,-110,-115,-110,132,-165,-112,-114,-108,-112,142,-170,-112,-108,-110,-110,129,-159,-110,-110,-115,-105,145,-170,-110,-110,-115,-105,145,-165,-115,-105,-111,-101,146,-165,-113,-102,-110,-110,135,-165,-115,-105
NBA,2025-11-27 16:21:31,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-112.25,-107.5,201.0,-247.38,-108.88,-111.25,East,Atlantic,East,Atlantic,-114,-106,200,-245,-110,-110,-113,-113,205,-265,-114,-112,-115,-105,200,-245,-110,-110,-110,-110,201,-256,-110,-110,-105,-115,200,-240,-110,-110,-115,-105,200,-240,-105,-115,-111,-101,202,-238,-102,-113,-115,-105,200,-250,-110,-110
NBA,2025-11-27 16:21:31,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-109.62,-110.12,124.0,-147.75,-110.12,-109.88,East,Southeast,East,Central,-114,-106,128,-152,-110,-110,-109,-117,123,-152,-114,-112,-118,-102,124,-148,-110,-110,-110,-110,115,-141,-110,-110,-105,-115,125,-145,-110,-110,-105,-115,125,-145,-110,-110,-101,-111,127,-144,-107,-107,-115,-105,125,-155,-110,-110
NBA,2025-11-27 16:21:31,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-109.38,-110.38,-157.0,132.5,-109.25,-110.75,East,Central,East,Southeast,-106,-114,-154,130,-110,-110,-113,-113,-159,128,-112,-114,-110,-110,-162,136,-110,-110,-110,-110,-161,130,-110,-110,-110,-110,-150,130,-105,-115,-110,-110,-155,135,-110,-110,-106,-106,-155,136,-107,-107,-110,-110,-160,135,-110,-110
NBA,2025-11-27 16:21:31,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-110.0,-109.75,-259.5,211.62,-111.12,-108.88,East,Central,East,Southeast,-110,-110,-255,210,-114,-106,-114,-112,-250,200,-113,-113,-110,-110,-265,215,-115,-105,-110,-110,-263,208,-110,-110,-110,-110,-260,215,-110,-110,-110,-110,-255,211,-110,-110,-106,-106,-253,214,-107,-107,-110,-110,-275,220,-110,-110
NBA,2025-11-27 16:21:31,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-110.88,-108.88,-290.12,233.88,-108.88,-111.12,East,Atlantic,East,Central,-110,-110,-275,225,-112,-108,-114,-112,-295,225,-112,-114,-102,-118,-298,240,-105,-115,-110,-110,-286,223,-110,-110,-115,-105,-290,240,-110,-110,-115,-105,-290,237,-110,-110,-111,-101,-287,241,-107,-107,-110,-110,-300,240,-105,-115
NBA,2025-11-27 16:21:31,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-108.5,-111.25,-391.25,303.5,-110.38,-109.62,West,Northwest,West,Southwest,-110,-110,-370,295,-114,-106,-112,-114,-420,310,-112,-114,-105,-115,-410,320,-105,-115,-110,-110,-385,286,-110,-110,-110,-110,-380,290,-110,-110,-110,-110,-385,306,-110,-110,-106,-106,-380,311,-107,-107,-105,-115,-400,310,-115,-105
NBA,2025-11-27 16:21:31,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-109.5,-110.0,-1031.25,651.38,-109.5,-110.5,West,Northwest,West,Pacific,-110,-110,-1100,700,-110,-110,-110,-114,-910,550,-114,-112,-110,-110,-1050,675,-110,-110,-110,-110,-1111,642,-110,-110,-110,-110,-1000,625,-110,-110,-110,-110,-1000,661,-110,-110,-106,-106,-979,683,-107,-107,-110,-110,-1100,675,-105,-115
NBA,2025-11-27 16:21:31,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-108.75,-110.88,-116.88,-77.88,-111.88,-108.12,West,Northwest,West,Pacific,-110,-110,-116,-102,-114,-106,-110,-115,-114,-109,-113,-112,-105,-115,-118,-102,-110,-110,-110,-110,-120,-101,-110,-110,-110,-110,-115,-105,-110,-110,-112,-108,-118,-102,-115,-105,-108,-104,-116,100,-113,-102,-105,-115,-118,-102,-110,-110
NBA,2025-11-27 16:21:31,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-109.75,-110.0,-509.88,379.38,-111.25,-108.88,West,Pacific,West,Southwest,-114,-106,-510,390,-112,-108,-113,-113,-530,370,-112,-114,-108,-112,-500,380,-108,-112,-110,-110,-556,389,-110,-110,-115,-105,-510,370,-110,-110,-110,-110,-490,377,-115,-105,-106,-106,-483,384,-113,-102,-102,-118,-500,375,-110,-110
