League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-12 16:22:37,2025-11-12 19:10,Charlotte Hornets,Milwaukee Bucks,No,659.4,Yes,-109.78,-110.0,115.22,-136.89,-109.89,-110.11,East,Southeast,East,Central,-105.0,-115.0,116.0,-136.0,-110.0,-110.0,-115.0,-105.0,114.0,-135.0,-110.0,-110.0,-112,-114,112,-139,-112,-114,-106.0,-106.0,117.0,-133.0,-107.0,-107.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0,-115.0,-105.0,115.0,-140.0,-110.0,-110.0,-110.0,-110.0,113.0,-139.0,-110.0,-110.0,-105.0,-115.0,120.0,-140.0,-110.0,-110.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
NBA,2025-11-12 16:22:37,2025-11-12 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-108.44,-111.22,106.56,-127.44,-108.44,-111.44,East,Central,East,Central,-108.0,-112.0,110.0,-130.0,-106.0,-114.0,-112.0,-108.0,110.0,-130.0,-108.0,-112.0,-115,-110,102,-127,-115,-110,-101.0,-111.0,109.0,-125.0,-107.0,-107.0,-105.0,-115.0,110.0,-130.0,-110.0,-110.0,-105.0,-115.0,105.0,-130.0,-105.0,-115.0,-110.0,-110.0,103.0,-125.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-105.0,-115.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2025-11-12 16:22:37,2025-11-12 19:10,New York Knicks,Orlando Magic,No,940.3,Yes,-110.67,-108.89,-174.78,147.0,-109.44,-110.56,East,Atlantic,East,Southeast,-110.0,-110.0,-174.0,146.0,-115.0,-105.0,-112.0,-108.0,-175.0,145.0,-105.0,-115.0,-110,-114,-182,143,-113,-113,-110.0,-102.0,-173.0,153.0,-107.0,-107.0,-114.0,-106.0,-173.0,152.0,-110.0,-110.0,-115.0,-105.0,-175.0,145.0,-105.0,-115.0,-110.0,-110.0,-171.0,139.0,-110.0,-110.0,-105.0,-115.0,-175.0,150.0,-110.0,-110.0,-110.0,-110.0,-175.0,150.0,-110.0,-110.0
NBA,2025-11-12 16:22:37,2025-11-12 19:40,Boston Celtics,Memphis Grizzlies,No,1136.9,Yes,-109.67,-110.11,-293.11,237.33,-109.33,-110.67,East,Atlantic,West,Southwest,-108.0,-112.0,-290.0,235.0,-115.0,-105.0,-110.0,-110.0,-298.0,240.0,-105.0,-115.0,-113,-113,-295,230,-112,-114,-106.0,-106.0,-282.0,237.0,-107.0,-107.0,-110.0,-110.0,-285.0,234.0,-110.0,-110.0,-110.0,-110.0,-300.0,240.0,-105.0,-115.0,-110.0,-110.0,-313.0,242.0,-110.0,-110.0,-110.0,-110.0,-290.0,240.0,-110.0,-110.0,-110.0,-110.0,-285.0,238.0,-110.0,-110.0
NBA,2025-11-12 16:22:37,2025-11-12 19:40,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-109.44,-110.22,-213.78,177.44,-111.44,-108.56,East,Southeast,East,Central,-106.0,-114.0,-215.0,180.0,-112.0,-108.0,-105.0,-115.0,-218.0,180.0,-110.0,-110.0,-110,-115,-225,175,-114,-112,-106.0,-106.0,-209.0,182.0,-107.0,-107.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-118.0,-102.0,-220.0,180.0,-115.0,-105.0,-110.0,-110.0,-217.0,175.0,-110.0,-110.0,-110.0,-110.0,-210.0,175.0,-115.0,-105.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0
NBA,2025-11-12 16:22:37,2025-11-12 20:10,San Antonio Spurs,Golden State Warriors,No,1490.6,Yes,-110.22,-109.56,-162.11,136.22,-109.33,-110.67,West,Southwest,West,Pacific,-110.0,-110.0,-164.0,138.0,-106.0,-114.0,-110.0,-110.0,-162.0,136.0,-108.0,-112.0,-113,-113,-167,133,-113,-113,-105.0,-107.0,-158.0,139.0,-107.0,-107.0,-109.0,-111.0,-158.0,138.0,-110.0,-110.0,-110.0,-110.0,-165.0,135.0,-110.0,-110.0,-110.0,-110.0,-165.0,134.0,-110.0,-110.0,-115.0,-105.0,-160.0,135.0,-110.0,-110.0,-110.0,-110.0,-160.0,138.0,-110.0,-110.0
NBA,2025-11-12 16:22:37,2025-11-12 20:10,Houston Rockets,Washington Wizards,No,1220.3,Yes,-108.78,-111.0,-1557.89,866.11,-109.33,-110.67,West,Southwest,East,Southeast,-110.0,-110.0,-1800.0,980.0,-115.0,-105.0,-112.0,-108.0,-1600.0,900.0,-105.0,-115.0,-112,-114,-1430,750,-112,-114,-103.0,-109.0,-1512.0,931.0,-107.0,-107.0,-107.0,-113.0,-1550.0,892.0,-110.0,-110.0,-110.0,-110.0,-1600.0,900.0,-105.0,-115.0,-110.0,-110.0,-1429.0,792.0,-110.0,-110.0,-105.0,-115.0,-1600.0,800.0,-110.0,-110.0,-110.0,-110.0,-1500.0,850.0,-110.0,-110.0
NBA,2025-11-12 16:22:37,2025-11-12 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-110.78,-109.0,271.11,-342.11,-110.22,-109.78,West,Southwest,West,Northwest,-112.0,-108.0,285.0,-355.0,-110.0,-110.0,-118.0,-102.0,275.0,-345.0,-108.0,-112.0,-117,-109,265,-360,-112,-114,-103.0,-109.0,267.0,-322.0,-107.0,-107.0,-107.0,-113.0,263.0,-325.0,-110.0,-110.0,-115.0,-105.0,280.0,-350.0,-115.0,-105.0,-110.0,-110.0,270.0,-357.0,-110.0,-110.0,-105.0,-115.0,270.0,-340.0,-110.0,-110.0,-110.0,-110.0,265.0,-325.0,-110.0,-110.0
NBA,2025-11-12 16:22:37,2025-11-12 20:40,Dallas Mavericks,Phoenix Suns,No,885.4,Yes,-108.33,-111.44,110.89,-131.89,-110.0,-110.0,West,Southwest,West,Pacific,-110.0,-110.0,114.0,-134.0,-110.0,-110.0,-102.0,-118.0,110.0,-130.0,-110.0,-110.0,-112,-114,106,-130,-113,-113,-106.0,-106.0,112.0,-128.0,-107.0,-107.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,110.0,-135.0,-110.0,-110.0,-110.0,-110.0,106.0,-130.0,-110.0,-110.0,-105.0,-115.0,115.0,-135.0,-110.0,-110.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
NBA,2025-11-12 16:22:37,2025-11-12 21:40,Oklahoma City Thunder,Los Angeles Lakers,No,1182.5,Yes,-111.56,-108.11,-317.22,254.11,-109.33,-110.78,West,Northwest,West,Pacific,-110.0,-110.0,-300.0,245.0,-110.0,-110.0,-118.0,-102.0,-325.0,260.0,-110.0,-110.0,-115,-110,-335,250,-112,-114,-106.0,-106.0,-317.0,263.0,-102.0,-113.0,-110.0,-110.0,-320.0,260.0,-105.0,-115.0,-115.0,-105.0,-325.0,260.0,-115.0,-105.0,-110.0,-110.0,-313.0,239.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0
