League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-30 18:57:07,2026-05-30 20:10,c2c2561efd4d4f69367aa83be60995a0,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,West,Northwest,West,Southwest,-107.0,-112.44,-3.5,3.5,-150.33,126.89,-111.0,-108.67,212.06,-108,-112,-148,124,-110,-110,-108,-112,-154,130,-114,-106,-106.0,-114.0,-147.0,127.0,-110.0,-110.0,-103.0,-109.0,-146.0,129.0,-107.0,-107.0,-108.0,-115.0,-157.0,125.0,-113.0,-110.0,-110.0,-110.0,-150.0,125.0,-110.0,-110.0,-105.0,-115.0,-150.0,130.0,-115.0,-105.0,-105.0,-115.0,-151.0,123.0,-110.0,-110.0,-110.0,-110.0,-150.0,129.0,-110.0,-110.0
NBA,2026-05-30 18:57:07,2026-06-03 20:40,27f8823f01243e8857b317dec213f14c,Oklahoma City Thunder,New York Knicks,No,1328.1,Yes,West,Northwest,East,Atlantic,-111.5,-109.5,-6.0,6.0,-227.5,189.0,-110.0,-110.0,216.0,-105,-115,-230,190,-110,-110,-118,-104,-225,188,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-05-30 18:57:07,2026-06-03 20:40,1aae688472781f1a1aaf3efdb38e884b,San Antonio Spurs,New York Knicks,No,1581.9,Yes,West,Southwest,East,Atlantic,-109.5,-110.5,-4.0,4.0,-173.5,144.5,-110.0,-110.0,217.0,-105,-115,-175,145,-110,-110,-114,-106,-172,144,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
