League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-04-16 18:39:53,2026-04-17 19:40,fc16dfbe5b438857b93902fa811dd8f6,Orlando Magic,Charlotte Hornets,Yes,461.8,Yes,East,Southeast,East,Southeast,-110.0,-109.25,3.5,-3.5,140.0,-166.62,-108.88,-110.75,218.25,-110,-110,142,-170,-108,-112,-114,-106,140,-166,-108,-112,-110,-112,130,-162,-113,-110,-110,-110,137,-170,-110,-110,-106,-106,146,-165,-107,-107,-110,-110,145,-165,-110,-110,-110,-110,140,-170,-105,-115,-110,-110,140,-165,-110,-110
NBA,2026-04-16 18:39:53,2026-04-17 22:10,c8d1b7fd06c21e259b9416daf596f023,Phoenix Suns,Golden State Warriors,Yes,652.3,Yes,West,Pacific,West,Pacific,-110.62,-108.75,-3.25,3.25,-152.88,128.5,-110.12,-109.62,219.5,-105,-115,-148,124,-112,-108,-115,-105,-158,134,-110,-110,-109,-114,-159,128,-112,-112,-110,-110,-154,125,-110,-110,-111,-101,-149,132,-107,-107,-115,-105,-150,130,-110,-110,-110,-110,-155,125,-110,-110,-110,-110,-150,130,-110,-110
NBA,2026-04-16 18:39:53,2026-04-18 13:10,2a8e5a45f1bcb477a6f9cbd7739d005e,Cleveland Cavaliers,Toronto Raptors,No,189.3,No,East,Central,East,Atlantic,-110.38,-109.0,-8.25,8.25,-353.38,278.38,-109.62,-110.0,219.56,-105,-115,-355,280,-110,-110,-114,-106,-340,275,-110,-110,-113,-110,-360,270,-110,-113,-110,-110,-357,272,-110,-110,-111,-101,-345,285,-107,-107,-115,-105,-350,280,-110,-110,-110,-110,-350,280,-110,-110,-105,-115,-370,285,-110,-110
NBA,2026-04-16 18:39:53,2026-04-18 15:40,526f783434e5dabca25ee032d8fee612,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,No,West,Northwest,West,Northwest,-110.25,-109.12,-6.25,6.25,-250.25,204.25,-110.12,-109.62,231.75,-105,-115,-245,200,-115,-105,-112,-108,-255,210,-112,-108,-109,-114,-250,200,-112,-112,-110,-110,-244,192,-110,-110,-111,-101,-248,210,-107,-107,-115,-105,-250,207,-110,-110,-105,-115,-250,200,-105,-115,-115,-105,-260,215,-110,-110
NBA,2026-04-16 18:39:53,2026-04-18 18:10,bee2c9ea4bf8df373aa45af7005b583d,New York Knicks,Atlanta Hawks,No,748.3,No,East,Atlantic,East,Southeast,-108.5,-110.88,-5.44,5.44,-220.75,181.88,-109.5,-110.12,216.56,-105,-115,-225,185,-110,-110,-114,-106,-215,180,-110,-110,-108,-115,-210,165,-109,-114,-110,-110,-227,181,-110,-110,-106,-106,-219,188,-107,-107,-110,-110,-220,186,-110,-110,-105,-115,-225,185,-110,-110,-110,-110,-225,185,-110,-110
NBA,2026-04-16 18:39:53,2026-04-18 20:40,1a9383105929a09e5662227ad45554b8,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,West,Pacific,West,Southwest,-113.0,-106.38,5.44,-5.44,182.5,-222.0,-108.62,-111.25,207.19,-115,-105,185,-225,-110,-110,-115,-105,180,-215,-110,-110,-113,-110,180,-235,-112,-112,-110,-110,181,-227,-110,-110,-111,-101,188,-219,-102,-113,-115,-105,186,-220,-105,-115,-115,-105,185,-225,-110,-110,-110,-110,175,-210,-110,-110
NBA,2026-04-16 18:39:53,2026-04-19 13:10,00d1efd43d0790297fb68684a9171191,Boston Celtics,Philadelphia 76ers,Yes,273.6,No,East,Atlantic,East,Atlantic,-109.5,-109.88,-12.5,12.5,-751.38,518.38,-109.62,-109.88,213.5,-110,-110,-625,455,-110,-110,-110,-110,-750,530,-110,-110,-110,-113,-770,500,-110,-112,-110,-110,-769,501,-110,-110,-106,-106,-742,550,-107,-107,-110,-110,-755,536,-110,-110,-110,-110,-800,550,-110,-110,-110,-110,-800,525,-110,-110
NBA,2026-04-16 18:39:53,2026-04-19 21:10,04e3ad1ccbad6419ac711ff120fd5cbe,San Antonio Spurs,Portland Trail Blazers,No,1721.8,Yes,West,Southwest,West,Northwest,-110.62,-108.88,-10.75,10.75,-541.75,398.88,-109.38,-110.25,222.19,-115,-105,-535,400,-105,-115,-114,-106,-560,420,-108,-112,-112,-112,-530,370,-110,-113,-110,-110,-556,397,-110,-110,-105,-107,-523,411,-107,-107,-109,-111,-530,403,-110,-110,-115,-105,-550,400,-115,-105,-105,-115,-550,390,-110,-110
