League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-02 07:52:16,2026-01-02 19:10,Washington Wizards,Brooklyn Nets,No,203.5,Yes,-110.33,-109.44,10.22,-119.0,-111.25,-108.12,East,Southeast,East,Atlantic,-112,-108,-102,-116,-112,-108,-110,-110,-101,-120,-110,-110,-112,-108,-102,-118,-105,-115,-106,-106,102,-118,-113,-102,-110,-110,100,-120,-115,-105,-110,-110,-105,-115,-110,-110,-110,-110,100,-120,-115,-105,-113,-113,100,-124,,,-110.0,-110.0,100,-120,-110,-110
NBA,2026-01-02 07:52:16,2026-01-02 19:10,Indiana Pacers,San Antonio Spurs,No,997.0,Yes,-108.56,-111.22,197.89,-241.11,-110.0,-109.25,East,Central,West,Southwest,-110,-110,198,-240,-110,-110,-110,-110,193,-244,-110,-110,-118,-102,195,-238,-108,-112,-101,-111,202,-238,-107,-107,-105,-115,200,-240,-110,-110,-105,-115,205,-245,-110,-110,-105,-115,203,-240,-110,-110,-113,-113,185,-235,,,-110.0,-110.0,200,-250,-115,-105
NBA,2026-01-02 07:52:16,2026-01-02 19:40,New York Knicks,Atlanta Hawks,No,748.3,Yes,-110.67,-109.11,-313.11,251.44,-110.25,-109.0,East,Atlantic,East,Southeast,-112,-108,-320,260,-115,-105,-110,-110,-336,260,-110,-110,-110,-110,-310,250,-105,-115,-106,-106,-307,256,-107,-107,-110,-110,-310,252,-110,-110,-115,-105,-320,260,-110,-110,-110,-110,-310,255,-110,-110,-113,-113,-305,230,,,-110.0,-110.0,-300,240,-115,-105
NBA,2026-01-02 07:52:16,2026-01-02 19:40,Cleveland Cavaliers,Denver Nuggets,No,1228.2,Yes,-108.22,-111.56,-811.33,551.22,-111.88,-82.5,East,Central,West,Northwest,-110,-110,-800,560,-108,-112,-110,-110,-806,514,-110,-110,-105,-115,-800,550,-110,-110,-104,-108,-786,576,-115,100,-108,-112,-800,561,-117,-103,-110,-110,-800,525,-110,-110,-110,-110,-800,550,-115,-105,-112,-114,-910,575,,,-105.0,-115.0,-800,550,-110,-110
NBA,2026-01-02 07:52:16,2026-01-02 20:10,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-110.0,-109.78,-241.78,197.78,-109.12,-110.12,East,Central,East,Southeast,-112,-108,-245,200,-108,-112,-110,-110,-244,192,-110,-110,-118,-102,-245,200,-108,-112,-101,-111,-232,198,-107,-107,-105,-115,-235,195,-110,-110,-110,-110,-240,200,-110,-110,-105,-115,-235,200,-110,-110,-114,-112,-265,200,,,-115.0,-105.0,-235,195,-110,-110
NBA,2026-01-02 07:52:16,2026-01-02 20:10,Chicago Bulls,Orlando Magic,No,985.5,Yes,-111.56,-108.22,161.67,-192.56,-111.38,-108.0,East,Central,East,Southeast,-110,-110,160,-190,-110,-110,-110,-110,157,-196,-110,-110,-118,-102,160,-192,-108,-112,-106,-106,171,-195,-113,-102,-110,-110,170,-195,-115,-105,-105,-115,145,-170,-110,-110,-110,-110,167,-195,-115,-105,-117,-109,160,-200,,,-118.0,-102.0,165,-200,-110,-110
NBA,2026-01-02 07:52:16,2026-01-02 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-113.44,-84.11,-106.78,-112.78,-110.5,-108.75,West,Southwest,West,Northwest,-110,-110,-104,-112,-112,-108,-110,-110,-106,-115,-110,-110,-118,-102,-108,-112,-115,-105,-106,-106,-103,-113,-107,-107,-110,-110,-105,-115,-110,-110,-115,-105,-110,-110,-110,-110,-110,-110,-105,-115,-110,-110,-117,-109,-110,-113,,,-125.0,105.0,-110,-110,-110,-110
NBA,2026-01-02 07:52:16,2026-01-02 21:10,Phoenix Suns,Sacramento Kings,Yes,635.3,Yes,-110.33,-109.44,-730.11,508.67,-109.62,-109.62,West,Pacific,West,Pacific,-112,-108,-700,500,-108,-112,-110,-110,-714,487,-110,-110,-112,-108,-750,525,-112,-108,-106,-106,-737,547,-107,-107,-110,-110,-750,534,-110,-110,-110,-110,-700,475,-110,-110,-110,-110,-750,530,-110,-110,-113,-113,-770,480,,,-110.0,-110.0,-700,500,-110,-110
NBA,2026-01-02 07:52:16,2026-01-02 22:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-109.44,-110.22,287.67,-367.89,-109.62,-109.62,West,Pacific,West,Northwest,-112,-108,295,-370,-110,-110,-110,-110,286,-385,-110,-110,-105,-115,300,-380,-115,-105,-111,-101,304,-371,-107,-107,-115,-105,299,-375,-110,-110,-105,-115,230,-280,-110,-110,-115,-105,300,-375,-110,-110,-110,-115,275,-375,,,-102.0,-118.0,300,-400,-105,-115
NBA,2026-01-02 07:52:16,2026-01-02 22:40,Los Angeles Lakers,Memphis Grizzlies,No,1604.9,Yes,-109.62,-110.0,-172.89,145.44,-111.38,-107.88,West,Pacific,West,Southwest,-110,-110,-172,144,-114,-106,-110,-110,-169,137,-110,-110,-115,-105,-175,145,-115,-105,-104,-108,-170,150,-107,-107,-108,-112,-170,149,-110,-110,-110,-110,-175,150,-110,-110,-110,-110,-170,146,-110,-110,-110,-115,-180,143,,,,,-175,145,-115,-105
