League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-27 18:32:37,2026-03-27 19:10,cfb595cba37696e470059102db23fca9,Indiana Pacers,Los Angeles Clippers,No,1817.9,Yes,East,Central,West,Pacific,-108.78,-110.67,9.06,-9.06,306.11,-392.33,-109.44,-110.22,237.89,-112,-108,330,-420,-114,-106,-109.0,-114.0,310.0,-420.0,-113.0,-110.0,-102.0,-118.0,300.0,-380.0,-112.0,-108.0,-106.0,-106.0,301.0,-366.0,-104.0,-110.0,-110.0,-110.0,296.0,-370.0,-107.0,-113.0,-105.0,-115.0,300.0,-375.0,-105.0,-115.0,-115.0,-105.0,305.0,-380.0,-110.0,-110.0,-110.0,-110.0,298.0,-400.0,-110.0,-110.0,-110.0,-110.0,315.0,-420.0,-110.0,-110.0
NBA,2026-03-27 18:32:37,2026-03-27 19:40,9443e4a245659d7362366345b5a91b39,Boston Celtics,Atlanta Hawks,No,936.8,Yes,East,Atlantic,East,Southeast,-110.11,-109.22,-4.89,4.89,-217.56,180.44,-108.11,-111.56,224.61,-110,-110,-220,184,-110,-110,-114.0,-108.0,-215.0,170.0,-109.0,-114.0,-115.0,-105.0,-218.0,180.0,-108.0,-112.0,-104.0,-108.0,-209.0,182.0,-104.0,-110.0,-108.0,-112.0,-210.0,180.0,-107.0,-113.0,-115.0,-105.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-225.0,190.0,-110.0,-110.0,-110.0,-110.0,-221.0,178.0,-110.0,-110.0,-105.0,-115.0,-220.0,180.0,-105.0,-115.0
NBA,2026-03-27 18:32:37,2026-03-27 19:40,5ce07242b2ab7c9c82700854c237a77a,Cleveland Cavaliers,Miami Heat,No,1086.5,Yes,East,Central,East,Southeast,-112.67,-84.56,-5.5,5.5,-218.22,180.56,-109.56,-110.11,242.28,-110,-110,-215,180,-106,-114,-109.0,-114.0,-220.0,170.0,-113.0,-110.0,-115.0,-105.0,-218.0,180.0,-110.0,-110.0,-113.0,101.0,-214.0,185.0,-107.0,-107.0,-117.0,-103.0,-215.0,183.0,-110.0,-110.0,-115.0,-105.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-110.0,-110.0,-222.0,177.0,-110.0,-110.0,-115.0,-105.0,-230.0,190.0,-110.0,-110.0
NBA,2026-03-27 18:32:37,2026-03-27 20:10,e1036e62b7cea2b7bade60f85bc0c1b1,Oklahoma City Thunder,Chicago Bulls,No,691.4,Yes,West,Northwest,East,Central,-108.11,-111.44,-19.28,19.28,-2494.78,1125.33,-109.89,-109.78,239.17,-110,-110,-3500,1400,-108,-112,-112.0,-112.0,-2500.0,1000.0,-114.0,-109.0,-105.0,-115.0,-2100.0,1100.0,-110.0,-110.0,-106.0,-106.0,-2153.0,1143.0,-107.0,-107.0,-110.0,-110.0,-2200.0,1096.0,-110.0,-110.0,-105.0,-115.0,-2500.0,1150.0,-110.0,-110.0,-110.0,-110.0,-2200.0,1100.0,-110.0,-110.0,-110.0,-110.0,-2500.0,1039.0,-110.0,-110.0,-105.0,-115.0,-2800.0,1100.0,-110.0,-110.0
NBA,2026-03-27 18:32:37,2026-03-27 20:10,874b67c6be5c213484fdecdf0e37faf6,Memphis Grizzlies,Houston Rockets,Yes,483.7,Yes,West,Southwest,West,Southwest,-108.11,-111.33,13.89,-13.89,613.0,-928.0,-109.89,-109.89,227.83,-106,-114,640,-950,-110,-110,-110.0,-113.0,575.0,-910.0,-112.0,-112.0,-118.0,-102.0,625.0,-950.0,-115.0,-105.0,-104.0,-108.0,631.0,-883.0,-107.0,-107.0,-108.0,-112.0,613.0,-900.0,-110.0,-110.0,-102.0,-118.0,650.0,-1000.0,-105.0,-115.0,-110.0,-110.0,600.0,-900.0,-110.0,-110.0,-110.0,-110.0,583.0,-909.0,-110.0,-110.0,-105.0,-115.0,600.0,-950.0,-110.0,-110.0
NBA,2026-03-27 18:32:37,2026-03-27 20:40,f2ffa80a1e0d1a911096e80676b07a99,Toronto Raptors,New Orleans Pelicans,No,1113.2,Yes,East,Atlantic,West,Southwest,-111.22,-108.22,-8.56,8.56,-337.44,267.89,-110.56,-109.22,228.5,-112,-108,-350,280,-114,-106,-108.0,-115.0,-375.0,280.0,-112.0,-112.0,-110.0,-110.0,-325.0,260.0,-112.0,-108.0,-111.0,-101.0,-327.0,271.0,-107.0,-107.0,-115.0,-105.0,-330.0,267.0,-110.0,-110.0,-110.0,-110.0,-325.0,260.0,-110.0,-110.0,-115.0,-105.0,-320.0,260.0,-110.0,-110.0,-110.0,-110.0,-345.0,263.0,-110.0,-110.0,-110.0,-110.0,-340.0,270.0,-110.0,-110.0
NBA,2026-03-27 18:32:37,2026-03-27 21:10,a2b709618069c3dd7c15f6192c11e93c,Denver Nuggets,Utah Jazz,Yes,371.0,Yes,West,Northwest,West,Northwest,-110.11,-109.33,-19.06,19.06,-2328.11,1083.56,-109.89,-109.89,246.72,-114,-106,-2500,1200,-110,-110,-110.0,-113.0,-2000.0,950.0,-112.0,-112.0,-105.0,-115.0,-2100.0,1100.0,-110.0,-110.0,-109.0,-103.0,-2153.0,1143.0,-107.0,-107.0,-113.0,-107.0,-2200.0,1096.0,-110.0,-110.0,-105.0,-115.0,-2500.0,1050.0,-110.0,-110.0,-110.0,-110.0,-2200.0,1100.0,-110.0,-110.0,-110.0,-110.0,-2500.0,1013.0,-110.0,-110.0,-115.0,-105.0,-2800.0,1100.0,-110.0,-110.0
NBA,2026-03-27 18:32:37,2026-03-27 22:10,d4d54362306cefaac74ff35c3b020b78,Portland Trail Blazers,Dallas Mavericks,No,1632.1,Yes,West,Northwest,West,Southwest,-110.44,-109.0,-10.44,10.44,-483.22,365.22,-110.67,-109.0,241.0,-110,-110,-490,380,-110,-110,-115.0,-108.0,-480.0,340.0,-110.0,-113.0,-108.0,-112.0,-470.0,360.0,-115.0,-105.0,-106.0,-106.0,-464.0,370.0,-109.0,-105.0,-110.0,-110.0,-470.0,364.0,-112.0,-108.0,-110.0,-110.0,-475.0,360.0,-110.0,-110.0,-110.0,-110.0,-470.0,370.0,-110.0,-110.0,-110.0,-110.0,-505.0,368.0,-110.0,-110.0,-115.0,-105.0,-525.0,375.0,-110.0,-110.0
NBA,2026-03-27 18:32:37,2026-03-27 22:10,79aaaf1d88e3174addc5d58bd07e024d,Golden State Warriors,Washington Wizards,No,2440.2,Yes,West,Pacific,East,Southeast,-107.22,-112.22,-12.56,12.56,-785.33,536.44,-111.11,-108.56,230.56,-106,-114,-770,540,-115,-105,-110.0,-113.0,-770.0,480.0,-113.0,-110.0,-108.0,-112.0,-800.0,550.0,-110.0,-110.0,-101.0,-111.0,-755.0,558.0,-107.0,-107.0,-105.0,-115.0,-770.0,543.0,-110.0,-110.0,-105.0,-115.0,-800.0,550.0,-115.0,-105.0,-110.0,-110.0,-770.0,540.0,-110.0,-110.0,-110.0,-110.0,-833.0,542.0,-110.0,-110.0,-110.0,-110.0,-800.0,525.0,-110.0,-110.0
NBA,2026-03-27 18:32:37,2026-03-27 22:40,b552edb9183af4efd9e7b1b203525ac0,Los Angeles Lakers,Brooklyn Nets,No,2454.2,Yes,West,Pacific,East,Atlantic,-110.0,-109.44,-18.06,18.06,-2045.0,992.33,-110.67,-109.11,225.11,-110,-110,-2200,1100,-114,-106,-114.0,-109.0,-2500.0,950.0,-112.0,-112.0,-105.0,-115.0,-1650.0,950.0,-108.0,-112.0,-111.0,-101.0,-1755.0,1025.0,-107.0,-107.0,-115.0,-105.0,-1800.0,979.0,-110.0,-110.0,-110.0,-110.0,-2000.0,950.0,-115.0,-105.0,-110.0,-110.0,-1800.0,1000.0,-110.0,-110.0,-110.0,-110.0,-2500.0,977.0,-110.0,-110.0,-105.0,-115.0,-2200.0,1000.0,-110.0,-110.0
