League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-28 16:20:53,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-109.56,-110.22,195.0,-237.67,-110.78,-109.11,East,Southeast,East,Central,-108,-112,198,-245,-110,-110,-112,-114,190,-245,-115,-110,-110,-110,195,-238,-110,-110,-110,-110,194,-244,-110,-110,-110,-110,190,-230,-110,-110,-110,-110,195,-235,-110,-110,-106,-106,198,-232,-107,-107,-110,-110,195,-235,-115,-105,-110,-110,200,-235,-110,-110
NBA,2025-11-28 16:20:53,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-109.22,-110.56,216.78,-267.89,-109.89,-110.0,East,Atlantic,East,Atlantic,-110,-110,220,-275,-110,-110,-113,-113,225,-295,-110,-115,-105,-115,210,-258,-112,-108,-110,-110,210,-270,-110,-110,-110,-110,215,-260,-110,-110,-112,-108,215,-260,-110,-110,-108,-104,218,-258,-107,-107,-105,-115,220,-275,-110,-110,-110,-110,218,-260,-110,-110
NBA,2025-11-28 16:20:53,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-111.11,-108.56,122.89,-145.44,-108.56,-111.44,East,Southeast,East,Central,-110,-110,120,-142,-110,-110,-113,-112,116,-143,-114,-112,-112,-108,130,-155,-112,-108,-110,-110,120,-147,-110,-110,-110,-110,120,-140,-105,-115,-112,-108,124,-144,-107,-113,-108,-104,126,-143,-104,-110,-115,-105,125,-150,-105,-115,-110,-110,125,-145,-110,-110
NBA,2025-11-28 16:20:53,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-110.0,-109.78,-157.33,132.89,-110.89,-109.11,East,Central,East,Southeast,-108,-112,-158,134,-108,-112,-113,-113,-159,128,-113,-113,-105,-115,-162,136,-115,-105,-110,-110,-152,123,-110,-110,-110,-110,-160,135,-110,-110,-114,-106,-155,135,-110,-110,-110,-102,-155,136,-107,-107,-110,-110,-160,135,-115,-105,-110,-110,-155,134,-110,-110
NBA,2025-11-28 16:20:53,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-110.0,-109.78,-278.78,224.89,-110.44,-109.44,East,Central,East,Southeast,-114,-106,-290,235,-114,-106,-112,-114,-275,210,-113,-112,-102,-118,-278,225,-110,-110,-110,-110,-294,227,-110,-110,-110,-110,-280,230,-110,-110,-113,-107,-270,222,-110,-110,-109,-103,-267,225,-107,-107,-105,-115,-285,225,-110,-110,-115,-105,-270,225,-110,-110
NBA,2025-11-28 16:20:53,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-111.22,-108.56,-342.56,271.0,-111.22,-108.78,East,Atlantic,East,Central,-106,-114,-330,265,-112,-108,-114,-112,-360,265,-112,-114,-115,-105,-340,270,-110,-110,-110,-110,-357,270,-110,-110,-105,-115,-340,270,-115,-105,-115,-105,-335,270,-110,-110,-111,-101,-331,274,-107,-107,-115,-105,-350,280,-115,-105,-110,-110,-340,275,-110,-110
NBA,2025-11-28 16:20:53,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-110.0,-109.78,-306.67,246.89,-110.33,-109.67,West,Northwest,West,Southwest,-110,-110,-310,250,-110,-110,-117,-109,-335,255,-112,-114,-105,-115,-310,250,-110,-110,-110,-110,-313,241,-110,-110,-105,-115,-310,255,-110,-110,-114,-106,-295,241,-112,-108,-110,-102,-292,245,-109,-105,-105,-115,-300,240,-110,-110,-114,-106,-295,245,-110,-110
NBA,2025-11-28 16:20:53,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-110.44,-109.33,-987.89,630.33,-110.33,-109.56,West,Northwest,West,Pacific,-112,-108,-950,640,-114,-106,-112,-114,-910,550,-112,-113,-110,-110,-1000,650,-115,-105,-110,-110,-1000,609,-110,-110,-110,-110,-1100,650,-110,-110,-112,-108,-950,637,-110,-110,-108,-104,-931,657,-107,-107,-110,-110,-1100,650,-105,-115,-110,-110,-950,630,-110,-110
NBA,2025-11-28 16:20:53,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-109.44,-110.33,-136.0,114.56,-109.78,-110.22,West,Northwest,West,Pacific,-114,-106,-138,118,-112,-108,-112,-114,-136,110,-114,-112,-110,-110,-135,114,-105,-115,-110,-110,-135,110,-110,-110,-105,-115,-135,115,-110,-110,-109,-111,-136,116,-110,-110,-105,-107,-134,118,-107,-107,-110,-110,-140,115,-110,-110,-110,-110,-135,115,-110,-110
NBA,2025-11-28 16:20:53,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-109.0,-110.78,-411.56,318.33,-110.11,-109.78,West,Pacific,West,Southwest,-112,-108,-420,330,-112,-108,-109,-117,-400,300,-112,-113,-110,-110,-410,320,-110,-110,-110,-110,-434,323,-110,-110,-110,-110,-420,315,-110,-110,-107,-113,-400,316,-110,-110,-103,-109,-395,321,-107,-107,-110,-110,-425,320,-110,-110,-110,-110,-400,320,-110,-110
