League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-26 17:33:44,2026-02-26 19:10,c1ff99354847ec708fa5aa95791dd292,Indiana Pacers,Charlotte Hornets,No,428.0,Yes,East,Central,East,Southeast,-108.78,-110.67,12.89,-12.89,535.78,-784.33,-109.44,-110.22,229.56,-110,-110,540,-770,-108,-112,-102,-118,550,-800,-110,-110,-110,-110,535,-833,-110,-110,-114,-109,480,-770,-110,-113,-106,-106,576,-786,-107,-107,-110,-110,561,-800,-110,-110,-102,-118,550,-800,-110,-110,-110,-110,530,-750,-110,-110,-115,-105,500,-750,-110,-110
NBA,2026-02-26 17:33:44,2026-02-26 19:10,68aa69753fe0692c00bca7343fd61b8b,Philadelphia 76ers,Miami Heat,No,1015.4,Yes,East,Atlantic,East,Southeast,-110.44,-109.0,-2.83,2.83,-156.44,132.11,-109.44,-110.22,239.28,-112,-108,-152,128,-108,-112,-108,-112,-166,140,-110,-110,-110,-110,-155,126,-110,-110,-109,-114,-150,120,-110,-113,-108,-104,-155,136,-107,-107,-112,-108,-155,135,-110,-110,-115,-105,-160,135,-110,-110,-110,-110,-155,134,-110,-110,-110,-110,-160,135,-110,-110
NBA,2026-02-26 17:33:44,2026-02-26 19:40,e7ec27a7927c90d32cc2fb2ebdd76585,Atlanta Hawks,Washington Wizards,Yes,542.8,Yes,East,Southeast,East,Southeast,-109.78,-109.78,-10.44,10.44,-523.11,390.56,-110.44,-109.22,236.0,-110,-110,-560,420,-114,-106,-110,-110,-535,400,-105,-115,-110,-110,-526,377,-110,-110,-112,-112,-435,320,-113,-110,-106,-106,-542,423,-107,-107,-110,-110,-550,415,-110,-110,-110,-110,-550,400,-115,-105,-110,-110,-500,390,-110,-110,-110,-110,-510,370,-110,-110
NBA,2026-02-26 17:33:44,2026-02-26 19:40,985b660bc6ae0521de793dacdc666b6f,Brooklyn Nets,San Antonio Spurs,No,1581.1,Yes,East,Atlantic,West,Southwest,-109.11,-110.33,10.5,-10.5,392.22,-529.22,-109.56,-110.11,225.11,-110,-110,370,-480,-114,-106,-108,-112,410,-550,-105,-115,-110,-110,392,-561,-110,-110,-108,-115,370,-530,-110,-113,-106,-106,423,-542,-107,-107,-110,-110,415,-550,-110,-110,-110,-110,400,-550,-110,-110,-110,-110,390,-500,-110,-110,-110,-110,360,-500,-110,-110
NBA,2026-02-26 17:33:44,2026-02-26 19:40,57e97a356eae8b74d10b09eb58962542,Orlando Magic,Houston Rockets,No,848.7,Yes,East,Southeast,West,Southwest,-110.33,-109.11,2.89,-2.89,126.0,-149.89,-110.67,-109.11,215.28,-110,-110,128,-152,-110,-110,-112,-108,130,-155,-108,-112,-110,-110,129,-159,-110,-110,-115,-108,128,-159,-110,-113,-106,-106,127,-144,-113,-102,-110,-110,120,-140,-115,-105,-110,-110,118,-145,-110,-110,-110,-110,129,-150,-110,-110,-110,-110,125,-145,-110,-110
NBA,2026-02-26 17:33:44,2026-02-26 20:10,3c630cc42d5e0712a9317980a2a35a21,Chicago Bulls,Portland Trail Blazers,No,1756.4,Yes,East,Central,West,Northwest,-108.44,-111.0,4.22,-4.22,146.78,-175.0,-109.67,-110.0,234.5,-105,-115,150,-178,-110,-110,-112,-108,154,-185,-110,-110,-110,-110,146,-182,-110,-110,-113,-110,138,-175,-110,-113,-101,-111,146,-165,-107,-107,-105,-115,145,-165,-110,-110,-110,-110,150,-185,-110,-110,-110,-110,142,-165,-110,-110,-110,-110,150,-175,-110,-110
NBA,2026-02-26 17:33:44,2026-02-26 20:40,ab0ac3191351854638bfb2c653e7408b,Dallas Mavericks,Sacramento Kings,No,1439.9,Yes,West,Southwest,West,Pacific,-111.67,-107.67,-7.5,7.5,-307.78,247.33,-108.89,-110.78,234.17,-114,-106,-310,250,-110,-110,-115,-105,-310,250,-108,-112,-110,-110,-303,232,-110,-110,-110,-112,-305,230,-110,-113,-106,-106,-312,260,-107,-107,-110,-110,-315,256,-110,-110,-115,-105,-300,240,-105,-115,-110,-110,-315,258,-110,-110,-115,-105,-300,250,-110,-110
NBA,2026-02-26 17:33:44,2026-02-26 21:10,e1602b5cfe2adbc7eeb741f4aa40e1dd,Phoenix Suns,Los Angeles Lakers,Yes,359.1,Yes,West,Pacific,West,Pacific,-108.11,-111.33,5.56,-5.56,179.22,-216.67,-111.22,-108.44,222.72,-110,-110,176,-210,-114,-106,-108,-112,180,-218,-112,-108,-110,-110,169,-213,-110,-110,-109,-114,180,-230,-113,-110,-106,-106,185,-214,-107,-107,-110,-110,183,-215,-110,-110,-105,-115,180,-220,-115,-105,-110,-110,185,-220,-110,-110,-105,-115,175,-210,-110,-110
NBA,2026-02-26 17:33:44,2026-02-26 21:10,e981f4f0dfb4d08b3260300b922334fe,Utah Jazz,New Orleans Pelicans,No,1434.3,Yes,West,Northwest,West,Southwest,-109.0,-110.44,6.44,-6.44,202.11,-247.67,-112.22,-107.56,244.5,-110,-110,198,-240,-114,-106,-112,-108,195,-238,-115,-105,-110,-110,209,-263,-110,-110,-113,-110,210,-275,-113,-110,-101,-111,202,-238,-113,-102,-105,-115,200,-240,-115,-105,-110,-110,200,-250,-110,-110,-110,-110,205,-245,-110,-110,-110,-110,200,-240,-110,-110
NBA,2026-02-26 17:33:44,2026-02-26 22:10,2678ac16f4dad43d27dd570fb7a64577,Los Angeles Clippers,Minnesota Timberwolves,No,1532.5,Yes,West,Pacific,West,Northwest,-111.56,-85.78,8.22,-8.22,253.0,-316.11,-111.22,-108.56,220.28,-108,-112,250,-310,-112,-108,-120,100,250,-310,-108,-112,-110,-110,249,-323,-110,-110,-112,-112,275,-375,-113,-110,-106,-106,256,-307,-113,-102,-110,-110,252,-310,-115,-105,-118,-102,240,-300,-110,-110,-110,-110,255,-310,-110,-110,-110,-110,250,-300,-110,-110
